,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,nRig,Flex,nStereo,NonBiodegradable,SureChEMBL,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS
LogS,0.9999999999999997,-0.8696879493717328,-0.6135988191186585,-0.7071476669632288,0.7842002524722119,-0.3209644643685083,-0.42508640653865115,0.1985992763719393,-0.6513447985170144,-0.44940056218121166,0.6996848972761872,-0.5343774517579392,-0.25506062457319356,0.17783616739025276,-0.09434996313442467,-0.5396863164784574,-0.48246235315252567,0.31135701459536463,-0.7016535224380771,-0.1437559168084258,-0.19344014964548875,-0.3599200604973721,-0.8811162316982724,-0.5802036083482097,-0.9154271904855953,0.7980892796314354,-0.3473404170267176,-0.6715028038881942,-0.03459020670321296,-0.3335344356352965,-0.1825591962146349,-0.2369746138052349,0.45105190515017635,-0.21861795959442612,-0.4810788576835907,-0.20857354650425278,-0.7549131965902485,-0.21230189988698692,-0.5133427166334223,-0.3694123920077662,0.9814767646422263,-0.20725804039191878,-0.9466238930287809,-0.9237853463179522,-0.9949147130326843,-0.5337632926183281,-0.5152922168350667,-0.9452034414064814,0.09403162945019863,-0.5426840177515577,-0.6722260745049202,-0.960502428247032,-0.257710445149989,-0.2328435604552105,-0.2157201246964957,0.27012028405739613,0.4270718811978001,0.4216723698481185,-0.3249671527595852,0.49141559207553814,0.46400725551414396,-0.14627557865645696,0.6139223542603506,-0.3705465600795233,0.3384710459743583,-0.46400725551414396,-0.46400725551414396,-0.7813931606699465,-0.7993262652923383,-0.6223153003728618,-0.46400725551414396,-0.11153018421275362,0.19435497695511628,0.1949514193187542,0.2915697530756921,0.17539592925377995,-0.958503432613108,0.2635368375382773,-0.958503432613108,-0.46400725551414396
LogD,-0.8696879493717328,1.0,0.9104997065009086,0.37195201545579143,-0.5399879683170372,0.649501624236143,0.7937604651150527,-0.2880183215622306,0.5094258300306951,0.8004591797556462,-0.7714390031515492,0.365862724632889,0.5831234956825485,-0.24238868308335085,0.023936611752740273,0.5989396891438338,0.8345362429329861,-0.6997149954113251,0.9591797909760711,-0.3069013777170697,-0.24752979923426247,-0.02123028312196525,0.8932491729853314,0.7613516380946832,0.9433045210931292,-0.567737558971578,-0.11207075758737861,0.23916184419740774,0.1357016693557245,0.6282715806180035,0.6428952201730044,0.5025830111183893,-0.4576892175651742,-0.11688064110798457,0.8279771953319395,0.5754486736375877,0.4810978240233823,0.6565540560581307,0.866775844108688,0.779861801472223,-0.9478280749964547,-0.3004734712886509,0.6859991650226559,0.6281660530591802,0.8905624857513852,0.8560624717725269,0.028047865222770214,0.9827641337722046,0.3605770921479845,0.8745663150683392,0.8290553839468001,0.8519869784086468,0.617790487361831,0.5641631507440639,0.6485610152590378,0.0016265567209787408,-0.7020788530180432,-0.24943020946797959,0.701565382904196,-0.8294059941150664,-0.8155852308408078,0.5358530727410885,-0.7991208886645156,0.7475880784117428,-0.5388290859510192,0.8155852308408078,0.8155852308408078,0.9676648207492514,0.7120975413706607,0.9140120335115771,0.8155852308408078,-0.2392437722940413,0.2242416811774388,-0.2831616271832079,-0.17042481475906937,-0.6177538928119752,0.9432980418156804,0.22965916377538625,0.9432980418156804,0.8155852308408078
LogP,-0.6135988191186585,0.9104997065009086,1.0,-0.044251284379316816,-0.15076240871357025,0.8862284281265729,0.9741711455138311,-0.10846039321963141,0.16036680165359327,0.9759617657469832,-0.5537039848426883,0.009532140481616028,0.8426257664009491,-0.04984113328370483,-0.2311398511599297,0.370451340001311,0.9874298760842448,-0.9319853021623332,0.9881782420734295,-0.6729873038335343,-0.6257407531475476,-0.42544638163869625,0.657078227556622,0.6269044981684583,0.7348777917122946,-0.4041497779301406,-0.5118266088700175,-0.1711130339573526,0.38124710686448626,0.5973351142301373,0.8470405605672884,0.450191876892752,-0.5557411530195788,-0.4921954415304881,0.9857077243822304,0.6236874783110299,0.08081932306537654,0.8194985459860963,0.9436886887557089,0.9398917236249651,-0.7448668021324634,-0.5977745539889741,0.40135811742094274,0.3246778665403758,0.6670740058099867,0.9923124223966564,-0.3538884953158388,0.8238464829750418,0.5391765551366156,0.9961254574305065,0.6796863871151047,0.6707588322523108,0.8769175363435084,0.8311003030318618,0.9028204268054152,0.3683622195927464,-0.6511627572454461,0.0989625126240526,0.9314455690518898,-0.8612441269006764,-0.9817616753297089,0.8309095073079475,-0.6704110407906176,0.95509266367986,-0.42464409458726476,0.9817616753297089,0.9817616753297089,0.9695655920939885,0.637506504735781,0.9999188655328092,0.9817616753297089,-0.5974075891382649,0.6043136597715251,-0.1032979092428652,0.13938584828614786,-0.8845180110029371,0.7218488944495617,0.49613423032755,0.7218488944495617,0.9817616753297089
Pgp-inh,-0.7071476669632288,0.37195201545579143,-0.044251284379316816,1.0,-0.9751911166652821,-0.4357436927708227,-0.26702544221373736,-0.5084201644190617,0.898040308465209,-0.2586396796894191,-0.6537741771213718,0.893209684504114,-0.5006467443369313,-0.5293813584653047,0.6263227811202436,0.6582671460112556,-0.19761404039466662,0.40287089151551375,0.10302199815156401,0.7670599745447506,0.8068241432438896,0.913619626314182,0.6978097531026808,0.47218882663776995,0.637728457765899,-0.4136208952331466,0.871259408997053,0.9441967197694306,-0.5762728157788054,0.22706796373886154,-0.31905526477298823,0.2592791333189143,0.19415968152395469,0.8423927157558367,-0.21191809635943976,0.0410821535422667,0.9885241490017458,-0.21806056298643664,-0.0022570120403476723,-0.20603110079144887,-0.6079624055482274,0.5791983997274911,0.7236266060395258,0.7552650393948801,0.6343180406753935,-0.1612737565106846,0.834536018879749,0.5200136311700863,-0.28773281641242043,-0.11963297465417319,0.5108062159756788,0.5224442528348018,-0.48724661908729844,-0.5206166823942602,-0.45203603239529677,-0.8507381039999331,-0.28033753497885405,-0.8592266998600038,-0.39979806900409176,-0.10297588156086682,0.23332048821459384,-0.5789807703637184,-0.4630360338093847,-0.33818117513690843,-0.4014793986395263,-0.23332048821459384,-0.23332048821459384,0.15311514387455374,0.24393006290367827,-0.03620344688255698,-0.23332048821459384,0.7814427670819821,-0.8201109693441101,-0.5083244576302066,-0.766931199967385,0.4844191543402273,0.658975244560683,-0.5133453562599797,0.658975244560683,-0.23332048821459384
Pgp-sub,0.7842002524722119,-0.5399879683170372,-0.15076240871357025,-0.9751911166652821,0.9999999999999997,0.28190896606043436,0.07049791870719758,0.6118225007317302,-0.9563218394055989,0.06816600431853016,0.8020667260813099,-0.9281462607669868,0.35792838279670647,0.6204302567995532,-0.6513406798111097,-0.7874408905780294,-0.0011980070350115501,-0.21730848247752355,-0.29802155257870533,-0.6186087640265788,-0.6706337459534956,-0.8299274182874715,-0.835140595867693,-0.6498863134106703,-0.780731415599886,0.3996355596994972,-0.7440274140887797,-0.8634118494815335,0.5711381251829597,-0.42041003634837165,0.10134837496448437,-0.4327978150190952,-0.16964269827950176,-0.7637673645821064,0.016990738193666477,-0.24445946400364515,-0.9972781527754713,-0.002530746658379194,-0.21608978426546227,-0.0117652748367717,0.7233291247360523,-0.39192754889218906,-0.7327498416279767,-0.747711093345591,-0.717797627777573,-0.030001097521040222,-0.7043132340531072,-0.6604872308168988,0.09320436647889614,-0.0806264895730269,-0.6872501516055,-0.5916644281299372,0.32725065403219517,0.3797854998747788,0.25636086311184025,0.8088197298779591,0.47605844710882633,0.8801250697811946,0.21870519543213818,0.32059443446836994,-0.03926463894118204,0.42119407133099196,0.6447831387184542,0.1479471813449974,0.5627931581569461,0.03926463894118204,0.03926463894118204,-0.32343237625074683,-0.287146364922784,-0.15761361015887967,0.03926463894118204,-0.6812462730695119,0.6962435508788023,0.6108144340353301,0.7947788033370771,-0.2900516987000753,-0.7858742618939352,0.3324852646474339,-0.7858742618939352,0.03926463894118204
HIA,-0.3209644643685083,0.649501624236143,0.8862284281265729,-0.4357436927708227,0.28190896606043436,1.0000000000000002,0.9457454126274942,0.3110765788396134,-0.3110495329072601,0.9580331800720387,-0.10606083855252836,-0.4533580028938268,0.9962084082243519,0.3689231207030861,-0.6293670673661409,-0.09207472135606144,0.9278139372260308,-0.9742300621761972,0.8069644254112306,-0.8775446008873798,-0.8606648811727255,-0.763481168643718,0.24644570354892917,0.21432050014023424,0.3612806602189198,-0.37932498659171554,-0.7600872099377116,-0.4514243019871216,0.7358349954607588,0.24693113078556186,0.7548970583726662,0.08546996936570339,-0.7542834293420559,-0.8310549644929364,0.9404899456481175,0.339450325892202,-0.3429139577547616,0.6686865389941341,0.7421704507199963,0.826826912430601,-0.44925462260669136,-0.6108027826016541,0.18936687790776202,0.11302941145351073,0.4078964317171998,0.935341748091213,-0.5313764408856463,0.5340925816175346,0.3916501644355959,0.9020910059179253,0.26925376287883734,0.49322919622835243,0.9963586044824086,0.9940671594066007,0.9348006723385498,0.7554931501717954,-0.2887211716152147,0.5486694805291923,0.982225360969841,-0.5905961630007395,-0.9465795049390483,0.9810724212227526,-0.26596588015798095,0.9658385070066318,-0.017859990659227276,0.9465795049390483,0.9465795049390483,0.816355588483564,0.6289996953045751,0.8853182184248977,0.9465795049390483,-0.8934800261849736,0.8661298513904364,0.3157230126766995,0.5769824128829423,-0.9278999817158262,0.3712129349338476,0.4640161686673095,0.3712129349338476,0.9465795049390483
F(20),-0.42508640653865115,0.7937604651150527,0.9741711455138311,-0.26702544221373736,0.07049791870719758,0.9457454126274942,1.0,-0.013874123069415673,-0.036098541388598616,0.9982291664758467,-0.40045977588882603,-0.17893865263512676,0.9173098510156916,0.04751284188059982,-0.3427407772632039,0.22702250147128003,0.9974267467997107,-0.9885183798861257,0.9309348946224004,-0.8223741536197482,-0.7847774662640221,-0.6116558612309073,0.4824347564621914,0.5149392014742854,0.5682451425332943,-0.2747700269382082,-0.692521510421178,-0.3851441464276713,0.47671552353558977,0.5459133999505257,0.9007039808334307,0.399200295625842,-0.5570930731202562,-0.6556840830076504,0.997999968595483,0.6135406453439651,-0.14151146375028487,0.8540343218024955,0.9194669547259764,0.9607201173544718,-0.5768024624358834,-0.7222693166054319,0.2099224062979458,0.12855930561772955,0.49166266870574865,0.9919448703828462,-0.5408310275396808,0.6748398160533761,0.6064012783529062,0.9885794446170861,0.5543628992607762,0.5159852785730419,0.9501627642732858,0.9106842228461285,0.9752909938828589,0.5348544908263331,-0.5840038398378705,0.2742554637510654,0.9861956877072815,-0.8207442373343269,-0.9988802683843274,0.9277331729717129,-0.5577695796209432,0.9966033233036586,-0.34138945881489674,0.9988802683843274,0.9988802683843274,0.8965253423638249,0.5402035518500301,0.9720164154870539,0.9988802683843274,-0.744005619849335,0.7649374724610315,-0.008940696346431982,0.28909423098305376,-0.9653528669326558,0.5475035998480036,0.613204031829764,0.5475035998480036,0.9988802683843274
F(30),0.1985992763719393,-0.2880183215622306,-0.10846039321963141,-0.5084201644190617,0.6118225007317302,0.3110765788396134,-0.013874123069415673,0.9999999999999998,-0.8161754877220662,0.031688534414048876,0.8191715181749784,-0.8409507371261511,0.379736307851583,0.9980956850690454,-0.9321755837010303,-0.9298668630558963,-0.05797388538868331,-0.10126940761053532,-0.219990445531552,-0.264090935917628,-0.32053305447346897,-0.5241948901662209,-0.612796492850654,-0.8332771443033523,-0.5087931681367048,-0.4204846290099328,-0.2716060093793786,-0.20530977558398117,0.8723576679987459,-0.8426321678506354,-0.3306124885249515,-0.9141691202786238,-0.7195608708461526,-0.6138148440198431,-0.020146771934249665,-0.7656464788217725,-0.5915146688213817,-0.45789000863801543,-0.40221228671468634,-0.2720077676511685,0.25440086170763393,0.2743215382733075,0.032102451492399986,0.036016178183842465,-0.12702947436495718,-0.01414886281383328,0.0006459025652125749,-0.28620178180270994,-0.6033929357750382,-0.10738848968788846,-0.7730273066015207,0.0642822285153741,0.28171838978367275,0.3912902325734496,0.01055937687872636,0.7365763470993436,0.8193781448664087,0.8611503152414497,0.13426740286056024,0.5814333424766729,0.005010430988597251,0.2929989418977377,0.7978760750153371,0.055130711680723955,0.9444662413505688,-0.005010430988597251,-0.005010430988597251,-0.0813303897780296,0.40426512178316193,-0.10418769987708172,-0.005010430988597251,-0.5517379877988217,0.39715601452673976,0.9999862709267842,0.9148068666635956,-0.015830485625905645,-0.4122202494032242,-0.4100506691432072,-0.4122202494032242,-0.005010430988597251
Caco-2,-0.6513447985170144,0.5094258300306951,0.16036680165359327,0.898040308465209,-0.9563218394055989,-0.3110495329072601,-0.036098541388598616,-0.8161754877220662,1.0,-0.05119505147447119,-0.8927676613234503,0.987029949159787,-0.3922584287286669,-0.8211353268307411,0.816405939099653,0.9210453866167129,0.03257798722125593,0.18605104363834749,0.3087488659315468,0.5413738287887344,0.6006210116880835,0.7939918283359373,0.8417927852549696,0.7878053401049058,0.7645605433790623,-0.14035353329984596,0.6372541311163413,0.7033700691770717,-0.7342988789832684,0.623671808909933,0.05697905145656871,0.6575666329839847,0.3834157653856578,0.7781419580696587,0.00534104487108659,0.467275480455663,0.9461128262091125,0.17938666973930786,0.3158096178567425,0.11877466498942726,-0.6289369062609202,0.17821620658303086,0.5264827092919556,0.5351437995554633,0.5770856531632421,0.03745126994177959,0.5094777946944379,0.5956889742354323,0.16037199223182652,0.10880500265799783,0.7933574570988999,0.4145747460441758,-0.33336393854268365,-0.41257557799851086,-0.1813460132878422,-0.8575814384229574,-0.6562168661884991,-0.9583467703707248,-0.1992528430659748,-0.4572699541407837,0.016522890671323544,-0.4064877052203191,-0.7714747066689478,-0.1182210456203712,-0.7632415989051796,-0.016522890671323544,-0.016522890671323544,0.2759048417626088,0.0667764676381567,0.1637833027479368,-0.016522890671323544,0.6939798504989901,-0.6477910276788297,-0.8153816894235215,-0.9155134933492135,0.20804144094022362,0.7325328292035351,-0.08585545839191551,0.7325328292035351,-0.016522890671323544
MDCK,-0.44940056218121166,0.8004591797556462,0.9759617657469832,-0.2586396796894191,0.06816600431853016,0.9580331800720387,0.9982291664758467,0.031688534414048876,-0.05119505147447119,1.0,-0.3788170159473524,-0.1976578953942008,0.9309979387264384,0.09267937168158116,-0.3822352064144884,0.1958592093959696,0.995812131595022,-0.9882541352812599,0.9313651410208977,-0.8144171517968519,-0.7784421146439007,-0.6124530438835054,0.47817165519940374,0.4851436175311422,0.5694049091371146,-0.3266265210328557,-0.6786817198991952,-0.3596736771027944,0.5159644426359054,0.5043389873820879,0.8732990969336215,0.3524415490937159,-0.6045678151546248,-0.666569805434751,0.9983527346180621,0.5693946184297085,-0.13797363222516545,0.8219640077781272,0.9021523976452529,0.9433930201397953,-0.5943623591321042,-0.6844950688455375,0.24853647303736498,0.1679758449059004,0.5183207561635512,0.9950180532261573,-0.5079985884098005,0.6872129832956843,0.5580435254730938,0.9870796028880984,0.5310302874763111,0.5509912324651879,0.9580457652404291,0.9241622332305376,0.9662573430664453,0.5524730193233152,-0.5469902606359289,0.2970891844184824,0.9883435985634019,-0.7947401425195846,-0.9992929046129927,0.9318377951964005,-0.5305090205343248,0.9962569540696953,-0.2985123135735165,0.9992929046129927,0.9992929046129927,0.9085459354840829,0.5860857464322147,0.9744562738079823,0.9992929046129927,-0.7544649875251205,0.7630767123217385,0.03668327282844489,0.3201607064517281,-0.9550514060911653,0.5561339795905491,0.5677983085229741,0.5561339795905491,0.9992929046129927
