Column Title,Mean,Standard Deviation
LogS,-3.497,0.8390673393715193
LogD,1.335,1.4983106042028358
LogP,1.9922499999999999,2.2406999464453063
Pgp-inh,0.04875,0.07929007924492613
Pgp-sub,0.9335,0.07640462464188061
HIA,0.0175,0.018663690238892555
F(20),0.0145,0.026362852652928134
F(30),0.30100000000000005,0.2661115054508793
Caco-2,-5.854749999999999,0.5749599261397847
MDCK,0.00045192420267499997,0.0007424562602800321
BBB,0.0535,0.004041451884327378
PPB,85.1175,6.875
VDss,0.447,0.12945784384630132
Fu,8.2475,3.8387617361157838
CYP1A2-inh,0.009500000000000001,0.00479583152331272
CYP1A2-sub,0.94725,0.036563871056914436
CYP2C19-inh,0.044,0.04005829086052807
CYP2C19-sub,0.7232500000000001,0.2068354821268988
CYP2C9-inh,0.1125,0.142598503965972
CYP2C9-sub,0.04625,0.033509948771471836
CYP2D6-inh,0.0115,0.006557438524302002
CYP2D6-sub,0.12475,0.04389665894651513
CYP3A4-inh,0.467,0.35974250050093703
CYP3A4-sub,0.68125,0.3525406595935661
CL,4.05325,2.9010814506547957
T12,0.29525,0.18482672065117278
hERG,0.04125,0.04045058714036176
H-HT,0.4005,0.08023507130093839
DILI,0.81875,0.1449629262949669
Ames,0.6555,0.22501185153972073
ROA,0.0895,0.05699415174676551
FDAMDD,0.8205,0.2242164133153503
SkinSen,0.04625,0.042703434678411215
Carcinogenicity,0.27,0.2611985196486892
EI,0.2265,0.4211052916631025
Respiratory,0.5670000000000001,0.3827174763016012
BCF,1.031,0.16395731151735804
IGC50,4.729749999999999,0.6455981077006552
LC50,6.914750000000001,0.48847406959496475
LC50DM,7.257,0.3533864739912945
NR-AR,0.19475,0.13848555881390667
NR-AR-LBD,0.42874999999999996,0.37882130791883045
NR-AhR,0.6034999999999999,0.33802218862080635
NR-Aromatase,0.42675,0.2946131644490223
NR-ER,0.33775,0.14744801343750505
NR-ER-LBD,0.22775,0.3653659124767936
NR-PPAR-gamma,0.36250000000000004,0.43828491494308436
SR-ARE,0.4525,0.3966303904980891
SR-ATAD5,0.9155,0.06192737682156414
SR-HSE,0.30599999999999994,0.4354269934979533
SR-MMP,0.814,0.2146485499601616
SR-p53,0.9692500000000001,0.03449033681095811
MW,779.6125,224.0640925233969
Vol,676.107,145.62688518493644
Dense,1.1412499999999999,0.07864847953605543
nHA,16.75,2.8722813232690143
nHD,3.5,1.7320508075688772
TPSA,212.7025,40.77021083667175
nRot,10.0,6.782329983125268
nRing,7.0,0.816496580927726
MaxRing,15.25,1.5
nHet,19.25,6.34428877022476
nRig,39.0,3.559026084010437
Flex,0.263,0.19651123801621798
nStereo,11.25,2.5
NonBiodegradable,1.25,0.5
SureChEMBL,0.25,0.5
Skin_Sensitization,4.75,3.095695936834452
Acute_Aquatic_Toxicity,3.5,1.7320508075688772
Toxicophores,2.5,2.3804761428476167
Genotoxic_Carcinogenicity_Mutagenicity,0.5,1.0
QED,0.23925000000000002,0.15336747808232792
Synth,5.45725,0.42242030806610936
Fsp3,0.5680000000000001,0.02262741699796949
MCE-18,160.68275,15.453804739178855
Natural Product-likeness,1.60325,0.32774113260315674
Alarm_NMR,2.5,0.5773502691896257
BMS,0.5,0.5773502691896257
Chelating,0.5,0.5773502691896257
PAINS,0.25,0.5
