LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-3.407,1.156,1.925,0.997,0.587,0.433,0.999,0.974,-5.526,9.39E-05,0.004,45.78,0.348,60.23,0.001,0.03,0.023,0.13,0.014,0.045,0.053,0.047,0.401,0.882,2.806,0.233,0.002,0.362,0.975,0.007,0.005,0.003,0.67,0.007,0.003,0.006,0.004,0.289,2.409,4.009,4.606,0.001,0.002,0.002,0.001,0.049,0.005,0.007,0.663,0.002,0.003,0.047,0.01,594.15,537.199,1.106,13,3,182.48,10,5,7,15,0,29,0.345,6,0,0,0,0,3,0,4,0,0.234,4.58,0.56,129.59,0.561,4,2,0,0,0,1,0,0
-1.9,-0.197,-0.526,0,0.997,0.996,1,1,-6.228,3.83E-06,0.002,62.38,0.292,21.91,0.004,0.944,0.026,0.048,0.04,0.202,0.007,0.043,0.015,0.918,1.484,0.817,0.003,0.109,0.991,0.033,0.038,0.002,0.94,0.526,0.003,0.03,0.719,0.06,2.544,4.607,5.159,0.011,0.012,0.045,0.066,0.254,0.01,0.191,0.709,0.001,0.008,0.009,0.005,471.05,397.691,1.184,12,2,163.33,10,3,8,15,0,18,0.556,2,1,0,0,0,5,2,4,0,0.201,4.022,0.533,68.478,-1.398,3,2,0,0,1,1,0,1
-2.943,0.551,1.831,0.001,0.37,0.971,0.998,0.995,-6.04,4.05E-06,0.078,43.77,0.205,62.58,0.002,0.041,0.045,0.063,0.09,0.783,0.224,0.125,0.011,0.058,2.592,0.89,0.003,0.06,0.967,0.002,0.029,0.001,0.338,0.005,0.003,0.004,0.005,0.129,2.373,2.95,3.749,0.004,0.002,0.012,0.004,0.167,0.006,0.008,0.41,0.009,0.006,0.029,0.014,461.14,425.393,1.084,11,4,148.15,8,4,7,12,0,24,0.333,4,0,0,0,0,4,0,2,0,0.454,3.852,0.45,92.172,-0.078,3,1,0,0,1,1,0,1
-0.237,-2.069,-1.797,0,0.649,1,1,1,-6.196,3.83E-06,0.162,15.01,0.498,84.57,0.014,0.871,0.069,0.055,0.007,0.249,0,0.174,0.005,0.465,1.508,0.97,0.074,0.959,0.976,0.007,0.033,0.912,0.362,0.096,0.003,0.007,0.721,-0.214,2.528,3.354,4.742,0.008,0.055,0.007,0.009,0.096,0.007,0.006,0.434,0.005,0.011,0.006,0.012,480.12,431.449,1.113,11,3,150.77,8,4,8,13,0,24,0.333,2,0,0,3,0,5,3,6,0,0.188,4.839,0.526,90.552,0.1,3,1,0,0,1,1,0,0
-1.866,-0.288,1.024,0,0.836,0.68,0.007,0.036,-5.927,9.56E-07,0.42,32.08,0.249,50.92,0.024,0.081,0.062,0.063,0.022,0.655,0.388,0.15,0.037,0.36,2.989,0.795,0.02,0.184,0.983,0.018,0.192,0.017,0.589,0.62,0.003,0.013,0.774,0.15,3.007,3.552,3.806,0.006,0.01,0.544,0.742,0.127,0.006,0.556,0.782,0.005,0.811,0.223,0.424,349.11,330.464,1.056,7,3,113.06,4,3,8,8,0,19,0.211,3,0,0,0,0,2,2,3,0,0.578,4.546,0.5,47.5,0.501,4,1,0,0,1,1,1,1
-2.855,0.58,1.675,0.004,0.303,0.541,0.992,0.896,-5.839,4.36E-06,0.074,50.77,0.228,60.26,0.017,0.096,0.03,0.197,0.023,0.454,0.068,0.141,0.015,0.078,6.025,0.945,0.009,0.132,0.969,0.004,0.018,0.003,0.196,0.011,0.003,0.008,0.016,0.378,2.538,3.578,4.008,0.063,0.002,0.033,0.006,0.224,0.006,0.016,0.499,0.005,0.013,0.013,0.012,380.1,354.344,1.073,8,2,105.17,6,3,7,9,0,17,0.353,3,0,0,0,0,3,0,2,0,0.733,3.379,0.471,73.04,0.427,4,1,0,0,1,1,1,1
-1.589,-0.648,-0.77,0,0.681,0.954,0.971,0.179,-6.152,3.88E-06,0.043,25.53,0.329,68.68,0.003,0.029,0.024,0.044,0.006,0.099,0.189,0.04,0.031,0.06,2.38,0.963,0.002,0.052,0.974,0.012,0.094,0.004,0.841,0.424,0.003,0.029,0.952,-0.2,2.553,4.532,4.848,0.005,0.004,0.015,0.002,0.062,0.008,0.003,0.178,0.003,0.015,0.01,0.064,339.05,302.077,1.122,9,2,136.8,6,2,8,10,0,15,0.4,3,0,0,0,0,4,0,3,0,0.386,4.354,0.462,36.316,0.563,2,1,0,0,1,1,1,1
-1.996,0.608,1.525,0,0.019,0.055,0.003,0.001,-6.063,0.0001572267793,0.031,29.01,0.245,73.83,0.008,0.04,0.037,0.099,0.036,0.231,0.337,0.12,0.023,0.107,2.159,0.882,0.009,0.188,0.801,0.002,0.088,0.002,0.21,0.015,0.003,0.013,0.018,0.157,2.367,3.426,3.942,0.003,0.002,0.01,0.005,0.1,0.006,0.006,0.088,0.004,0.005,0.013,0.01,349.11,330.464,1.056,7,4,112.73,5,3,7,8,0,17,0.294,4,0,0,0,0,3,0,2,0,0.675,3.527,0.438,70.304,0.742,3,1,0,0,1,1,1,1
-1.409,-0.905,-1.273,0,0.796,0.916,0.601,0.444,-6.332,1.88E-06,0.025,46.74,0.197,23.49,0.005,0.062,0.146,0.041,0.035,0.837,0.005,0.137,0.011,0.061,1.827,0.862,0.005,0.942,0.998,0.046,0.037,0.006,0.784,0.687,0.003,0.009,0.946,-0.039,4.036,4.349,4.638,0,0.047,0.138,0.048,0.123,0.014,0.778,0.933,0.011,0.08,0.117,0.328,453.04,389.428,1.163,12,5,185.24,9,3,8,14,0,21,0.429,2,0,0,1,0,3,2,6,0,0.258,4.89,0.25,67.2,-0.121,5,1,0,0,1,1,0,1
-1.672,-0.198,-0.293,0.001,0.003,0.966,0.897,0.218,-5.836,0.001560178818,0.011,40.97,0.255,69.47,0.002,0.13,0.017,0.066,0.008,0.911,0.036,0.08,0.01,0.064,5.649,0.783,0.003,0.899,0.987,0.02,0.006,0.004,0.663,0.03,0.003,0.025,0.006,0.023,2.377,3.206,3.065,0.004,0.002,0.004,0.003,0.047,0.005,0.004,0.455,0.003,0.003,0.008,0.001,233.04,197.995,1.177,6,1,91.75,1,2,7,7,0,12,0.083,2,0,0,0,0,3,0,1,0,0.599,3.645,0.75,43.714,0.769,3,1,0,0,1,1,1,1
-3.289,0.992,2.006,0,0.006,0.012,0.011,0.003,-5.772,2.91E-05,0.02,83.19,0.199,31.36,0.009,0.053,0.025,0.109,0.027,0.318,0.367,0.087,0.011,0.109,6.193,0.927,0.008,0.091,0.961,0.004,0.026,0.002,0.454,0.015,0.003,0.009,0.016,0.362,2.732,3.528,3.917,0.005,0.002,0.015,0.004,0.13,0.006,0.004,0.137,0.008,0.01,0.009,0.009,350.09,328.258,1.067,7,2,95.94,6,3,7,8,0,17,0.353,3,0,0,0,0,3,0,2,0,0.759,3.206,0.438,66.957,0.074,4,1,0,0,1,1,1,1
-2.956,0.94,2.148,0,0.005,0.02,0.005,0.002,-5.798,4.65E-05,0.045,68.09,0.185,48.76,0.009,0.055,0.03,0.203,0.029,0.772,0.239,0.095,0.013,0.254,6.206,0.924,0.005,0.143,0.96,0.003,0.09,0.002,0.524,0.011,0.003,0.008,0.011,0.275,2.427,3.3,3.913,0.007,0.002,0.014,0.004,0.124,0.006,0.005,0.093,0.003,0.009,0.01,0.005,334.1,319.468,1.046,6,2,86.71,5,3,7,7,0,17,0.294,3,0,0,0,0,3,0,2,0,0.798,3.2,0.438,66.957,0.341,3,1,0,0,1,1,1,1
-3.774,1.913,2.288,0.974,0.024,0.005,0.862,0.848,-5.202,9.78E-05,0.027,43.84,0.343,68.96,0.024,0.055,0.175,0.379,0.083,0.08,0.025,0.078,0.633,0.83,5.158,0.869,0.003,0.135,0.923,0.009,0.006,0.003,0.512,0.025,0.003,0.008,0.01,0.469,2.444,4.072,4.274,0.006,0.014,0.01,0.002,0.09,0.006,0.004,0.1,0.006,0.008,0.008,0.017,406.12,386.299,1.051,8,1,102.01,9,3,7,9,0,18,0.5,3,0,0,0,0,3,0,4,0,0.424,3.457,0.474,69,0.465,3,2,0,0,1,1,0,1
-2.987,1.63,2.97,0.002,0.164,0.007,0.006,0.006,-5.578,2.62E-05,0.013,94.9,0.34,9.67,0.017,0.092,0.08,0.365,0.03,0.152,0.098,0.11,0.029,0.328,2.522,0.846,0.015,0.572,0.974,0.003,0.205,0.01,0.139,0.012,0.003,0.006,0.009,0.223,2.631,4.264,4.586,0.005,0.002,0.024,0.009,0.22,0.006,0.007,0.297,0.003,0.007,0.018,0.019,432.03,375.976,1.149,7,2,95.94,6,3,7,10,0,17,0.353,4,2,0,0,0,3,1,2,0,0.692,3.728,0.471,76.36,0.146,3,1,0,0,1,1,0,1
-0.404,-0.604,-0.352,0,0.98,1,1,1,-6.48,4.22E-06,0.034,80.43,0.285,25.04,0.019,0.062,0.046,0.038,0.022,0.031,0.001,0.073,0.025,0.121,1.413,0.99,0.036,0.959,0.991,0.007,0.007,0.824,0.219,0.063,0.003,0.005,0.362,-0.337,3.129,3.924,4.972,0.009,0.2,0.044,0.009,0.22,0.016,0.02,0.127,0.005,0.032,0.032,0.053,751.15,670.125,1.121,17,7,257.63,15,5,8,20,0,32,0.469,2,3,1,3,0,10,4,8,0,0.046,5.015,0.433,126.372,0.145,6,1,1,1,0,1,0,0
-3.861,2.96,4.26,0.007,0.008,0.008,0.007,0.009,-5.67,1.68E-05,0.049,92.48,0.208,8.5,0.022,0.082,0.072,0.267,0.218,0.949,0.138,0.131,0.182,0.304,0.644,0.455,0.016,0.347,0.941,0.004,0.847,0.038,0.113,0.016,0.003,0.005,0.014,0.337,3.197,4.914,5.328,0.002,0.003,0.3,0.053,0.175,0.009,0.727,0.409,0.003,0.011,0.152,0.095,494.15,482.349,1.024,8,2,113.01,8,5,9,9,0,28,0.286,4,0,0,0,0,4,0,2,0,0.275,3.791,0.385,105.056,0.252,3,1,0,0,1,1,0,1
-3.422,1.647,2.518,0.001,0.045,0.007,0.002,0.002,-5.618,1.41E-05,0.136,93.83,0.368,6.55,0.03,0.055,0.034,0.085,0.056,0.409,0.091,0.105,0.026,0.154,5.556,0.922,0.012,0.913,0.992,0.005,0.031,0.005,0.425,0.013,0.003,0.008,0.189,0.259,2.498,3.508,4.238,0.005,0.006,0.012,0.01,0.118,0.005,0.273,0.526,0.005,0.024,0.043,0.196,401.1,377.313,1.063,8,2,112.74,5,4,7,9,0,22,0.227,3,0,0,0,0,3,0,2,0,0.752,3.469,0.368,86,-0.163,3,1,0,0,1,1,0,1
