,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
LogS,1.5124020754821788,4.834692155246604,0.8857754456630961,0.28079769859994813,0.10036061204687871,0.17972559742059482,0.2393842015923439,0.9158275851903397,0.04940710490756496,0.30631877229134435,0.4187626982852528,0.35530568944010293,0.20285869986526825,0.05294855386900998,0.009998315560355275,0.013741477155178481,1.0828653425142343,0.10739204835320479,0.2535021623334593,0.3674716984527951,0.04941303389608054,0.10491887783342792,0.003662596881446205,0.006338642640254913,0.6839228644083953,0.06534050774184826,0.45395383827771596,0.8035374455322016,0.4998696257119961,1.2269579639899202,0.0162525573229985,1.767173125458787,0.08276334110337179,0.05025447142883208,1.4517413146982021
LogD,2.200133669830869,4.376760161320001,0.7186697031984249,0.11790672713442185,0.003934260693769094,0.10808118946809911,8.89857373952228e-06,0.5674777657720125,0.6389499849899511,0.4582304736197076,0.14601461684465705,0.14775397221829836,0.01203651634688551,0.062436951202365455,0.0907531127130198,0.002724015018043338,0.6139962023682584,0.1520501040170209,0.06077675708511603,0.29682784479268776,0.14066728674309179,0.042987111943234395,0.1872725195974435,0.6742128346484421,0.36101059454844736,1.3968312767351214,0.767035094747943,0.5849341167586409,0.41599600138603754,0.06108470156527183,0.03487414673188715,0.005629697913092958,0.5729872200304572,0.03418185436848952,0.11078206328486304
LogP,1.7628702056096648,3.596963597655906,0.3693880757390763,1.7936119850788617,0.2850471365721344,0.3426503448556829,0.09182896226213065,2.962246992110126,0.41455831412251554,0.02909833976179925,0.1413855329768521,0.016454712942281638,0.10090225898716772,0.10775696792852885,0.5711271049925571,0.01182098808112126,1.7764661402082916e-10,0.036029721481239674,0.14946473946125238,0.7635494948787724,0.08413431854049608,0.10101128244835714,0.23531130059548785,0.5566085785326513,1.5158087531099265,0.31653034476050407,0.021405993127837197,0.3582639590753765,0.40955327661904356,0.0016332432141137343,0.2574057961875686,0.42529824444199105,0.1768865738817081,0.2950218871829777,0.10782594348332486
Pgp-inh,0.2863531617786436,3.095962315274567,0.74059143347055,3.550967167131902,0.06201048890041346,0.27540383157576004,2.361400339922937,0.006949011941578988,0.005869944911849601,0.00026383200627240456,1.2032847576639263,0.001328227567150191,0.0006935121978473138,1.090279396192818,0.04470401708167598,1.804245895122832,0.07341834153838077,0.4323426293954454,4.653371976481714,1.4008231944966176,1.4895141366895859,0.223903274221029,3.8650341910106976,2.146639967497861,0.5746324580057335,0.32978995201864464,0.010039531398142535,0.3308869184946192,0.012434211018451198,0.9858951575864177,0.010093408295635604,5.543011417918986,1.5217475543984982,2.630473338854252,0.04233570548536578
Pgp-sub,3.017613343916411,0.050900395866458656,0.17506824695708084,0.1160582273822305,0.05034574684365774,0.25384353252179404,0.994193728975303,2.6778317322699294,0.039243118582156844,0.6288734299557931,0.05506995250288398,0.058613099230541636,0.006014950973023645,1.3886955170339417,0.34961724786333204,0.010099403195987181,0.21361771953446246,6.695886346413673,0.22589034555381698,0.001730440820015023,0.010685117943772365,1.1007687718245553,3.413691234837355,0.26694365688993604,0.07904849431411823,1.6019166954206303,0.04175224626037755,3.221317922699823,1.574889968340348,4.144371944244418,0.021298433980512378,1.0787078563778183,6.156383760061646,0.0026414444859290593,1.4393554991026558
HIA,2.530742992718685,1.526785818811623,0.12133824483334905,0.7368608591724595,0.02512152737773068,0.39860490123793,0.09179620010971953,0.345261391894544,0.020468177552043092,1.5314785800765556,4.74986753408982,7.12486299676894e-05,0.05168499329295101,0.4530948099729764,2.2370212953899737,0.6301361189345113,0.0719355690076063,0.7162556495591491,0.2934171144571915,0.07586976476883756,0.01190472371530863,0.7669860270359704,3.557443902966794,0.0869789590432041,0.21306517385294055,0.5145136357395255,0.024066946242526633,0.04755773489681274,2.1429785760978834,0.05135229050802028,0.06540574017199309,0.06166466114895253,0.38291034117941464,0.39302481206459305,3.9044647051793757
F(20),1.9973339051412773,0.1280660380675735,0.07161062533912986,2.820207107177702,0.002240880650521266,0.7575242548142854,0.6735683181196073,1.488506021704868,0.041303131696615675,2.462646324834698,3.6707499742662484,0.07536066885990901,1.5454880440359742,0.441343187080511,0.6267935194388875,1.4098087756303488e-05,0.4736535669815186,1.0733713295976859,0.051175374306465765,0.17055273892142028,0.26680220478300004,1.9012017428930157,4.858509353038443,0.4903182457487208,0.13055854109973947,0.7869274559417917,0.06825510567462963,2.1876782391676826,0.5944571912563501,1.2907743890359122,1.259216658851,1.1750124237266317,1.9761402789471645,0.216109545316072,0.7362485933703045
F(30),2.3427509692652424,0.09853733647162533,0.08799601288453832,2.5305413687959,0.0056634551606620604,0.28857673284677443,0.32357188736773557,1.073409887288059,0.01158589770315133,1.9613939739127149,6.860418899569205,0.22992400755823408,0.38314040432571633,0.587366768423263,0.39480684917891407,0.23003826001940778,0.07449553432152556,0.8779366550761144,0.06135992871577092,0.19399397695335757,0.09341791842690957,0.49745796018175487,2.803533017689602,0.10932871774843254,0.0019029352337432196,0.1162850678322614,0.0163671393876767,1.8708606023038983,3.189226418184644,0.48371446982684924,0.0002490814373534418,0.006349984543964284,0.40821571873727264,0.9018864378133068,0.3535027793940321
Caco-2,2.009912536752511,3.9815454954139526,0.008282234264202507,0.08820156587305247,0.09776259152115366,0.05621904327833626,0.28695625245583717,1.2539631808149239,2.0036787897471027e-05,1.221435423294194,0.002008292698521013,0.34594154815246453,0.0004089078756656946,0.2371554322210766,1.5245364440472622,0.0297085114338252,0.9050669822325561,1.1418228978971927,0.6147253996931384,0.06939878350299551,0.08356173503571568,3.010222431358799,0.13283886771445697,0.172017856423548,1.1395153776142242,0.012196650697825356,0.008270897957023193,1.06518684310919,0.48597531763781887,0.034038354459403924,0.09935180648313481,0.5293190996780023,0.06320106819999712,0.07978770520205124,0.6533994941441632
MDCK,0.33115432999753236,1.1738026324446216,0.028055763469133282,2.995807798889857,0.2849265582178132,0.15793393634101524,0.400812122994724,1.1954606943272983,0.41571969260181085,2.7317731025147793,1.6847975510072017,3.2077310728932584,4.982956252608519,3.798943347953155,0.39989607534170635,3.319185589155761,0.1569192779099674,4.6836120223767,0.23039071057867405,1.5013386401275932,0.1791500408248654,0.4814693863710029,0.11723703398498024,0.9056712049957027,5.005852031191748,0.05237127309592658,5.817873137131966,1.4855212080004931,0.016027546590361798,3.7146730259985805,0.12665802154627775,0.002580947719414373,0.9893087511315913,0.12723994074490044,0.381993944172788
