,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
LogS,1.0000000000000002,-0.8513288260262003,-0.8166077334730016,-0.5161099575725001,0.4693775022734845,0.6027932296927098,0.3382513995811755,0.3557956954485984,-0.7295231459669225,0.14684518701621235,-0.08084891028272347,-0.5193482352014638,-0.26837858526214287,0.3181303532471832,-0.0830286444377273,0.25627857730513165,-0.18797890998727917,-0.607804067449605,-0.37440781120751176,-0.17943954993352842,-0.2721107270882908,-0.18627901972371808,-0.509033959261964,-0.28132177730766594,-0.4953702983024677,0.30240642304183574,0.10518616173105867,0.40295785197482265,0.21136314709392381,-0.10007224602736293,-0.18289428581734135,0.11449379658858529,0.05932321495590705,0.3545282418693602,-0.12765844746786992,-0.027482792910767138,0.42062026652437784,-0.7090577290312391,0.11700855129557246,-0.27002142499037174,-0.1353592824256167,0.06417275572079541,0.14847298483252377,-0.023026137812701707,0.11102322669865955,-0.1294986431954939,0.12274556896735357,0.06525657276553366,0.15973700821705974,0.17724300065486834,0.1856483894869618,-0.16742425544371894,0.09835322067734446,0.08684905059808196,-0.047900412775446884,0.5607598959827176,0.36704059431438757,0.5447894207090497,0.4749975477496092,0.14668382217595552,-0.1514327958227574,0.10360855279118729,0.37626933471265145,-0.024695638646575646,0.16590080020635192,-0.29561710420317383,0.0191020193097763,-0.020198365210418928,0.45667707361059817,-0.18396734595309583,0.18464576809941793,0.4332910731623213,0.3460214111740602,0.0662888273655738,-0.39695169030614463,0.48787361558820214,-0.10555838450414444,-0.13314645733529676,-0.09883736253052111,-0.011837420434675812,-0.31011115447843246,0.21534139995731666,0.07692765827660285,-0.19676982548463232,0.2491933858776915,-0.0002596448992845519,-0.19847082974205538
LogD,-0.8513288260262003,0.9999999999999998,0.9017484607538456,0.5162370305299305,-0.5519019199187747,-0.6849008810129968,-0.4379932638628019,-0.45356144881163113,0.756257182655519,-0.1104356138715039,0.014515998056512549,0.5179802712168841,0.3252435251361836,-0.2624699507275566,0.06693034463757361,-0.2976683149292202,0.21469791938291652,0.6775825769949361,0.38983707424003544,0.10308632773016016,0.27804930911737713,0.27758139180902236,0.5365698389711419,0.2975846407510063,0.4975169123791884,-0.2699632700080205,-0.2335448939858863,-0.33186983226373884,-0.2642227034887755,0.07903615446963409,0.26218718910972183,-0.023986758507577453,-0.13564934010430546,-0.4046238000608238,0.13258483800764884,0.03782353498101503,-0.4025380940915032,0.7112551821418736,-0.1069182582962284,0.33497071133393974,0.12133930517874777,-0.07705738003435979,-0.07922386759612887,-0.06456040324710392,-0.11478470846990933,0.11675625231816723,-0.1298157790387846,-0.1020355163980157,-0.31227921003407705,-0.11609691141863172,-0.13732443750573478,0.06096493990624539,-0.11257909719858374,-0.19693363286215237,-0.059991957220074166,-0.596472913689266,-0.5118493188223399,-0.5143826507204213,-0.5782746741931116,-0.23672099742436964,0.0025160828366138865,-0.21009432958053068,-0.5010833938100637,-0.13607392175907104,-0.1611738474815237,0.3684344200569635,0.006350233187528865,0.07568783981001834,-0.433845530344566,0.20600838692012838,-0.18389257492003475,-0.4633595380272712,-0.3144836206724295,-0.02166867637222332,0.49506383511553537,-0.5210382297075695,0.18169146681098633,0.018198657899408003,0.26639636611875867,0.001671424496797262,0.24577240824774366,-0.06737733788069758,-0.000887961119360903,0.37290116546992114,-0.2716602080580955,0.10881839702610036,0.3784153687897988
LogP,-0.8166077334730016,0.9017484607538456,1.0,0.379311525479965,-0.5661878813090406,-0.6356177796957138,-0.42726693405118626,-0.45473489374082815,0.7287358526216695,-0.2881686179840167,-0.03463430306954936,0.5218472987631809,0.17294080576576304,-0.2904507350464566,0.06388818297699206,-0.17893912968606235,0.1628200696083905,0.5896538022303979,0.29302708067116834,0.19112539269281484,0.3813814771990008,0.3439689676742307,0.388279653684888,0.2738987625954264,0.42011388013538487,-0.11575321541913346,-0.18415318527791735,-0.23628068202283892,-0.1335333038553418,3.315830270583388e-05,0.2637387140152508,-0.11942517230102617,-0.24983601071774847,-0.4522112899753752,0.04519094707462307,-0.13224097578694285,-0.38261349119718757,0.6439182552733368,-0.10999545437012886,0.25520904590043275,0.11928705003385427,-0.09240188461709141,-0.06648809424364524,0.008462281026672435,-0.06763841892800122,0.07894537487390069,-0.14092515771600658,0.0018069082207267456,-0.11837910249555962,0.008781172325365327,-0.04931079146260458,0.1094162220195872,0.008797742319224564,-0.15419061261953723,-0.021780876037579243,-0.5685690394700904,-0.49873346867776613,-0.5133039752080935,-0.5650535508174498,-0.28546783433123424,0.10732459138132877,-0.050102421016937355,-0.47216448745373496,-0.020637774062652922,-0.338878153262792,0.27140323290044427,-0.03243856940921122,0.08685354723512088,-0.2714063236839563,0.11291655938888583,-0.17856566108441005,-0.35264167671995256,-0.2470129583117296,-0.049729303491252146,0.5174159903778198,-0.5246700791861754,0.02496912252078614,0.11061510602548974,0.24812581759340532,0.137274064809754,0.14564723952873707,-0.06205141332892094,0.02131849928620388,0.33662490417979263,-0.16601637503767747,0.16282613103915064,0.35087176146847776
Pgp-inh,-0.5161099575725001,0.5162370305299305,0.379311525479965,1.0000000000000002,-0.1520774289901196,-0.3166657165835082,0.09961722588729804,0.02796635494963297,0.5419342448488835,-0.011754818089948781,0.0958528468011318,0.09605683324145257,0.46532989298353666,0.07014035960747135,0.032277308410483374,-0.09671843868785578,0.3383383051883536,0.5409181603165076,0.2239932761987161,-0.24354099978899674,-0.09904470242249581,0.04060178616909507,0.7563981725631866,0.5300138471445243,0.3573195797013473,-0.38424491283397094,-0.12320532412448659,-0.1810698250517485,-0.39046583525853495,0.05636047995225377,-0.06060567319280426,0.07301649775871781,0.05656469937979294,-0.1529929329863808,0.14610352546299074,0.09648591694460118,-0.16749046240220594,0.42903847066720735,-0.067465423306859,0.2967564596597115,0.2096914796410232,-0.02163186760542184,0.05855942872484377,-0.1266514063439612,-0.09466329502060578,-0.06588855990410478,-0.0558659992429085,-0.15832998102421744,-0.12082162846792571,-0.07688191138051201,-0.09183076940149851,0.09817382523896982,-0.06240674651782773,0.03688215737991956,0.1292783119282365,-0.3332639025092185,-0.1092539896422329,-0.3031030608409533,-0.18059044013068618,0.1426030086621777,0.015089726937554256,-0.18503022046900897,-0.13667580237999766,-0.01593558153382228,0.1816535020537633,0.17372446530732363,0.04042056979575719,-0.05635384590780711,-0.14410678888602002,0.14610352546299074,-0.07218006197123848,-0.2170772711990279,0.10163376516041386,-0.0572746976525852,-0.042701977879203525,-0.11583167849595274,0.23971341441217844,0.04550021261419643,0.18625301648895146,-0.06048648825747808,0.4833337024907706,-0.0278512154120767,-0.039596520638394445,0.05190765107467268,-0.2333824436376159,-0.14379574285428198,0.0516832765191696
Pgp-sub,0.4693775022734845,-0.5519019199187747,-0.5661878813090406,-0.1520774289901196,0.9999999999999996,0.4569203228033393,0.4123241418719071,0.43345399908100624,-0.607739379439339,-0.08276595399367538,0.028418072647884443,-0.08237151931484658,-0.11051348031605866,-0.1622733196564573,0.10224523057804139,0.25601694266318115,0.09343374050940212,-0.4288239680310448,-0.047521086688570566,-0.2411907689043518,-0.31367199391170214,-0.19072840465931956,-0.12736289847237411,-0.03193492535942429,-0.44821913241985345,0.02617006300102904,0.29508402094975344,0.08729246368764508,0.12182663313370183,0.015726517091132094,-0.2757642976874995,0.1624085004305586,0.24412347366990733,0.5234614491305435,-0.17768919824378349,-0.006157198292676144,0.38061100755253097,-0.37850831347952263,0.2707961028285953,0.06185085247607803,0.3355700352535093,0.09613432919050234,0.015804208253787703,0.2631554302904194,0.15578688463873597,0.18577328667295417,0.23458863537475122,0.23964200562826032,0.36426398877022104,0.07347936083756049,0.13797475306516613,0.15491528599299395,0.2363960459924554,0.5306482627279313,0.4485209524261307,0.45722479288578993,0.6744841766643478,0.5528740019284629,0.6758916432072861,0.5701284343148092,0.30032013321688317,0.4100648477690088,0.6686944116519604,0.3953595298509884,0.3606813597445113,-0.18296816465357207,0.13245103882763629,0.0032763286396027703,0.33432048350564586,-0.0032527152789647244,0.4252204247415398,0.5189938078008379,0.432070385206569,0.1490151863700832,-0.6501881599906786,0.4718156265188899,-0.1544907203858958,0.21476333553943136,-0.427510127476645,0.0014141448153485088,0.019159143050933348,0.11718741407746033,9.16774317633899e-05,-0.4548315344386639,0.12522981403109576,-0.41659547766305727,-0.4607716678213291
HIA,0.6027932296927098,-0.6849008810129968,-0.6356177796957138,-0.3166657165835082,0.4569203228033393,1.0000000000000007,0.7776518186689102,0.8077299093548559,-0.5811565031596978,-0.06535165031778954,-0.07008569641743465,-0.27922626509635895,-0.23691090204961884,0.09994654764830174,0.028384644322747024,0.3801207316552195,-0.05263317659365262,-0.39993418507386735,-0.35787639983995584,-0.08169930157994865,-0.28198061932922586,-0.36187575956806856,-0.3786466086708293,-0.17252102088449828,-0.42080179815642527,0.1043267256027398,-0.03426065243184827,0.2598746412273321,0.27451621175424656,-0.07207074126541382,-0.25409413361712513,0.12238911554553306,0.23240193551688973,0.3869971986064858,-0.03743996061759582,-0.07583107735856193,0.4901264532267351,-0.6413943038964771,0.15196200835448193,-0.19325021882231502,-0.0587447316221788,-0.012421031472915517,0.017592189984874308,-6.582234432763266e-05,0.01655037295825451,0.11692627273142485,0.15624529912452928,0.15515464826470776,0.2669209999879377,0.16540252286336693,0.08927211108574092,-0.05266613598706776,0.057109995283001105,0.36451232611186063,0.25400487922598897,0.5567435699598164,0.5937089544545181,0.32724034259843676,0.5872763038083114,0.3634015622647587,0.1515275746221986,0.20364516313661707,0.5798977145977436,0.2836487362418509,0.1497221266685811,-0.23101722180666198,0.06143878183964091,-0.041523618615794296,0.43937620859927434,-0.04418676425237552,0.23822925671530995,0.3415265616916995,0.4191661288947093,0.17156536683536125,-0.5890299914959749,0.5729516924316317,0.025335636522152042,0.15419480638982283,-0.3369870787605033,0.046083359174299156,-0.06216981474404419,0.08998913977690566,-0.01357931361654583,-0.42824655198599076,0.1396484646399942,-0.2721935097496214,-0.38434948166326766
F(20),0.3382513995811755,-0.4379932638628019,-0.42726693405118626,0.09961722588729804,0.4123241418719071,0.7776518186689102,0.9999999999999998,0.8867668151489574,-0.30617776459600804,-0.07984703732900474,-0.10371495348753068,-0.151713535228085,0.012629756539244323,0.049853693245178715,0.058901605548667996,0.3968709020040975,0.12692777816049464,-0.1820829924882203,-0.2477083795025842,-0.19877406406689055,-0.362885393508304,-0.36742569409452397,-0.025273526482970782,0.06493708234025483,-0.23264324117887594,-0.05509862312495023,-0.08215194211270586,0.15200974132737818,0.10065592762890145,-0.08535527701480862,-0.29882552365814913,0.0647063761033454,0.2570871399987043,0.29716967669474126,-0.03380070757697022,-0.08357623302005036,0.3514610701391039,-0.3454152959897808,0.08654353874228496,-0.029322437238384062,0.1134981225252919,-0.007007286705374968,-0.0218731168403649,-0.06244531984863045,-0.036956374947815444,0.027237471019977366,0.10927515059872824,0.06276853151240186,0.24207466958420298,0.09815588486079764,0.00434055599287197,-0.001072405579748945,0.06135179574250167,0.42747070149003913,0.3278773650882063,0.5468884573198242,0.5868886790413227,0.08592665991954465,0.5024735988619552,0.48627964501565696,0.17692048188205015,0.15894503189693973,0.5937615690980935,0.2766937658249752,0.2947118979820594,-0.3016504691511022,0.1574570481039334,-0.09817372139731752,0.3696928607875717,-0.10208276525159082,0.19689991708028895,0.26818346954985417,0.3997539172284948,0.06354519642949222,-0.6121901735660323,0.4466002608466832,0.1343589805598586,0.1864649753554918,-0.4232370440028903,0.07111365042867988,0.13573084460258608,0.09043533690468668,-0.034127415986896704,-0.38058935871373445,0.13729510808642695,-0.4195187239244915,-0.39413480301793075
F(30),0.3557956954485984,-0.45356144881163113,-0.45473489374082815,0.02796635494963297,0.43345399908100624,0.8077299093548559,0.8867668151489574,1.0000000000000004,-0.34551711879653385,-0.1525353842283432,-0.09313057124952243,-0.16689912199345364,0.05468948965684344,0.049516913692382175,0.0550432565538836,0.37482002229855466,0.1015905576874574,-0.16062989875931463,-0.293392557143612,-0.23036129739273103,-0.40033507793172807,-0.3574294796437445,-0.04083598654804645,0.065752197737922,-0.2573171006475515,-0.0551150477973299,-0.07055834539192443,0.19545361333778932,0.12918906898615776,-0.07925109697595334,-0.290964367966757,0.1612897058343517,0.2339213208412015,0.3260080036331404,-0.03716576760330184,-0.1424099719739667,0.4047936072046949,-0.39075668376494616,0.15486438356182397,-0.04457109271794388,0.11753683516164613,-0.011624212272853433,0.05527694449516171,-0.07776724220193315,-0.060599351253425686,0.10649025792370487,0.14888449237860935,0.07045983416083743,0.2345895351187804,0.12815849541437185,0.019386771456679584,0.0029722404773581813,0.0721290899816285,0.47960105893799987,0.39366963970909663,0.5017508502695295,0.6286329169523998,0.17924721140653946,0.5521438372936224,0.517788136948704,0.2685195242287281,0.1541931304986993,0.620820808807301,0.35343099162962444,0.2936446158984864,-0.1745672170799267,0.10710387171751357,-0.055443959618951724,0.4041392594428162,-0.037165767603301814,0.2443580568600516,0.27129099465542883,0.46675765812793096,0.14924763597113283,-0.6357558508252303,0.5387034605719445,0.11839259081907891,0.26575162604246233,-0.4210531615334764,0.04822240467052821,0.14546506034629167,0.0865322510726477,-0.037813654599836606,-0.40724723670511465,0.1374480953320816,-0.45051516320471297,-0.39511786168764496
Caco-2,-0.7295231459669225,0.756257182655519,0.7287358526216695,0.5419342448488835,-0.607739379439339,-0.5811565031596978,-0.30617776459600804,-0.34551711879653385,1.0000000000000002,-0.027075615912814734,0.22976099534525002,0.3107309870129945,0.3935268513768684,-0.11173977817085058,0.13026647081559228,-0.1357099575673111,0.26640390494578864,0.658653071249746,0.3741386706200449,-0.003031049158821868,0.20311165828556585,0.23149738121442276,0.5642962523603694,0.49874354123964004,0.5180084411705369,-0.2857966605689915,-0.1182197199548827,-0.12980954282755797,-0.22316318547826106,0.17744253889227354,0.18087815546623676,-0.002268821729055414,-0.05269826061677249,-0.32868612680165177,0.24436660839092766,0.18712338244145216,-0.38441929354484244,0.6809737306954428,-0.15559450183173662,0.23718142861915772,0.09639446018774094,-0.015977406951318787,0.11978791938949249,-0.06049734560397635,-0.013350913880088461,-0.0017438150728376288,-0.16258976380511406,-0.15276032147968086,-0.07283738255416197,-0.10826096501229335,-0.015607974296351296,0.11445528919817316,-0.035818511703067,-0.27857027417385744,-0.17818969295628087,-0.4842266653409196,-0.5418498430829772,-0.7114649338134155,-0.6348582719702837,-0.3416340625380078,0.007307681825688507,-0.18093900035846408,-0.5128615607556691,-0.12769180547989406,-0.27007493784003794,0.04028965859560191,0.047404698709970855,0.01623228967246519,-0.32742557206232464,0.25991878623678116,-0.28288320110336074,-0.2776096569700353,-0.28943041447847145,-0.07629445645110282,0.5128875720671825,-0.45976357619288705,0.07763865118632564,-0.05808940966464993,0.1879535036193265,-0.055156922944648454,0.2419874380216006,-0.11329621587864519,-0.09470703650413426,0.38343891955360204,-0.3657310178761128,0.11643317688550636,0.3181685983962395
MDCK,0.14684518701621235,-0.1104356138715039,-0.2881686179840167,-0.011754818089948781,-0.08276595399367538,-0.06535165031778954,-0.07984703732900474,-0.1525353842283432,-0.027075615912814734,0.9999999999999998,0.2445864502592514,-0.2217358709042153,0.08287523482503703,0.2599353690622559,-0.07169661455861774,-0.06789207051115437,-0.10411410657360066,-0.055139883841969,-0.09427114514034499,-0.05516153332060273,-0.08299675550866957,-4.2312046455426105e-05,-0.04970756294727755,-0.16466373908192397,0.14542418412383437,-0.15559714310210265,-0.09812187597995739,-0.00987358779094228,-0.47488590871723885,0.06635124933451964,-0.07544526481315819,-0.042806937338095444,-0.11791136103150952,-0.13195658350230918,0.024819320573338115,0.33955563503179487,-0.12422240209288493,-0.13861763382102374,-0.1912148838505226,-0.24815848307397592,-0.3397531190021358,-0.026820382415595843,-0.06343631014331873,-0.1346413260132922,-0.06667794651989736,-0.12411185299069681,-0.06003968564635915,-0.13154021897908305,-0.2082933777353408,-0.041906646342616996,-0.09958967499886788,-0.1367842757934403,-0.08623331930581048,-0.3819268480077783,-0.41491600541014656,0.02590128458793191,-0.1886141639074444,0.035376714429254136,-0.12110428602666136,-0.26307607968779423,-0.440327090300246,-0.5413219544305524,-0.21932470702881465,-0.43763361395135997,0.1513769723637742,-0.10465709972555091,-0.11683645913735087,-0.04678446393078681,-0.07856976306571196,-0.02700854347570967,-0.14400420821477022,-0.20616020908808147,-0.3091687067136076,-0.05959346713657928,0.04556726368111694,-0.030750172307709444,0.362880230670316,-0.3834773465963344,0.31235968694257615,-0.3137370731448649,-0.07534722314481458,-0.024364068383875392,-0.03454937073119405,0.10777932030735196,0.014597812219053123,0.20517573502715677,-0.060357640498449064
