,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
LogS,0.12297975750025611,0.2198793340731822,-0.09411564405894998,-0.05299034804565344,0.031679743061912395,-0.04239405588294126,0.04892690482672533,-0.09569888114238012,-0.022227709037947428,-0.05534607233502161,-0.06471187667540271,0.05960752380699126,0.04503983790659868,0.023010552768025792,0.009999157744707934,-0.011722404682989952,0.10406081599306409,-0.03277072601472307,0.05034899823566096,-0.06061944394769674,-0.022229042691056335,-0.032391183651331416,-0.006051939260638861,0.007961559294670175,0.08269962904441559,0.025561789401731705,0.06737609652374615,0.08964025019667234,0.07070145866331162,-0.11076813458706976,0.012748551809126601,-0.1329350640522953,-0.028768618511039384,-0.02241750910088633,0.12048822825065533
LogD,-0.1483284756825496,-0.20920707830568264,0.0847743890097962,0.034337549000244924,0.006272368526935492,-0.03287570371385212,-0.0002983047726658472,0.07533112011459889,0.07993434712249493,0.0676927229190633,0.038211859002756865,0.03843877888516991,-0.010971105845303615,-0.024987387058747344,-0.03012525729566799,0.005219209727576902,0.07835790977101535,0.03899360255439613,-0.024652942437996317,0.054481909363814286,0.03750563780861375,-0.020733333534006155,0.043274995043031894,0.08211046429344078,0.06008415719209574,0.1181876168105239,0.0875805397761365,-0.07648098566040064,-0.06449775200625504,-0.024715319452774994,-0.018674620941772066,0.0075031312883975,0.07569591931078301,-0.01848833534109806,-0.03328393956322824
LogP,-0.132773122491326,-0.18965662650315984,0.060777304624265505,0.1339257997952174,0.053389805822098124,-0.05853634297218119,-0.030303293923620023,0.17211179483434963,0.06438620303469647,0.017058235477856218,0.03760126766172281,0.012827592502991994,-0.031765115927250724,0.03282635647289062,-0.07557295184075825,-0.01087243674671012,1.3328413784874371e-06,0.01898149664311001,-0.03866066986761252,0.08738131922091653,0.029005916386229902,-0.03178227217307743,0.0485088961527149,0.07460620473745135,0.1231181852168852,0.056261029564033435,0.01463078710385644,-0.0598551550892132,-0.06399634963175975,-0.0040413403891700755,-0.05073517479890739,-0.06521489434492635,0.042057885572352315,-0.05431591729714026,0.03283686091625155
Pgp-inh,-0.053511976395816646,-0.1759534687147306,0.08605762217668755,-0.1884401010170582,0.0249019053287923,-0.05247893211335,-0.15366848538080072,0.00833607338114234,0.007661556572818348,0.0016242906336995377,0.1096943370308571,-0.0036444856525306712,-0.002633461975892787,0.10441644488263416,0.02114332449774064,-0.1343222206160556,-0.027095819149525774,0.06575276643575122,0.21571675819188713,0.11835637686650502,-0.12204565279802411,0.04731841863598456,0.19659690208674951,0.14651416202872194,-0.07580451556508576,-0.05742734122512072,0.010019746203443744,0.05752277101241031,0.011150879345796547,-0.09929225335273731,0.01004659559036573,0.23543600867154924,0.12335913238988422,-0.16218734040775978,0.020575642270744737
Pgp-sub,0.17371279008514062,0.02256111607754782,-0.04184115760314011,-0.03406731973346755,-0.022437857928879423,0.05038288722590179,-0.09970926381110748,-0.16364081802135827,0.019809875966839585,0.07930154033534237,0.023466987983736642,0.024210142343766103,-0.007755611499439388,-0.11784292583918396,-0.05912844052258877,-0.010049578695640517,-0.04621879699153392,-0.2587641077586625,-0.047527922903680186,-0.004159856752359414,0.010336884416385993,0.10491752817449312,0.1847617718803691,-0.051666590451658,-0.028115564072968224,-0.12656684776909916,0.020433366404089548,-0.1794803031727945,-0.12549462013729307,-0.2035773058138951,-0.014593983000028607,-0.10386086155900197,0.24812061099516997,-0.005139498502703413,0.11997314279048688
HIA,0.15908309126738412,0.12356317488684174,-0.0348336396079062,-0.08584059990310303,-0.015849772041808888,0.06313516462621521,0.030297887733259476,0.05875894756499167,-0.014306703866384843,-0.123752922392829,0.21794190817944634,-0.0008440890353966779,-0.022734333791195868,0.06731231759291728,-0.14956675083018858,0.07938111355571367,0.026820807036255695,0.08463188817219836,-0.05416799003629277,-0.027544466734507222,-0.010910877011179543,-0.0875777384405404,-0.1886118740420866,-0.02949219541560174,0.0461589832917646,0.07172960586393362,0.015513525145023174,0.021807735989050475,-0.14638915861831722,0.022661043777377127,0.025574545972899137,0.024832370235028406,0.06187974960998264,-0.06269169100164658,-0.19759718381544245
F(20),0.14132706411516793,0.035786315550441004,0.026760161684700245,-0.16793472265072845,0.004733794091974497,0.08703586931916546,-0.0820712079915732,0.12200434507446314,0.020323171921876687,-0.15692821049239997,0.19159201377578997,0.027451897723091756,-0.12431765940669792,0.06643366519171667,-0.0791702923727636,-0.0003754742035919842,-0.06882249392324566,0.10360363553455473,0.02262197478260148,-0.04129803129949661,-0.05165289970398563,-0.1378840724265503,-0.22042026569801704,0.07002272814941733,-0.03613288545075515,0.08870893167780754,0.026125678110745683,-0.14790802003839015,-0.07710105000947459,-0.11361225237780967,-0.11221482339027233,0.10839799000565603,0.14057525667581633,0.04648758386021715,0.08580492954197354
F(30),0.15306047723907187,0.03139065728391576,0.02966412191259643,-0.1590767540778949,0.007525593106634226,0.053719338496185355,-0.05688337959085549,0.10360549634493621,-0.010763780796333292,-0.14004977593386986,0.2619240137820358,0.047950391818861515,-0.06189833635290342,0.07663985702121727,-0.06283365731667334,0.047962303950019713,0.027293870066651515,0.09369827400097154,-0.024770936339947036,-0.0440447473546344,-0.030564344983478625,-0.07053069971166848,-0.16743754112174491,0.03306489342919956,-0.004362264588196385,0.034100596451127,-0.012793412127996463,-0.1367794064288882,-0.1785840535485922,-0.06954958445791384,0.001578231406839447,-0.007968679027269374,-0.06389176149843363,0.09496770176293137,-0.059456099720216427
Caco-2,-0.14177138416311355,-0.19953810401559785,-0.009100678141876303,-0.029698748437106348,0.03126701001393539,-0.023710555303142145,-0.05356829775677374,0.11198049744553397,0.0004476247077348505,-0.11051856962946066,-0.004481397882938998,-0.05881679591345185,-0.002022147066030794,-0.048698606984294374,0.12347212009386009,0.017236157180133042,-0.09513500839504646,0.10685611343751897,0.078404425875912,0.02634364885565313,-0.028907046724927752,-0.17349992597574215,-0.03644706678382459,0.04147503543380618,0.10674808558537352,-0.011043844755258637,-0.009094447733107927,0.10320788938396085,-0.06971192994300322,-0.01844948629620996,0.0315201215865572,0.0727543194372679,0.025139822632627526,0.028246717544176937,-0.08083313022172053
MDCK,-0.057546010287206927,0.10834217241889799,-0.016749854766275826,-0.17308402002755377,-0.05337851236385416,-0.03974090290129492,0.06330972460805084,-0.10933712518295413,-0.06447632841607927,0.16528076423210233,-0.12979975157939255,-0.17910139789776236,-0.22322536264072954,-0.19490878245869664,0.06323733670401577,0.1821863219112719,-0.03961303799381807,0.21641654332274826,0.047999032342191425,0.12252912470623431,-0.04232611969279316,-0.06938799509792765,-0.03423989398128742,-0.09516675916493647,-0.2237376148793882,-0.022884770721142617,0.24120267695720055,0.12188195961669196,-0.012659994703933253,-0.19273487037893738,-0.035589046284816045,0.005080302864411107,0.09946400108238113,0.035670707975158075,0.061805658654591485
