LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-4.605,2.391,3.3,0.029,0.32,0.008,0.813,0.059,-5.363,3.19E-05,0.206,94.23,1.669,2.31,0.177,0.657,0.836,0.305,0.901,0.593,0.112,0.772,0.909,0.897,8.95,0.008,0.885,0.991,0.914,0.913,0.39,0.976,0.02,0.169,0.003,0.005,0.267,1.16,4.623,6.654,7.154,0.007,0.075,0.215,0.932,0.325,0.464,0.276,0.618,0.008,0.058,0.514,0.722,622.17,580.572,1.072,10,1,122.04,5,7,21,13,0,41,0.122,1,2,1,0,0,2,2,1,3,0.297,3.59,0.323,143.683,-0.299,2,0,0,0,1,1,0,0
-4.717,2.099,2.894,0.012,0.471,0.045,0.018,0.026,-5.462,6.99E-05,0.056,95.7,1.403,2.86,0.112,0.539,0.707,0.323,0.92,0.666,0.152,0.767,0.889,0.914,8.608,0.013,0.933,0.988,0.938,0.985,0.385,0.925,0.043,0.729,0.003,0.005,0.334,1.128,4.968,6.75,6.188,0.005,0.246,0.302,0.96,0.576,0.876,0.238,0.695,0.191,0.29,0.874,0.925,631.17,594.377,1.062,13,1,165.18,6,7,21,14,0,42,0.143,1,3,1,0,0,2,1,3,7,0.167,3.539,0.323,143.683,-0.399,3,0,0,0,0,1,0,0
-6.032,2.807,4.403,0.915,0.152,0.011,0.003,0.003,-5.308,1.97E-05,0.169,97.85,0.505,1.52,0.838,0.497,0.839,0.095,0.852,0.336,0.538,0.651,0.819,0.212,2.978,0.056,0.359,0.917,0.294,0.817,0.975,0.959,0.049,0.416,0.003,0.01,0.038,1.698,5.07,6.671,6.336,0.005,0.318,0.766,0.964,0.826,0.741,0.739,0.908,0.738,0.929,0.96,0.98,531.08,480.007,1.106,7,2,93.45,4,6,21,8,0,33,0.121,1,1,2,0,0,4,2,1,4,0.332,3.329,0.222,108.182,0.355,3,0,0,0,1,1,0,0
-3.719,1.316,0.969,0.069,0.999,0.882,0.999,0.999,-5.523,1.17E-05,0.261,95.92,0.602,1.54,0.657,0.811,0.043,0.07,0.486,0.375,0.045,0.268,0.064,0.114,2.632,0.432,0.081,0.977,0.8,0.892,0.927,0.972,0.052,0.976,0.003,0.01,0.596,1.139,4.906,6.58,5.555,0.005,0.901,0.493,0.981,0.805,0.81,0.987,0.934,0.98,0.985,0.971,0.995,420.15,29648180.62,0,8,3,121.88,3,5,21,9,0,27,0.111,1,1,1,0,0,2,0,1,3,0.322,3.689,0.318,99.414,0.926,1,1,0,0,1,1,0,1
-6.195,3.12,3.937,0.064,0.021,0.004,0.005,0.02,-4.957,2.22E-05,0.184,91.44,0.979,5.33,0.218,0.919,0.556,0.633,0.67,0.372,0.046,0.476,0.457,0.409,10.365,0.067,0.259,0.931,0.479,0.791,0.963,0.973,0.035,0.929,0.003,0.008,0.064,1.273,5.031,6.284,6.436,0.008,0.749,0.76,0.962,0.641,0.816,0.937,0.927,0.864,0.921,0.951,0.989,476.19,475.216,1.002,8,1,99.88,4,6,25,8,0,32,0.125,2,2,1,0,0,3,1,1,3,0.451,4.01,0.444,115.769,1.11,3,0,0,0,1,1,0,1
-4.815,2.329,3.999,0.999,0.018,0.023,0.967,0.928,-5.298,4.21E-05,0.074,95.84,0.471,1.33,0.027,0.325,0.605,0.883,0.92,0.836,0.111,0.416,0.889,0.925,6.583,0.117,0.151,0.926,0.945,0.807,0.923,0.953,0.056,0.44,0.003,0.012,0.066,0.976,5.257,7.472,7.158,0,0.034,0.441,0.959,0.353,0.772,0.914,0.877,0.133,0.813,0.968,0.973,662.27,671.88,0.986,11,1,140.39,8,7,21,11,0,41,0.195,2,1,1,1,0,2,1,2,5,0.194,4.447,0.368,150.385,0.622,3,0,0,0,0,1,0,0
-5.028,2.691,4.285,0.138,0.996,0.007,0.991,0.277,-5.335,1.62E-05,0.233,76.01,2.939,25.71,0.061,0.384,0.06,0.742,0.064,0.037,0.28,0.423,0.583,0.808,4.566,0.025,0.846,0.985,0.347,0.919,0.87,0.939,0.142,0.29,0.003,0.005,0.389,1.008,4.496,5.484,5.96,0.009,0.125,0.387,0.918,0.776,0.823,0.809,0.788,0.319,0.86,0.856,0.975,586.28,589.793,0.994,10,1,114.2,6,7,21,10,0,40,0.15,1,1,1,0,2,3,2,1,4,0.356,3.633,0.515,140.8,0.261,3,0,0,0,1,1,0,0
-3.685,1.111,1.373,0.061,0.996,0.007,0.003,0.003,-5.344,8.47E-06,0.822,73.41,1.882,25.07,0.684,0.948,0.025,0.378,0.079,0.13,0.07,0.749,0.105,0.75,15.542,0.26,0.564,0.818,0.314,0.929,0.246,0.949,0.119,0.284,0.003,0.007,0.223,1.257,4.93,6.347,6.261,0.006,0.531,0.8,0.947,0.599,0.612,0.489,0.642,0.608,0.918,0.895,0.969,421.16,416.795,1.01,8,2,104.89,3,5,21,8,0,27,0.111,1,2,1,0,0,3,1,2,3,0.487,3.481,0.348,99,0.901,4,0,0,1,1,1,0,1
-3.308,0.86,1.201,0.013,0.992,0.014,0.013,0.673,-5.53,7.27E-06,0.556,71.78,2.03,31.39,0.912,0.632,0.062,0.406,0.03,0.169,0.023,0.223,0.303,0.336,6.788,0.19,0.635,0.968,0.224,0.631,0.53,0.956,0.103,0.051,0.003,0.006,0.165,0.991,3.41,4.839,4.515,0.003,0.117,0.435,0.956,0.513,0.624,0.113,0.495,0.612,0.766,0.682,0.957,421.16,416.795,1.01,8,3,113.68,5,5,21,8,0,27,0.185,1,1,1,0,0,2,1,1,3,0.327,3.403,0.348,92.613,0.78,1,0,0,0,1,1,0,1
-6.088,3.076,4.039,0.126,0.698,0.016,0.006,0.005,-5.059,1.57E-05,0.081,98.02,0.554,1.67,0.941,0.972,0.121,0.403,0.747,0.431,0.014,0.296,0.27,0.252,3.548,0.126,0.231,0.534,0.093,0.427,0.846,0.973,0.035,0.098,0.003,0.011,0.236,2.055,4.816,5.635,5.778,0.006,0.073,0.743,0.957,0.666,0.71,0.862,0.849,0.332,0.911,0.9,0.969,448.18,38792814.4,0,6,1,81.42,4,5,21,7,0,27,0.148,1,1,1,0,0,2,0,1,3,0.378,3.535,0.4,101.486,0.841,1,0,0,0,1,1,0,1
