,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
LogS,0.9999999999999997,-0.728082032096526,-0.6369978568083532,-0.4811422921558314,0.2217185277528697,-0.07579176254408262,0.026271985808194353,-0.1719316843474573,0.15219080228728427,-0.01388160545119213,0.5140699892638357,-0.5032345918948815,0.44982266752406663,0.3789542249028787,0.16259320683121894,0.03653560376482393,-0.28485103549187457,0.3770731210352919,-0.3735397978026231,-0.18739178290939257,0.06878579398680329,0.002436314313120538,-0.31056004642368273,0.2399211220926233,0.3159010789366494,0.16717934595447428,0.3775690357501053,0.09990281734069681,-0.23042707361255924,0.3061490150009612,-0.4129576636656214,0.06218114170213839,0.04502433787932515,-0.12383582649008021,-0.08395416793002768,0.30678021088598006,-0.18173505896840883,-0.366817562485387,-0.01569211287612755,-0.3454734363961808,-0.042870533911905935,-0.07481187612329938,-0.3858232346221494,0.10411028102422025,-0.11917936548726474,-0.022290502385509947,-0.45255114944208075,-0.5007391043627033,-0.1657112508462189,-0.2427509876501965,-0.4541110771268481,-0.2712133838413843,-0.3533599409823962,-0.15426743007138907,0.0607187217001297,-0.20059467524084348,-0.04522434806872442,-0.148923213376864,-0.33014037572739563,-0.32602788088672946,-0.1448381283112804,-0.25386169253125584,-0.1373407647694397,-0.31086108735621903,-0.30019735085377,-0.18661564426984995,-0.29659273452468654,-0.2526439235905154,-0.221622160211587,0.03657478501163523,-0.37801254197596007,-0.08412382085612853,-0.24622839267892502,-0.05131968157533608,0.3560511888594137,-0.2976447779660211,0.13628204154785242,-0.2613026498874614,0.1702233291170931,-0.026509715806893975,0.03908625207875766,0.1651026476229105,0.165287355440687,0.1502729370420807,0.21909423133807532,0.15777117668472057
LogD,-0.728082032096526,1.0,0.9088035031883566,0.625628701543633,-0.2126865945810319,0.03791235681640671,0.06348964447207846,0.2561440344800917,-0.2596183310611702,0.09524566492144478,-0.45135522104621484,0.553689023517167,-0.35090504255256144,-0.4082627053539363,-0.3725164984078252,-0.21350410858724808,0.45880775351419667,-0.19541004545767468,0.4908245135050227,0.3495000839039039,0.11994084859553333,0.1837818438124514,0.4923948334254309,0.06717550518390278,-0.11212367438369375,-0.30143399244396674,-0.2415328928065911,0.013684440030066244,0.33671563334577587,-0.1637923249503874,0.428889731026833,-0.027207466609581107,0.11848726494742678,-0.07284820816614836,-0.0757475399257295,-0.11603389104959748,0.02696841258234686,0.560710813217877,0.19119060516410924,0.5056022871031394,-0.13746168279834636,-0.1733596867739931,0.2509160413407412,-0.0701732422800004,0.11127154941830467,0.1667763590981448,0.3434276904326823,0.4339147430536029,0.008093426217710446,0.2621838801211912,0.3453899506782436,0.2174039705195519,0.5131498554796109,0.08702312272958276,-0.047506943419644815,0.2057280594903546,0.007599953093899207,0.14141413382538706,0.4473809108319395,0.42667260532596984,0.08615351316713124,0.3036224149637855,0.21980790547862342,0.45689805741996653,0.4263856963240853,0.32533194156255574,0.20171713711943076,0.37019381709664756,0.4143047475247003,0.09986265333313771,0.26903793882210975,0.27558165476943536,0.3528447979452155,0.07241254337795236,-0.5055453625415284,0.3634198491822111,0.022815511121510288,0.38313331042889603,-0.291205192039197,0.057575451374984835,0.15581520312557764,-0.21553580453690754,-0.32079729076196334,-0.124152835149687,-0.33119232579017854,-0.39548895080169916
LogP,-0.6369978568083532,0.9088035031883566,1.0000000000000004,0.587614690320709,-0.2018744118043711,-0.019617873850971315,0.00859055738232037,0.1304948963774999,-0.3297404902573338,0.07388755549387287,-0.4492356811032441,0.5056270020302716,-0.329331640035312,-0.35124769766668545,-0.36718065030026203,-0.29650113655280314,0.5005997461560743,-0.17736831054342406,0.49431235204014246,0.459848641805795,0.14569380511887564,0.23267155767566103,0.5188123200078607,0.13376140818026933,-0.14836786763218499,-0.28129131384731243,-0.20546911018075878,0.1049867814300364,0.3364626060319149,-0.20494059852012167,0.43231450804201266,0.06730252603991523,0.18675528862887744,-0.22376642526004292,-0.14041349751357335,-0.11223455262432837,-0.05285625020047826,0.6544487074846354,0.28571948026615235,0.5300219096945915,-0.21534413906403704,-0.2481733731098727,0.21426333203282463,0.028309178544193167,0.046507366221467394,0.24010221510915258,0.290693928419889,0.38014653533133264,-0.02488320456040165,0.34078914496363993,0.34927919450515715,0.2398519380969683,0.4724383527930422,0.17401100733925554,-0.0965431176371582,0.10151017307695209,-0.049534549653752445,0.07152489741123276,0.32916738681898766,0.4123844805110654,-0.032476214187409175,0.21315863959066475,0.15643857158364954,0.471538934327896,0.30088381754919996,0.21776305184652084,0.04113560990086329,0.42511530846316264,0.44024988279298727,0.12233612610539593,0.2045571528913815,0.2739052100464584,0.39288889335646954,0.03869183444241285,-0.4699342580752324,0.2637590936896743,-0.07762969711262409,0.40851396516161564,-0.2908908528566803,0.059302507602488105,0.1528400984871947,-0.20630391191032138,-0.2726943438110038,-0.037034860893519914,-0.30640810453450684,-0.4287271819747644
Pgp-inh,-0.4811422921558314,0.625628701543633,0.587614690320709,1.0000000000000002,-0.3097673816951908,-1.2636457419425686e-06,-0.006674349861881214,0.25283241920725763,-0.32466899579459885,0.11132856488755294,-0.3709414609028411,0.4325985620363991,-0.37253823211922493,-0.33188169897767744,-0.45978985653198,-0.22663098099104234,0.20507803679386757,-0.09061402069761394,0.32599582448438563,0.36164348825356374,-0.17760052277316363,0.1078929978050701,0.25736855489852967,0.13924041579754493,-0.19037623117202176,-0.021236083142883142,-0.43176768103280455,0.007194768574849285,0.384699364283563,-0.29317280164408965,0.13147635816848074,-0.03903270619738709,0.042734415617457985,-0.08664820035489995,0.052045397651040826,-0.09508898784856999,-0.07124506834872044,0.35334439425080266,0.10468773810655967,0.44139982927471977,-0.05614289456166412,-0.23530975261903736,0.38543650948315106,-0.07553803379061634,-0.09645160361105334,-0.03577829203737632,0.32933893136179915,0.3386181206561152,0.008760399692079895,0.2776892137962945,0.3755661810266294,0.2855038304153739,0.3804878623121847,0.020953236678775005,0.0012566390860353955,0.185894003349664,0.027358976787215175,0.1391206248057917,0.37493073747977995,0.1285942690480392,-0.10311668391187155,0.2660254121548384,0.03963773966866855,0.2189043236344934,0.4068450381300659,0.21270370697235466,0.27908910425458766,0.4885456456454586,0.43241204836505975,0.04506671126111652,0.15896687793667663,0.12552240493271832,0.481280719807637,0.1103142119935289,-0.39415759304592674,0.3295562317079611,-0.09418388614828788,0.18235194370345295,-0.290765859903854,-0.0379424782887983,-0.022840728566162146,-0.10679010067162932,-0.3336241643455592,-0.18483372494087918,-0.2126291245689962,-0.4093849099603483
Pgp-sub,0.2217185277528697,-0.2126865945810319,-0.2018744118043711,-0.3097673816951908,0.9999999999999998,0.11659411640668896,0.20331316556570336,0.06011245838475009,0.06634221627746797,-0.4161919236963941,0.3009735847285507,-0.39499444910391857,0.5012016170190543,0.4990289032154935,0.047496641105467655,0.20012689346844825,-0.4883923177066353,0.07079043325540435,-0.4555023464697911,-0.48027908823641635,0.2933220722364253,-0.060497044773472224,-0.33290366508358227,-0.1695672762849912,0.07361728385225996,-0.17083371783707108,0.37061711919375606,-0.13818214759845987,-0.39905074604485424,0.03888763286045438,-0.19724805290032657,0.10975991213068906,0.2472748347276491,-0.17721896031149553,-0.23679245965887832,0.08387966776960618,-0.19761518403146702,-0.2936322449733087,-0.3314390632425006,-0.29042951200163286,-0.11321928956107404,-0.010954344156920249,-0.29358244111437665,0.07485365485474962,0.1429460789511928,0.13914033184722013,-0.2472792228299279,-0.24988375637284066,-0.12848566537503445,-0.12258591434064578,-0.29113734655258167,-0.07429893556509164,0.10752514336987568,0.1117357583856873,-0.15761715329580045,0.2019673357376142,0.36089861437517357,0.2252391069760923,0.08241743138655308,0.15737985051158795,-0.05072550026248389,0.1139641493650358,0.1339795573623694,0.08400645721609415,0.049726941157218645,0.09084339311787493,-0.13923228074574862,-0.3412957265947824,-0.29706612929592907,0.04309552252650279,0.1981827577106222,-0.06065773352601155,-0.3895027455447651,0.04238397453080561,-0.0401154064292144,0.1651443729174384,0.4201340078343194,0.20307825344149757,0.1331941053531888,0.13396413472252172,0.19066016505909666,0.16438899318672354,-0.01211685766090248,0.10843466730483653,-0.1323228964745819,0.02345880011772575
HIA,-0.07579176254408262,0.03791235681640671,-0.019617873850971315,-1.2636457419425686e-06,0.11659411640668896,1.0,0.46413119343240045,0.40602675936995436,-0.18124301647517593,-0.09736209120623043,-0.003663190739057043,0.01737172821879402,0.0729343136483386,0.07338046850349571,-0.2591017257864402,-0.11427901123833822,-0.10122121906045671,-0.01736570455485787,0.007102638554174652,-0.028427650259220383,0.08883711164973097,-0.07963603996252408,0.026830246239744546,0.051642468792085075,-0.06845548865267685,-0.0882830937319209,0.0256672210148157,-0.24783114217649366,0.20647096986192862,-0.3098439970361815,-0.16468092563281173,-0.25947921699386056,-0.021513276743603045,-0.07743946456780515,-0.25740184978461184,0.02613487866841773,-0.3334683561682535,-0.19975059075693366,-0.2958104309172283,-0.19550831630071794,-0.12182036279435493,-0.21676915557639176,-0.19362870989516456,-0.29950460423698033,-0.08527003936777362,-0.016815080219799133,-0.1263777128456632,-0.09995732283363983,-0.1575543855554876,-0.16884458730109586,-0.159811657705531,-0.1829107855453902,0.4966232109931925,0.2385758128290826,-0.15821010487028145,0.5322251608751916,0.3990414310086397,0.5245103464376574,0.48735771542038697,0.33135666697723737,-0.026398952831837703,0.5447437882132034,0.037419074164842074,0.33902858294710503,0.4410416366279845,0.005849927359484696,0.00852992855426793,-0.061540547339861675,0.14007404399742202,-0.05872324836801042,0.2980934830445329,0.03985958938772308,0.13408359221073518,0.09353198327338068,-0.38188399941137424,0.3677298585021733,0.15041743026827015,0.3573440771640102,-0.26560233703032166,0.16413573853984093,0.397649478939314,-0.05327180230103904,-0.33251453870057684,0.0491434163111504,-0.11105105103702838,-0.26793077706652185
F(20),0.026271985808194353,0.06348964447207846,0.00859055738232037,-0.006674349861881214,0.20331316556570336,0.46413119343240045,0.9999999999999993,0.6065447533685431,0.04561926496779294,-0.036357842376898784,-0.027477049071620685,-0.07769102351734551,0.13880770200427012,0.03929164852745256,-0.3789849198440723,-0.05963203494856532,-0.23724645678688958,0.29278733515365046,-0.05268709456718495,-0.1313842334915821,0.10460897474634728,-0.22694616589681918,-0.029345575367775212,0.19080524303046945,-0.012288094287021467,-0.1875505083351024,0.043623725271746495,-0.23327004165123075,0.16512902114598596,-0.16352675048112242,-0.13314351780759465,-0.1278235680567338,0.1252377870415948,-0.011587813730370551,-0.26703782162988327,0.19396831699782524,-0.4003620311258565,-0.19685771787193596,-0.21383450852625582,-0.14085642895950135,-0.1580783915592632,-0.28266286708737964,-0.45842272104623744,-0.16607939181905648,-0.20562493586466207,0.10952964339132366,-0.15769571866412674,-0.06774499541523897,-0.33495040738101006,-0.2079876304994431,-0.12616536526003244,-0.20229947534923665,0.47411247816095714,0.032006635035913715,-0.082264842912197,0.5615754587674153,0.17391051709013503,0.5091379757428663,0.44129080942278026,0.30561587027509046,0.06445313479666208,0.5093047774253999,0.12868307602968054,0.31239792764285557,0.40411633461153623,0.12804621232045593,-0.0016124884608790847,-0.2310848637183352,-0.03608026791095962,0.18313319649426693,0.18828222787211715,0.10027104911018239,-0.1170953898755741,0.18560327256591821,-0.39215911892617505,0.4656533494983651,0.49876322893118924,0.4584458308184648,-0.09941379514968039,0.25003477692800874,0.34870991123791956,-0.08521356670438252,-0.43735088153113266,0.07566151875541205,-0.1368117584952747,-0.38410105843594783
F(30),-0.1719316843474573,0.2561440344800917,0.1304948963774999,0.25283241920725763,0.06011245838475009,0.40602675936995436,0.6065447533685431,0.9999999999999997,-0.12840928183956837,-0.028641104610584476,-0.17977926034201316,0.10502801092417353,-0.0974283007083872,-0.12772813466620173,-0.3900368344780939,-0.14686505837504676,-0.11303510301727487,0.07329672865292287,0.10131288874098944,0.011777586333181284,0.03362011902754706,-0.2605775388575083,0.07767555735065548,-0.013695121764196327,-0.0673783009890943,0.03765799788310248,-0.26007387500056356,-0.21520552350493372,0.24337141602392834,-0.1870683798404703,-0.025483742094508932,-0.1045799153493029,0.06963088911386009,0.005012368774912557,-0.09357128906895365,0.0037789440153043626,-0.28888227231367863,-0.013487422244512829,-0.19345423072732215,0.022024440368529238,0.004645100413499947,-0.22301395703782725,-0.12704310955179765,-0.27994252300159594,-0.07341722531614313,-0.03426720635854338,0.05763795434773991,0.08944391810141854,-0.2521520514374156,-0.029176291811690454,0.0933605437747958,-0.009611915750339177,0.448559039808514,-0.0025649389072749584,-0.042850643544657764,0.48539248460851514,0.29808927629022597,0.466197305534534,0.5095129227388957,0.17650041310921466,-0.021778263989816592,0.4772532002453138,0.13234281116424146,0.19790838645176462,0.5285251641929285,0.35461643293413264,0.15472513284585904,0.01874228095891428,0.2463431796722743,-0.007534244988492373,0.1587720877679401,0.006676433362268228,0.17788261019329196,0.094773876240474,-0.42208939752976876,0.5545097735862254,0.4043819027437371,0.2902313990664408,-0.11751559704191139,0.15799297681156343,0.2910216466059154,-0.10932725151192485,-0.39688950098463666,0.016151326864992,-0.18598793433020505,-0.3620242798759396
Caco-2,0.15219080228728427,-0.2596183310611702,-0.3297404902573338,-0.32466899579459885,0.06634221627746797,-0.18124301647517593,0.04561926496779294,-0.12840928183956837,1.0000000000000002,0.1700841104568557,0.2537389811954738,-0.22345383980293723,0.10917762985993225,0.11201915944975777,0.5896289651561124,0.6665436395367335,-0.3216368697002812,0.36966663071354955,-0.34841423339076283,-0.5402370315690581,-0.017843993052708507,-0.13492115763919932,-0.4370527998280671,-0.24919803728084938,-0.08169138895283365,-0.31318167241852096,0.10890101319549578,-0.29730452018771375,-0.5633290292476811,0.41383028530366966,0.02489208339899265,0.08891231889783084,0.10570884013517848,0.5015223667916109,0.552735963395241,0.3073066054426386,0.4064257774547285,-0.24144768114244947,0.05855921460050142,-0.3599646380616916,0.3429953583770577,0.6594330919891972,-0.07275074356319729,0.488592982522987,0.2621649168000939,0.2064546666075108,0.014405603304391711,-0.02623134369253487,0.03329217883837585,-0.07483671885889667,-0.0001425455676956451,0.06045403694840889,-0.5786280580748469,0.054542044218699376,-0.14963876120312058,-0.46121545189717783,-0.39757265365528294,-0.46722935846944774,-0.5306824750718522,-0.37265625448369327,0.13642100511143884,-0.5696747146944454,-0.04288323845638115,-0.5324572300584972,-0.48933418635270903,-0.16161863162838044,0.013386726711763556,-0.6868131912156569,-0.7381766878399868,0.09668385081847078,-0.46391334004381046,-0.2086933997838175,-0.769887035208758,0.12218216639302075,0.6389054602670632,-0.20421768010542024,0.2967967944742866,-0.33867332137551875,0.6534086922378106,-0.2475571139833769,-0.010961070896334718,0.049437133101935864,0.3097697163012308,-0.1718173979541901,0.26597814353389976,0.6646238008203533
MDCK,-0.01388160545119213,0.09524566492144478,0.07388755549387287,0.11132856488755294,-0.4161919236963941,-0.09736209120623043,-0.036357842376898784,-0.028641104610584476,0.1700841104568557,0.9999999999999999,-0.13035496530989413,0.21405085102953125,-0.1777995348641058,-0.2677524622548365,-0.00029037673895468527,0.0646847251376676,0.2737165263176857,0.11407556601932013,0.26194782868717603,0.18441701075678388,-0.008978776005286961,0.006067785885049901,0.19275340550043016,0.1817195151994049,-0.037145797525306,-0.06985375153853432,0.04848855252005365,-0.04768016445889421,0.14269194317264006,0.2287671313920394,0.028375946416636284,-0.026440488328804936,-0.00921332345474811,0.20873582565296958,0.23955479021748532,0.115709821472361,0.15114192291771295,0.21564608077475986,0.33207780975955886,0.07190870900753887,0.03407023199995379,0.0915738635798227,0.0003413139798746433,0.06829452724950569,-0.04116269887289857,0.09262905753955274,0.0486857177810214,0.12093331468202982,-0.046263788710112566,0.036493283567334944,0.13844740273385825,0.005453002865507406,-0.11303887751957377,-0.054814529382283185,0.06402288499280315,-0.11286220174838882,-0.35500339376106443,-0.13535689034602758,-0.12615021163632187,-0.13141908096066093,-0.05362882921616776,-0.09490528359889012,0.045666008226559085,-0.07816959382744035,-0.09441591025055389,-0.14225218931686961,0.23867864394766622,0.016330928533784494,-0.008359872753047686,0.03877935524051721,-0.2662088580289141,-0.005243590332293546,0.08961945129620807,0.5541912387084542,-0.009299930820174716,-0.15398237178231367,-0.11355164066666829,-0.10175549131359524,-0.09990368725249506,-0.12339574973739376,-0.03570461628241253,-0.12881949696501876,0.057657271821187406,-0.017255991763976804,0.1061366659181041,0.006611468523421296
