,PC1
LogS,-2.152783690375103e-08
LogD,1.1297384028274848e-08
LogP,3.4195017084661424e-08
Pgp-inh,1.1995066484432702e-09
Pgp-sub,6.9709832622647315e-09
HIA,9.18676290237558e-09
F(20),1.834336362827413e-09
F(30),-1.5063803401995227e-10
Caco-2,3.7233372639866634e-09
MDCK,-1.182428490726819e-13
BBB,-3.0371588957619086e-09
PPB,-1.1819542220359364e-07
VDss,-5.937828885910184e-09
Fu,2.3115518000667457e-07
CYP1A2-inh,1.3893310863895213e-09
CYP1A2-sub,7.842508615717972e-09
CYP2C19-inh,-6.712713035169116e-09
CYP2C19-sub,5.119622095606702e-11
CYP2C9-inh,1.82927625613549e-09
CYP2C9-sub,-2.1060761823177623e-09
CYP2D6-inh,-2.415552697951019e-09
CYP2D6-sub,-2.627827679206642e-09
CYP3A4-inh,-2.457381688365366e-09
CYP3A4-sub,-1.4492800623047388e-09
CL,-6.708964725150215e-08
T12,-9.25660067229901e-10
hERG,-3.4540894797857616e-09
H-HT,-1.009110159785113e-09
DILI,-4.20048987288954e-09
Ames,-4.701037479338595e-09
ROA,2.5113527860891904e-09
FDAMDD,9.124710226614441e-10
SkinSen,-7.706588541652593e-10
Carcinogenicity,-7.279802540163921e-10
EC,0.0
EI,-1.4868253317788101e-12
Respiratory,1.4550774680795668e-09
BCF,-1.0862889434429007e-09
IGC50,1.6953294950482356e-08
LC50,4.954518308147188e-09
LC50DM,1.8751880568503424e-09
NR-AR,-1.8016021752129294e-10
NR-AR-LBD,4.5639483706810915e-09
NR-AhR,-6.454590382750006e-10
NR-Aromatase,1.6658294724594006e-09
NR-ER,1.887995449472405e-09
NR-ER-LBD,3.3388115633589905e-09
NR-PPAR-gamma,3.233006350815537e-09
SR-ARE,1.6452893815226763e-09
SR-ATAD5,1.8015444320762877e-09
SR-HSE,3.7049347548681984e-09
SR-MMP,2.0476638066661624e-09
SR-p53,4.627140046251419e-10
MW,1.5696193533276588e-06
Vol,0.9999999999984822
Dense,-1.9319175069939966e-08
nHA,-8.64981123539496e-09
nHD,-2.8646483452863964e-09
TPSA,2.825976120481342e-08
nRot,-4.6052077788062284e-08
nRing,2.42753743677963e-08
MaxRing,-4.325155144254243e-09
nHet,5.181630163563927e-09
fChar,9.205464276924805e-11
nRig,1.0082474640408195e-07
Flex,-1.5478084116068194e-09
nStereo,-1.9029845419615905e-09
NonBiodegradable,-9.753440134381178e-09
NonGenotoxic_Carcinogenicity,-8.464970073605387e-09
SureChEMBL,-1.1776950689246582e-08
LD50_oral,-1.3801637171010963e-09
Skin_Sensitization,-1.1224578102439801e-08
Acute_Aquatic_Toxicity,-2.3187896073996777e-08
Toxicophores,-2.5578725891367534e-08
Genotoxic_Carcinogenicity_Mutagenicity,-6.900955240234044e-09
QED,-8.147525707783756e-10
Synth,8.400586342027099e-09
Fsp3,1.0561031405560629e-09
MCE-18,6.934491283786696e-07
Natural Product-likeness,6.088739830788775e-09
Alarm_NMR,-2.4475637538653514e-08
BMS,5.571398774032751e-09
Chelating,0.0
PAINS,-3.681192553419773e-10
Lipinski,-3.0654516419078258e-09
Pfizer,2.7609290835544413e-10
GSK,-1.3805486826717682e-09
GoldenTriangle,-6.982057731884295e-10
