,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,nHet,nRig,Flex,Skin_Sensitization,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,Chelating,GoldenTriangle
LogS,0.9999999999999999,-0.7693624776031958,-0.40399438556228556,0.6556607574636645,-0.2908684210386655,-0.11854134532476626,0.054502952082643476,-0.11943400657995772,-0.5010271037500857,0.8028611874667857,-0.05984319192641675,-0.7972057522067514,0.8583796334574612,0.7644686587704864,-0.2136313812137267,0.11685302344714409,-0.31062770393594774,0.7423263412230052,-0.467768975331465,-0.12030251351599125,-0.056249008440169,0.9521597068690476,-0.3826838119160435,-0.6223766365888082,-0.28301877452147933,0.8338867211866878,0.944721998196772,-0.794075989956826,-0.8877786579926531,-0.04967476789021694,0.6501511663724102,0.9402725957213631,-0.42596984658495113,-0.9098024138985221,-0.11404969401731813,-0.3856373626883218,0.2056932459070513,-0.29262905093258856,0.7051888116241701,-0.6089418912462399,0.1377832685782587,0.8198841699564309,0.944166119756769,-0.7904707877658342,-0.7047259311266372,-0.3297834888219177,0.7525267701479497,-0.3835625724217899,-0.6677208617972075,-0.6742664919826531,0.35062900610334014,-0.5564425739368736,-0.5415193655743762,-0.6979259594507741,-0.6542244822158246,-0.40268847250154804,-0.7343494457417513,0.7441619448407625,-0.6566159954775534,0.01911498480322332,-0.7441619448407625,-0.7597520514850531,-0.7328140524862421,0.9273848999372176,-0.9604136622901822,-0.6935631141815124,-0.9604136622901823,-0.4857672693114043,-0.7416748203356494,0.4139948919614919,-0.7696616159487747,0.32510705336709245,-0.7978280069060506,0.9604136622901823,-0.7441619448407624
LogD,-0.7693624776031958,1.0000000000000002,0.7555066687014658,-0.8478707783698707,0.10057033774914177,0.6352593767849513,0.4482436091196248,0.6353219558810096,0.745543585463279,-0.6553334229250587,-0.07484201170248664,0.7787943808770511,-0.8378639938610845,-0.7957834440902707,0.6982546815790361,-0.16075172965180842,0.730630295512352,-0.39997107055765047,0.5909808074137484,0.29656276223262956,0.6153195982570386,-0.7046839077539376,0.8190772182314092,0.3104002824696038,0.09047358042653823,-0.8057754240621819,-0.8035260225073124,0.6200141975771767,0.7468925160330108,0.015715275057620885,-0.5954653660840225,-0.7781737205197793,0.40944287309628047,0.6501644816119375,0.6406813839710047,0.5789536366184889,0.38878389111627054,0.3036467657424316,-0.514053697611549,0.7586517344263436,-0.22841359130479455,-0.6797521179379236,-0.779214412501331,0.8563880894480381,0.47849376821997924,0.7224270568028803,-0.6906416849861963,0.652080976814334,0.6708047263604563,0.7410660305859524,-0.02528112703370705,0.743269259265346,0.5127564306338086,0.5858151716650593,0.50713955665164,0.5545169086385333,0.386348802798024,-0.6210446562061471,0.1835272122200292,0.015939715085799208,0.6210446562061471,0.5816806475340165,0.5647513121761796,-0.7060045144175215,0.7696265418292612,0.9103498516081259,0.7696265418292613,0.4936242493698581,0.6620539471627487,-0.41262375003199603,0.6193346136312562,-0.6961754169604372,0.8591624900290165,-0.7696265418292613,0.6210446562061471
LogP,-0.40399438556228556,0.7555066687014658,1.0,-0.5882446633336208,-0.05923682226606391,0.7013655851283833,0.5909088355756332,0.7016165201084377,0.9346251141349268,-0.5592287953286331,0.39968810851263104,0.6571958666436638,-0.335827979195646,-0.8398755565388929,0.8370786020316571,-0.2623649922930173,0.9167517447417357,-0.2940111740543227,0.8844644491086853,0.7279646801044274,0.683487195029083,-0.3710253253512165,0.9058250548311828,0.0259171620680559,-0.3152396487593536,-0.6753978584095628,-0.49509263657284114,0.5186724147374697,0.6024968045078658,-0.422720590533387,-0.7217581018198228,-0.5187363420324576,0.1721571221528749,0.081022784277762,0.7106451436996152,0.36359123251120123,0.5142505466842121,0.2625003997015071,-0.6459718620170144,0.8528559139799207,-0.5838093225309553,-0.5610917623363456,-0.44033804083886263,0.7275069183805671,0.2894138405603209,0.74318003639927,-0.2779574039138724,0.6545780806033233,0.7997632729823961,0.5056744630781049,0.2657737439721221,0.8111825342762389,0.4530918002898398,0.6292833973857078,0.5040908029919504,0.7386390275220024,0.31002907192927864,-0.5760460412829235,0.09247116904461848,0.4311875841747965,0.5760460412829235,0.6424952173737775,0.4725608696147794,-0.16874514862886925,0.29745942685617177,0.650728702166357,0.2974594268561718,0.6818203362440686,0.6668439880913682,0.057333254458413835,0.5829687073239783,-0.8530227231719565,0.8017186789775788,-0.2974594268561718,0.5760460412829235
Pgp-inh,0.6556607574636645,-0.8478707783698707,-0.5882446633336208,1.0000000000000004,-0.5277130021690085,-0.29930354259281966,-0.06651901052377386,-0.2987266198807369,-0.6902299224368216,0.30367452964837593,-0.10880955156420508,-0.5343056228836986,0.6118959249480361,0.6529759778795688,-0.38488877551682826,0.38629036734475153,-0.46086195138503244,0.15222830748948954,-0.51042206520901,-0.12660730882867777,-0.284594095802134,0.44850963684321976,-0.5144171976708013,-0.0957005081366747,0.12789920460659973,0.7444514422145514,0.6874816917256432,-0.26958262042081177,-0.6502560887623551,-0.3517767661481969,0.2253645453243922,0.49390273903443166,0.087672108422937,-0.5564532992979945,-0.31622776601683794,-0.6368968060632129,-0.0780178732727071,-0.6020030338482827,0.24986932077276613,-0.39612346049749236,-0.19152135908856152,0.32765401225841145,0.5005797103396347,-0.49665655867326014,-0.09418885337109295,-0.30980691030253654,0.31622776601683794,-0.17149858514250893,-0.33198552551257504,-0.30108397179799273,0.36927447293799825,-0.33521729122990074,0.0,-0.27011791205055674,-0.18783358267432582,-0.517186634000231,-0.1313064328597226,0.2500000000000001,-0.03491209889112772,0.31622776601683794,-0.2500000000000001,-0.316227766016838,-0.1906232129157559,0.6061095979775436,-0.6324555320336759,-0.6123724356957946,-0.6324555320336759,-0.13755770264717576,-0.3005547310631855,0.1664878323395118,-0.32732683535398854,0.4850218915123682,-0.6859943405700355,0.6324555320336759,-0.24999999999999997
Pgp-sub,-0.2908684210386655,0.10057033774914177,-0.05923682226606391,-0.5277130021690085,1.0000000000000002,-0.39253495985856923,-0.5393089090793938,-0.3927497464245263,0.27278046197581884,0.2637064050870467,0.42705861293067743,-0.18986119005844615,-0.04776115826874225,-0.06591100782197716,-0.30374298588357596,-0.7706282605384445,-0.1627878450870788,0.19964855535032455,0.24388843166498347,0.05204820130413401,-0.5130117169732609,-0.005683672619972136,-0.2866514769670227,-0.3222771888074558,-0.5140682230316573,-0.4657137672947963,-0.38911745899509875,-0.27771948338688074,0.4226966756510616,0.7123395301106519,0.2736779085481206,0.010823170571789255,-0.6925494869677119,0.2987324487781718,-0.3792670540316916,0.5701449555454324,-0.6045678905742708,0.8964425576012535,0.05356410276746542,-0.34438388002670095,0.7063965510399194,0.24905181183891495,0.030018457019116065,-0.1571063581953045,-0.42746027021651767,-0.444710485987619,0.33375500754788856,-0.5265572842664182,-0.17559628450909676,-0.46401912673021983,-0.47831958181265555,-0.2973431349501594,-0.5401061141103892,-0.299922001358656,-0.3882905124005702,0.4186717778708833,-0.19527776986761214,0.3358173650166417,-0.07730350068248618,-0.71302206157958,-0.3358173650166417,-0.10619477512887357,-0.37677155785455235,-0.32731774654580603,0.28824296106408565,-0.0587557993611956,0.28824296106408565,-0.4837882162648523,-0.2883572815198241,-0.0014262628868261908,-0.23554721860245548,-0.02710083795751933,0.23859626943322076,-0.28824296106408565,-0.33581736501664167
HIA,-0.11854134532476626,0.6352593767849513,0.7013655851283833,-0.29930354259281966,-0.39253495985856923,1.0000000000000002,0.971680949704558,0.9999978770936102,0.5693181382261505,-0.3074054456646897,-0.24346820418222703,0.3218548983094932,-0.4301102699859036,-0.3502235375839862,0.9745200927636634,-0.10743414502547564,0.9027142656598542,0.07900487706161893,0.44517348383067445,0.5433752050995948,0.9714533793226237,-0.18028558184825832,0.915750321908324,-0.17205832498185558,-0.1388440654554153,-0.3695257395519409,-0.2871256571024917,0.2642663558477857,0.26938987913277174,-0.21161859518316373,-0.44094217671732655,-0.3238319632102096,0.4648163772689303,0.051721686160923666,0.9995821727847402,0.48062976954959674,0.9183134153170913,0.019476763244945496,-0.21656122345043083,0.6376481270388892,-0.4383233138000588,-0.3265289153251663,-0.30036401502688365,0.6458840617927903,0.17084513072214003,0.9583080359856198,-0.4139932068296857,0.8788785555165668,0.5145781211514888,0.6074603889826079,0.7113801074647539,0.7886730751417304,0.5668835450863017,0.26241106314253787,0.17372824039833845,0.5048555584938405,-0.07125126078716508,-0.3272903673547456,-0.3455334412427557,0.20699660341484283,0.3272903673547456,0.20699660341484286,0.2538245162905013,-0.1263698751141856,0.20699660341484283,0.7788432510180517,0.2069966034148429,0.36621807201220236,0.3909628469972777,-0.4475953098390588,0.21426184037614648,-0.8504073070364866,0.5420995459239019,-0.2069966034148429,0.3272903673547456
F(20),0.054502952082643476,0.4482436091196248,0.5909088355756332,-0.06651901052377386,-0.5393089090793938,0.971680949704558,1.0000000000000002,0.9717850517707037,0.4260983003431803,-0.23096998605764352,-0.27475834456401643,0.19468244262694084,-0.2819264916478132,-0.1993987067789761,0.9242473803780173,-0.019811152321178985,0.8301640248490898,0.13547991856927374,0.33921381416825,0.5376990856876968,0.9477843539316745,-0.0585430074402183,0.8295171616039161,-0.21782459764768763,-0.12542531532100515,-0.19267849255071276,-0.11495582492645125,0.19397002457839654,0.1081359790288279,-0.3082056591385838,-0.39368079676707746,-0.1988372208546008,0.4912988051796041,-0.1022311393607399,0.967617272396844,0.3418896215519563,0.9464074088126311,-0.12614425602652785,-0.15273704949930733,0.5613840134833689,-0.5020130706228111,-0.2447008868329447,-0.17204001293702756,0.5389177402909967,0.1378376852295066,0.9201841261765584,-0.336562529529337,0.8670016304329234,0.4455804781329957,0.5457577649635413,0.8351682667518084,0.7321837246382098,0.5760715294819265,0.19650617706066506,0.12374402783697099,0.39887935763913246,-0.1222812358492914,-0.2660760420950958,-0.38445815475013073,0.29449221333816983,0.2660760420950958,0.12621094857350137,0.20288108009630024,0.03595912848573353,0.042070316191167086,0.6517505359122822,0.042070316191167106,0.34202825036878637,0.3214146322651896,-0.4105514605210086,0.13064074323375352,-0.7686227296375081,0.38786915045683407,-0.042070316191167106,0.26607604209509567
F(30),-0.11943400657995772,0.6353219558810096,0.7016165201084377,-0.2987266198807369,-0.3927497464245263,0.9999978770936102,0.9717850517707037,0.9999999999999999,0.5697117421842814,-0.308676188700476,-0.24283172208180318,0.3224869681446638,-0.4305885526823727,-0.3508982515388937,0.9746912954542903,-0.10764720745773344,0.9030770494032014,0.07774316741771192,0.44598682350531427,0.5443808221452276,0.9711676805986453,-0.18144694977345976,0.9159250565568193,-0.17139058353394176,-0.13879528358851806,-0.3703615300429682,-0.2880850862535806,0.26555412229969216,0.2705083563968917,-0.2124678974847717,-0.4423764615243675,-0.32502089384209043,0.4656950037769219,0.05236265305447411,0.9995352007149739,0.48061515662151433,0.9178166000803352,0.019440033521702673,-0.21811996904701736,0.6385208089061591,-0.4393416865472952,-0.3277831257122163,-0.3014106555461409,0.6469204360980956,0.17205539083127286,0.9587323645477945,-0.4147342225443028,0.879688406387802,0.5159179369330392,0.6082637199895624,0.7119387035628314,0.7897286586918361,0.5682896066688372,0.2635671171327319,0.17477794139481329,0.5055723308637469,-0.06990427872509682,-0.328554088734184,-0.34425760817938844,0.2077958509922179,0.328554088734184,0.20836750395230652,0.25506879040126496,-0.12704702325253403,0.2077958509922179,0.7793288427701732,0.20779585099221795,0.3672290475536237,0.3922339448327041,-0.44813043978376177,0.215384998730688,-0.8508592964167125,0.5430041387799948,-0.20779585099221795,0.32855408873418396
Caco-2,-0.5010271037500857,0.745543585463279,0.9346251141349268,-0.6902299224368216,0.27278046197581884,0.5693181382261505,0.4260983003431803,0.5697117421842814,1.0000000000000002,-0.473939795907414,0.5356172077477644,0.5461078776876196,-0.35744420287367773,-0.8164628000723498,0.7288294506803282,-0.5600263528200365,0.8557853975813704,-0.2240647255769695,0.9613699107648641,0.7886399392706205,0.48504867344080554,-0.3866960955138359,0.7815561911802379,-0.10758651622987454,-0.5078882952510688,-0.8419593717053084,-0.6470729278891367,0.4293559901480518,0.7666965857849726,-0.17400610269876537,-0.6469057095380397,-0.528956633784975,-0.029080146545024988,0.1991622293035965,0.5797455321895537,0.5833569956390274,0.29103696306489263,0.5742313092209286,-0.6484736635683904,0.7186997369432451,-0.3472849867710956,-0.48166672899390717,-0.4394559347104437,0.6873981206733265,0.15613180721821443,0.6007304507118332,-0.17608688925458804,0.5058734771868058,0.7555553835218194,0.35456615672115077,0.18086932826833269,0.7337720772494888,0.3222791041839969,0.5125954479248106,0.3516251067158116,0.9061568182773305,0.24719350140787558,-0.4644857456239855,0.0700676958991317,0.17565424333504343,0.4644857456239855,0.6074348710403974,0.34790784906040956,-0.2979909369576601,0.41187891540630944,0.6400908285384846,0.41187891540630955,0.4970273150427471,0.5711768713998819,-0.020532717415574154,0.4863445449537577,-0.8751891951322588,0.8887981129794156,-0.41187891540630955,0.4644857456239855
MDCK,0.8028611874667857,-0.6553334229250587,-0.5592287953286331,0.30367452964837593,0.2637064050870467,-0.3074054456646897,-0.23096998605764352,-0.308676188700476,-0.473939795907414,1.0,-0.08788042821222754,-0.9322319651538994,0.6818130069539898,0.834120528981649,-0.4055731427456841,-0.24170725388989484,-0.4690436069432064,0.9193648693647959,-0.5158853697982989,-0.2878897536310703,-0.301553882196185,0.9174043555666009,-0.566985772866676,-0.7639840544260091,-0.41585208978153326,0.6136534927347771,0.7031365653461673,-0.9984297413678388,-0.701974141955569,0.5344937958289354,0.9312230364228257,0.9384470723694041,-0.722422787309845,-0.6009561752530096,-0.29642801026252413,0.009370461396172702,-0.0831306760810338,0.17597575578113311,0.894427648685301,-0.886469970422068,0.689920466561071,0.9990082209776858,0.9152365550895274,-0.8856336725998667,-0.9422683635914327,-0.5614975555547271,0.8158052043462789,-0.6685588919313732,-0.8928121499611532,-0.8693945040653909,0.042150123235838756,-0.7807086562985401,-0.8547517919458683,-0.9691070593796266,-0.9502840027369944,-0.2899915060292527,-0.9226393996818832,0.9955000001511313,-0.7822721689629659,-0.5580773167084186,-0.9955000001511313,-0.9490627108266296,-0.9873143609782558,0.6157328169106888,-0.7011416477617974,-0.6439284453683376,-0.7011416477617975,-0.8884060032541025,-0.9862836396348018,0.21888518079922437,-0.980349647980947,0.373461823913378,-0.7192979369575175,0.7011416477617975,-0.995500000151131
