Factor,Eigenvalue
LogS,40.67421538776825
LogD,13.762317728184323
LogP,10.94094496742087
Pgp-inh,7.506181012927349
Pgp-sub,2.116340903699225
HIA,9.755118991783603e-15
F(20),8.63003267432928e-15
F(30),8.085320864545606e-15
Caco-2,7.0982831556231544e-15
MDCK,6.556539879579296e-15
BBB,6.275768107855773e-15
PPB,5.49361618558513e-15
VDss,4.549206852510988e-15
Fu,4.2095384706366885e-15
CYP1A2-inh,3.2916747703412084e-15
CYP1A2-sub,3.0649452338096605e-15
CYP2C19-inh,2.693964601377593e-15
CYP2C19-sub,2.5697258825483244e-15
CYP2C9-inh,2.4396595388707054e-15
CYP2C9-sub,2.0477152204886226e-15
CYP2D6-inh,1.7693622510105166e-15
CYP2D6-sub,1.4127575572970414e-15
CYP3A4-inh,1.4108904078172537e-15
CYP3A4-sub,1.381991115178629e-15
CL,1.259414488329472e-15
T12,1.117121270068407e-15
hERG,1.1041042214495376e-15
H-HT,8.48623309628414e-16
DILI,8.335634568157579e-16
Ames,6.692911344094409e-16
ROA,5.76367797662544e-16
FDAMDD,5.136034160270381e-16
SkinSen,4.496599072541833e-16
Carcinogenicity,4.1731341620945817e-16
EC,4.0625798532509336e-16
EI,2.600466391550452e-16
Respiratory,1.910872274316666e-16
BCF,1.217613810811481e-16
IGC50,1.2152899553679801e-16
LC50,6.123850575274324e-17
LC50DM,-9.66650297548987e-17
NR-AR,-1.751654707940216e-16
NR-AR-LBD,-3.385295405900224e-16
NR-AhR,-3.90376978550264e-16
NR-Aromatase,-4.561501131495957e-16
NR-ER,-5.051270129815598e-16
NR-ER-LBD,-5.325790389124846e-16
NR-PPAR-gamma,-6.048707401665534e-16
SR-ARE,-6.409705951778168e-16
SR-ATAD5,-7.063060949198429e-16
SR-HSE,-8.698712942479078e-16
SR-MMP,-1.04003652056578e-15
SR-p53,-1.0400717148556511e-15
MW,-1.0797043969433817e-15
Vol,-1.2169925775039463e-15
Dense,-1.3007902169232641e-15
nHA,-1.5296841910031491e-15
nHD,-1.738069898670735e-15
TPSA,-1.8827211567146824e-15
nRot,-1.9283592975476608e-15
nRing,-2.166267214538851e-15
nHet,-2.3143573455564515e-15
nRig,-2.744037470010681e-15
Flex,-2.787676108946838e-15
Skin_Sensitization,-3.4932615791142263e-15
Toxicophores,-3.893493949880977e-15
Genotoxic_Carcinogenicity_Mutagenicity,-5.233934302967138e-15
QED,-5.374859656151241e-15
Synth,-5.773693317476594e-15
Fsp3,-6.118232603283186e-15
MCE-18,-6.488377697960014e-15
Natural Product-likeness,-7.107960704581643e-15
Alarm_NMR,-8.216183768944185e-15
Chelating,-9.148391375489522e-15
GoldenTriangle,-1.1424429089761724e-14
