LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-4.179,3.347,6.896,0.893,0.989,0.031,0.994,0.987,-5.691,0.0003343342687,0.997,102.05,1.644,5.05,0.049,0.049,0.673,0.065,0.967,0.008,0.812,0.026,0.863,0.936,6.451,0.009,0.039,0.509,0.962,0.391,0.557,0.882,0.28,0.115,0.003,0.092,0.947,0.989,5.73,6.697,7.381,0.656,0.995,0.066,0.879,0.959,0.961,0.957,0.983,0.997,0.912,0.998,1,1126.11,1015.21,1.109,16,1,213.56,21,7,16,22,0,46,0.457,9,2,1,1,0,9,6,3,3,0.059,6.522,0.431,194.658,1.394,2,0,0,0,0,1,0,0
-4.213,3.089,4.49,0.998,0.999,0.007,0.881,0.986,-5.389,7.84E-05,0.043,85.63,1.548,9.55,0.001,0.052,0.06,0.51,0.162,0.019,0.012,0.158,0.844,0.905,6.351,0.004,0.624,0.922,0.959,0.289,0.507,0.055,0.043,0.033,0.003,0.004,0.488,0.64,4.266,6.597,7.19,0.001,0.899,0.031,0.733,0.658,0.676,0.973,0.835,0.781,0.858,0.946,0.998,905.43,897.364,1.009,17,3,210.74,16,8,19,17,0,46,0.348,12,3,0,0,0,3,1,2,1,0.173,6.426,0.646,198.418,1.071,0,0,0,0,0,1,0,0
-4.533,3.279,4.592,1,0.06,0.01,0.188,0.991,-5.309,4.76E-05,0.189,99.4,1.625,2.5,0.016,0.054,0.278,0.164,0.839,0.08,0.078,0.088,0.828,0.753,9.904,0.044,0.86,0.96,0.684,0.009,0.818,0.95,0.062,0.051,0.003,0.006,0.904,1.059,5.248,6.157,7.459,0.135,0.908,0.089,0.875,0.806,0.706,0.978,0.873,0.777,0.626,0.983,0.994,726.3,737.511,0.985,11,2,162.73,10,7,16,11,0,42,0.238,10,2,0,0,0,2,2,0,1,0.199,5.761,0.5,168.778,1.827,0,0,0,1,0,1,0,0
-4.658,2.691,3.619,1,0.995,0.045,0.972,0.992,-5.447,4.77E-05,0.117,95.61,0.742,6.57,0.008,0.032,0.164,0.126,0.829,0.046,0.088,0.066,0.866,0.794,2.459,0.008,0.29,0.946,0.949,0.01,0.876,0.787,0.06,0.061,0.003,0.005,0.956,0.516,4.122,5.594,7.08,0.046,0.919,0.03,0.916,0.38,0.623,0.974,0.829,0.918,0.649,0.975,0.993,825.34,829.999,0.994,14,4,204.22,14,7,16,14,0,43,0.326,11,2,0,0,0,6,2,1,1,0.168,6.032,0.457,172.791,1.554,2,0,0,0,0,1,0,0
-4.644,2.914,4.383,1,0.394,0.446,0.036,0.994,-5.341,7.30E-05,0.367,83.41,0.843,7.79,0.001,0.106,0.066,0.651,0.295,0.03,0.013,0.069,0.855,0.752,9.668,0.034,0.06,0.883,0.94,0.045,0.674,0.896,0.151,0.128,0.003,0.005,0.963,1.078,5.237,6.526,7.157,0.008,0.344,0.026,0.846,0.436,0.932,0.961,0.859,0.445,0.927,0.984,0.999,979.37,947.133,1.034,18,2,246.15,22,5,16,20,0,34,0.647,11,3,0,2,0,6,2,5,0,0.039,6.829,0.702,167.5,1.448,4,2,0,1,0,1,0,0
-4.853,2.867,3.832,1,0.663,0.064,0.949,0.042,-5.28,6.55E-05,0.067,69.74,1.013,6.26,0,0.056,0.039,0.457,0.116,0.006,0.006,0.027,0.797,0.686,8.296,0.07,0.188,0.804,0.964,0.639,0.379,0.064,0.114,0.099,0.003,0.004,0.494,0.921,4.769,5.881,7.198,0,0.229,0.015,0.784,0.521,0.919,0.802,0.893,0.082,0.875,0.951,0.999,1155.47,1120.662,1.031,22,2,283.07,34,5,16,24,0,34,1,11,3,0,2,0,6,2,7,0,0.02,7.167,0.745,164.583,1.147,3,2,0,1,0,1,0,0
-4.634,2.851,3.811,0.998,1,0.008,0.96,0.98,-5.442,8.48E-05,0.051,77.59,1.111,17.42,0.001,0.05,0.03,0.609,0.051,0.014,0.011,0.159,0.599,0.917,6.109,0.014,0.573,0.758,0.937,0.355,0.396,0.117,0.052,0.019,0.003,0.003,0.971,0.92,3.685,6.213,7.782,0.001,0.886,0.023,0.802,0.724,0.576,0.973,0.839,0.694,0.445,0.95,0.997,907.45,900.001,1.008,17,4,213.9,16,8,19,17,0,45,0.356,13,3,0,0,0,3,1,2,1,0.144,6.523,0.667,198.075,1.164,0,0,0,0,0,1,0,0
-4.931,3.517,5.105,0.998,0.999,0.005,0.072,0.933,-5.315,3.72E-05,0.016,93.01,1.901,6.91,0.001,0.057,0.069,0.415,0.078,0.009,0.022,0.152,0.802,0.824,4.837,0.006,0.837,0.92,0.881,0.213,0.752,0.916,0.047,0.029,0.003,0.003,0.955,1.222,4.686,6.694,7.328,0.001,0.751,0.026,0.839,0.438,0.314,0.947,0.712,0.581,0.871,0.943,0.998,875.46,882.42,0.992,15,4,193.23,17,8,19,15,0,43,0.395,12,3,0,0,0,3,1,1,1,0.121,6.42,0.667,194.6,1.208,0,0,0,0,0,1,0,0
-4.049,2.956,4.593,1,0.995,0.041,0.997,0.999,-5.327,8.32E-05,0.142,97.79,1.072,4.98,0.013,0.045,0.372,0.069,0.897,0.041,0.404,0.05,0.871,0.662,5.576,0.01,0.231,0.931,0.801,0.008,0.537,0.779,0.132,0.114,0.003,0.004,0.974,0.569,4.383,5.374,6.711,0.056,0.932,0.018,0.857,0.605,0.738,0.986,0.896,0.907,0.848,0.981,0.994,895.34,873.998,1.024,16,4,230.52,17,7,16,17,0,42,0.405,11,2,0,0,0,6,3,3,2,0.174,6.31,0.609,184.784,1.282,2,0,0,0,0,1,0,0
-4.972,3.341,4.754,0.998,0.999,0.006,0.078,0.95,-5.323,3.48E-05,0.019,90.34,1.79,7.8,0.001,0.054,0.056,0.434,0.055,0.008,0.018,0.152,0.699,0.815,4.731,0.007,0.825,0.926,0.883,0.232,0.699,0.919,0.045,0.03,0.003,0.003,0.945,1.141,4.499,6.546,7.326,0,0.741,0.024,0.831,0.432,0.401,0.949,0.679,0.576,0.864,0.941,0.998,861.44,865.125,0.996,15,4,193.23,17,8,19,15,0,42,0.405,12,3,0,0,0,3,1,2,1,0.127,6.401,0.66,193.846,1.208,0,0,0,0,0,1,0,0
-4.174,2.222,3.303,1,0.999,0.598,1,0.999,-5.496,0.000128204003,0.103,89.33,0.638,6.95,0.002,0.011,0.035,0.057,0.137,0.018,0.007,0.044,0.721,0.72,4.274,0.037,0.061,0.925,0.927,0.006,0.487,0.121,0.061,0.018,0.003,0.004,0.854,0.404,4.283,5.002,6.791,0.407,0.925,0.016,0.666,0.524,0.744,0.929,0.587,0.912,0.456,0.982,0.997,971.36,955.158,1.017,19,5,277.05,21,7,16,19,0,45,0.467,12,2,0,0,0,6,2,2,1,0.114,6.431,0.471,180.72,1.544,1,0,0,0,0,1,0,0
-4.97,2.709,3.719,1,0.998,0.023,0.957,0.994,-5.444,4.74E-05,0.104,94.89,1.059,7.19,0.006,0.027,0.092,0.075,0.578,0.023,0.014,0.058,0.791,0.783,2.841,0.033,0.435,0.922,0.926,0.011,0.677,0.894,0.063,0.03,0.003,0.005,0.963,0.49,4.028,5.016,6.923,0.225,0.956,0.036,0.857,0.61,0.606,0.975,0.863,0.923,0.371,0.977,0.995,839.35,847.295,0.991,14,4,204.22,15,7,16,14,0,43,0.349,11,2,0,0,0,6,2,1,1,0.157,6.026,0.468,172.217,1.524,1,0,0,0,0,1,0,0
