,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,PAINS
LogS,1.0000000000000002,-0.0969336948425657,0.18835493802883735,-0.00036054989149309993,-0.14052466515435294,0.12617551041218814,0.4211891918144207,0.2946723019616305,-0.17564010957900306,0.052400920857863985,0.030331163617381966,0.42404528615527576,-0.29153707523356026,-0.4402613346859415,0.3797320726200502,-0.32809488166456363,0.38613280792851074,-0.4202345326914498,0.4873321787240301,0.26769779029447577,0.14127632605714274,-0.34775320967722845,0.26045990074513775,-0.31819342592532684,0.06326574239789111,-0.07445358778134696,-0.3515800269283267,-0.06456177652632547,0.2534553763838201,-0.34575194111318763,-0.05439259679966149,-0.03083983206375337,-0.04874271363349715,0.240767477692039,2.7391003653507353e-33,0.10340604287554052,-0.19689636740053862,-0.4883423434672314,0.16472789613573394,-0.43739069153017096,-0.4858288798127292,0.2054167672557715,0.298859729211932,0.24977411029221433,0.22134214439846317,0.35987950863926854,0.40545684026813805,0.15753925368007188,0.32759923296585436,0.3379818399879406,-0.2807205138149848,0.3442250542483729,-0.26502140685403247,0.05368224056413158,0.07302741860956495,-0.029615774939832525,-0.06761003635706686,0.02193293616606677,0.16129492149173455,-0.11806980732677161,0.16955365930512406,-0.02937641674626305,-0.0740230102040016,0.4050225760045568,-0.20051441980108273,-0.20071148741874695,-0.14798016946556555,0.10897655101357841,-0.057079440010244675,-0.0019059447536459847,0.27222915618742455,0.23672527085145167,0.007375342470339841,0.1846872370299575,0.0013326320777180226,-0.04017400580599822,-0.49148210197908526,0.27506088672502604,0.11417587833157827,0.19742768247331505,-0.037121430304859176,-0.0009153711803625987
LogD,-0.0969336948425657,1.0,0.840280499154234,-0.2622235981364726,0.0801244926825922,-0.4152010978563616,-0.21838304006307507,-0.08514750096467552,-0.2037930544344837,0.10222977618997103,-0.04771172201784233,0.45478676638584803,0.4006554246396293,-0.29012742233359995,0.23083516651002176,0.3523945667039163,0.41500846492448634,0.3410611354284326,0.18117454279903877,0.13894391736207515,0.07392892750781467,0.284835565544497,0.5196390943006791,0.44692292453890825,0.21558877358618572,-0.5849802400383205,0.3946355478675124,-0.20808227599153464,0.007287019676346784,0.4268928088475494,0.13888120904627135,-0.026872247301754783,-0.0061380900832942115,-0.059762106659353297,4.695600626315546e-33,0.19122949737570197,-0.08145770009346723,0.47443703105065915,0.2910159925892612,0.4578809751964332,0.25308544327949417,-0.14258181035386835,0.051434338142853926,0.35353536768994703,0.2372408227302528,0.2134443930384989,-0.13124571171725855,0.33766943081967715,0.09603685372362449,-0.12402908165826476,0.19906612079118546,-0.007082050305948134,0.2959628587114368,0.2579203579464604,0.2601755805191597,0.1175109757326706,-0.12960650013778377,-0.11981047565680586,-0.35283717679816606,-0.036139128554693575,0.5357670454447137,0.48209864682305303,0.03075196429680063,0.40140667654255363,-0.13447485489864971,-0.06676358418912492,0.01144294429280501,-0.04439404875825105,0.07868446010415765,0.06009359454787856,-0.10011612112964552,-0.10259339756963498,0.0038177683275680114,0.28873311391607076,-0.2236885675709845,0.10949349146420241,0.050922961963614316,0.45265302120202927,-0.4525347345676573,-0.1742513768532526,-0.08954853723640864,-0.3005807312493004
LogP,0.18835493802883735,0.840280499154234,1.0000000000000004,-0.41359815133316413,0.055028061577967344,-0.32663708697534155,0.0035731419308649855,0.09728299213465567,-0.4025445300065023,0.3194723147826109,0.26977080430017375,0.6457341315635815,0.2973697614872356,-0.42646229161956273,0.5597893284573454,0.17060909740836325,0.6977436083023794,0.05485984423206376,0.4256098526618659,0.3092773910530449,0.39944173115775683,0.0687543273154805,0.515966161262671,0.31451408453162577,0.13597103873087132,-0.4564830937549909,0.08222865737760318,-0.19939298295450972,0.16386673490785258,0.28332840449441826,0.3080194240997106,0.1690287934008515,0.2857489972113821,0.18271063789220748,-7.826001043859244e-34,0.4719159791752007,0.030769270574796673,0.39594197320129226,0.6160486564974432,0.4059357404992205,0.1844340320870442,0.1800548793891562,0.28175513526423396,0.5800882600358664,0.40136733983392536,0.43585345557243527,0.13074630441055887,0.36406492884924874,0.2813395670627606,0.1825805443938381,0.1944348572882539,0.30826442259040643,0.3340285672906148,0.2043329578146626,0.17667226606034978,0.20974584179007139,-0.3067737913986814,-0.41631985967007046,-0.416659310731008,-0.1619910701763636,0.5264114450547565,0.2520671349328391,-0.06991896464215684,0.5216749762086265,-0.28146004583759676,-0.35041344921487355,-0.11872493283530908,0.25859401163562584,0.06545137455191992,-0.01782424568807888,0.09031789875903996,0.2006684482221597,-0.04341796305835434,0.46442989316260863,-0.243749355112887,-0.06982510248876775,-0.2880554770156767,0.47524921121627073,-0.14563581696691583,-0.0023891961992191665,-0.19110238944612026,-0.26296172128362555
Pgp-inh,-0.00036054989149309993,-0.2622235981364726,-0.41359815133316413,0.9999999999999998,-0.06913261544577164,0.06221053355627939,-0.1252774303823614,-0.05698318980335224,0.6074459129524308,-0.6783229454517685,-0.571586092639922,-0.18551264915137838,-0.1314209772191265,0.11755312536867367,-0.26715965798808594,-0.022217479057664098,-0.4381399759108382,0.13900754206376384,-0.22881581738328932,0.09191205447083468,-0.38777080965949484,0.13435721459377506,-0.10781609496214438,-0.1652175250286325,-0.15117864463451505,0.047514112763494314,0.22224055374636492,0.30741650207523114,-0.05106941109415926,-0.2237592008143031,-0.03546159556896977,-0.16728814659461536,-0.18626020518994416,-0.1134549503197622,3.1304004175436975e-33,-0.7117059521689373,-0.09977290974547322,0.003347339334198228,-0.2948323975458374,-0.08430916232468083,-0.10460707914079714,-0.34285715256398513,-0.15506082486933181,-0.1618885913306283,-0.17287458583937854,-0.21848137832428707,-0.20238306481392757,0.004560984326819756,-0.1804756255672957,-0.20136893576059361,-0.15444364979420544,-0.18596360479587973,-0.17036521719075887,-0.26046805509021753,-0.12429373681618358,-0.6364577009514881,0.04183030124044093,0.33128580629218696,0.06244694413008158,-0.057408967330162264,-0.007225584783802447,0.09828054279272444,-0.2417659231360205,-0.05752605472145254,-0.010510916609916713,0.2928787701944605,0.12695425983665456,-0.2726001123477786,-0.2795017925110296,0.03155507124607353,-0.22142364652524413,-0.3067835651951918,-0.06673452835125347,-0.4914031743187545,0.1680773321050058,-0.019319152659644186,0.18516346537302145,-0.09210547729736927,-0.05603766457088503,-0.14106491061052867,0.06902148465972552,0.07107059019098134
Pgp-sub,-0.14052466515435294,0.0801244926825922,0.055028061577967344,-0.06913261544577164,0.9999999999999994,0.05994498057457188,0.08273270787822888,0.24142699593982755,-0.3301586208033246,0.12792673476097133,0.00982513805923517,0.09042020061222542,0.14968420791426243,0.33094096339406737,-0.09336606105370292,0.20765067004022694,-0.02681275013729465,0.30204182756421616,-0.1313460845972719,-0.04667665197257491,0.08528029519852907,0.3338694839371048,0.07694349800258773,0.1301810890107862,-0.16928047645165523,-0.12331578990660233,0.08019512713397689,0.19938208556568066,0.24161670672256402,0.23606691053488169,0.04085402875273045,-0.03269159128182264,0.04860708036860346,-0.2232267289850422,-1.6630252218200893e-33,0.07088255926355307,0.39173984896810393,0.07768794423014896,-0.05198603017269546,0.2535709782142501,-0.039553689346714375,-0.020958213356000854,0.15475971751951687,-0.07211362405183115,0.0845047123600105,-0.11235195879279447,-0.2873927225238233,0.17809567927926487,-0.22936727543383614,0.17979444892639299,0.15534922445691327,0.1732990809417463,0.2815297209714589,-0.2145786304607988,-0.26126350248850094,0.09426205253316326,-0.17447244622012756,0.2814495076218722,-0.268873747372724,-0.289624985445673,0.18376030658213693,0.10836920521525321,-0.12209005210941729,0.022331224385972643,-0.2848834890792062,0.20121837358944075,0.0814338284839871,0.10978748336018682,-0.20492105237420538,0.08005789930861794,-0.015905424087856078,-0.15726838055012435,-0.1577267171924417,0.1583569297099212,0.08109954951068624,-0.15507966407435742,0.0637147780739843,0.22819996190496392,-0.09726920287439107,-0.11103261874370621,-0.18697160505266078,-0.45587697402180477
HIA,0.12617551041218814,-0.4152010978563616,-0.32663708697534155,0.06221053355627939,0.05994498057457188,1.0,0.16152803642217567,0.18103128599830687,0.07762957926417692,0.1785464868067494,0.06394483621542538,-0.40913234187322234,-0.4826531852754359,0.3526230877536684,-0.1306514844615982,-0.09653449840560674,0.05662123375333643,-0.06622837844923879,0.034839889407213026,0.08372975281400073,0.2615660937327164,-0.06957194761699302,-0.026092454034997416,-0.19189074419029667,0.29615168621194826,0.4774397240944319,-0.4397499370709282,0.07091740615567448,-0.21860047220505627,-0.2697957317826711,-0.0016947652735863185,-0.07005851906420948,0.08817718981095098,0.29024814141334937,-2.2499753001095326e-33,-0.04501223863836224,0.21614507641366074,-0.3136068938126226,-0.023077509252480952,-0.30059631592345176,-0.24321879894979243,0.05775056536306237,-0.2505732028196926,-0.1644823691471342,-0.29876394105322096,-0.25265872786225513,0.34324683216060714,-0.30132529699148947,-0.07468704917702183,0.08780821651659416,0.09127463399186345,0.10306262608756654,0.04080751171556223,0.09345274377789527,0.05344999032323647,0.21003181332512863,0.2723776888909322,0.01437305698334928,0.4256702359284809,0.2088901802015623,-0.5659823305491782,-0.4866644404463156,0.2713703733687903,-0.41367028578343124,0.26951467776212457,-0.1284404421156409,0.014419627675249323,0.19064452338088014,0.3918799952840058,0.4522696943637146,0.3752652635119068,0.3665480973535063,0.35043012763372006,0.17888579409052432,-0.24835079372114027,0.11351828939788408,0.15592987444099468,-0.20974076809916023,0.28473905001592387,0.3516965362682554,0.5321843086422542,0.05569545259137286
F(20),0.4211891918144207,-0.21838304006307507,0.0035731419308649855,-0.1252774303823614,0.08273270787822888,0.16152803642217567,1.0,0.04900371324644799,-0.17325470166133233,0.1689411633284652,0.26896156215165484,0.06134649384880634,-0.4115562268872428,-0.16083406162002176,0.33471432104867577,-0.40578462813095756,0.3926901908030104,-0.49766284340578004,0.5091362896724745,0.19526954082446474,0.41487507292355646,-0.4286005772953777,0.22366962772794843,-0.22382922598797952,-0.16584046481447048,0.09267828082232549,-0.474028033886002,-0.1647408555684292,0.19498409108587605,0.017574492868999262,-0.22154155605597536,-0.3531875321736772,0.32489411185970035,0.37686986177262055,-1.5652002087718487e-33,0.192842248421499,-0.18608705154703806,-0.502262002834891,-0.11506852857371397,-0.415418607432431,-0.4905415454445269,0.38050510753950983,0.43461969807669554,0.2087138344626922,-0.0453876815467531,0.5716932793117304,0.6544885168798786,-0.05239887076238415,0.5633435712956459,0.49886840071619926,-0.15698552981984618,0.12002680624634147,0.06981707798984636,0.28107855774006324,0.26111185433403866,0.2089490125955434,0.18733225783173435,-0.23688683308340883,0.30185666130579847,0.1556973063456401,0.014763562883686642,-0.21450885687970023,0.21378719563220244,0.2723637054275203,0.07477583451801063,-0.4209083398922453,-0.4849803210710385,0.31992469503031823,0.09752208734861229,0.12531595066571605,0.5196680145110764,0.46986017920171497,0.31717988658507135,0.38979360222520365,-0.04328320050714477,0.0405630722783197,-0.3734902168021009,0.0747433248522636,0.12935554614578437,0.40914436556802763,0.11579241642751084,-0.28128665039125644
F(30),0.2946723019616305,-0.08514750096467552,0.09728299213465567,-0.05698318980335224,0.24142699593982755,0.18103128599830687,0.04900371324644799,1.0000000000000002,-0.35025189591918254,0.10490192155097866,0.2200909700220757,0.439384913768475,-0.00022843801727428793,0.0639868805380664,0.22055079354253201,-0.07415054828882882,0.2511252803950513,-0.212111255623416,0.3554928460342668,0.23623221289500346,0.2598796901569002,-0.03796558566189865,-0.05827357448193847,-0.1515311900793806,-0.050477264387003964,-0.0033792009650837167,-0.23564180253059172,0.41078311977806176,0.20230493077828304,-0.184828615276156,0.24374458843703922,0.2848452978718437,0.10074727144798937,0.08222515120727504,-9.782501304824055e-34,0.10909553356365546,0.34000375405220346,-0.18820424206024627,0.34833855555816406,-0.0722836167161231,-0.17266975393179337,0.2541106681874853,0.4703454809506406,0.1563010023927388,0.383094953707401,0.09010517535576167,0.05063352266470031,0.29322454073356935,0.02909486876319429,0.6646720865708371,-0.07054378490368338,0.6707257855857864,-0.034515839154693514,-0.5183421376888202,-0.5628681701260527,-0.04817158827356905,-0.571039690107187,0.013135928428057934,-0.3877724466069031,-0.6281787843193702,0.1759049433376384,-0.10863672861056475,-0.49526013443508,0.2346455321697208,-0.622037544257296,-0.10626477245825544,-0.21402691184717895,0.2033116677389283,-0.3232277129468532,0.08032504170310123,0.004859667978800293,0.10031084857131294,-0.46717370848500056,0.15654636898614296,0.2901014530243822,-0.46919423091239226,-0.46747027498185956,0.08581513317968865,0.41548158154258913,-0.06803456712414802,-0.37341741239838655,-0.04656287604605888
Caco-2,-0.17564010957900306,-0.2037930544344837,-0.4025445300065023,0.6074459129524308,-0.3301586208033246,0.07762957926417692,-0.17325470166133233,-0.35025189591918254,1.0000000000000002,-0.728207342149807,-0.5470101642323684,-0.4237420606780435,-0.15043199900496146,0.0502490667661118,-0.24345651226475912,-0.07544140705131787,-0.3705342464251796,0.11770452300526932,-0.1910747143697413,0.11353168290121537,-0.2602254746340401,0.07312832272980994,-0.00902689533486161,-0.11065657814245712,0.025082830057806003,0.07850210860228343,0.2272704639097301,0.11919634878721011,-0.35251361198424613,-0.21591171479380258,-0.0642892104442,-0.2393261887339455,-0.013663704060177034,0.11409916860398653,-3.8151755088813816e-33,-0.7020227985856322,-0.2678908820043988,0.021614248322503138,-0.3239497523136093,-0.11413229914728623,-0.09201787450318172,-0.3969857978538917,-0.37355137180294823,-0.18076950026826608,-0.29209183485715157,-0.2022031907242889,-0.015775820916181977,-0.1183263595766913,-0.020156510198275347,-0.39285076860261636,0.015080748166985217,-0.44907173395444105,-0.0875138656359142,-0.03604979808852495,0.11709965688123711,-0.6084360122254677,0.2710786754176228,0.13592177726983962,0.23494565836024317,0.2618624139971768,-0.22136499134401963,0.014263788448480178,-0.028962122731188988,-0.2521215217207416,0.3339692592909394,0.10062439152193914,0.1441145904448492,-0.1129658462041384,-0.05406323230647174,0.16044572186411998,-0.08517688183653592,-0.08919723396774634,0.23132341454560673,-0.34861674391193814,0.016030478531443848,0.1281837369759984,0.3807512685976919,-0.21454690896440015,-0.05132443098271596,-0.026142177441504124,0.36144381615512894,0.1660958784427446
MDCK,0.052400920857863985,0.10222977618997103,0.3194723147826109,-0.6783229454517685,0.12792673476097133,0.1785464868067494,0.1689411633284652,0.10490192155097866,-0.728207342149807,1.0,0.6724166771699356,0.012399674081102511,0.11359000261731633,0.07424481458615029,0.09204188210345632,-0.010636748352840942,0.34593211041846084,-0.10938154997803184,0.12277277169836323,-0.2430483668953799,0.41348045846539877,-0.12391201215847275,-0.04417052935352386,0.16333379266471912,0.28930301030710603,0.16006480244489685,-0.38996324268364835,-0.2493688085944588,0.019319611442810258,0.2223940273962075,0.05328069752980697,0.08647470720876517,0.10735093941790062,0.04694900810278846,7.826001043859244e-33,0.7885880679752187,0.214417555882781,-0.10286090337822014,0.284761466491795,0.03562261896716282,0.1557532376670165,0.36041769431820875,0.03215982248495854,-0.006048084739311441,-0.04762747080800117,0.05626430669582243,0.2498069048320389,-0.12984473381278847,0.05290765226586337,0.16726339467914242,0.26378156986253953,0.25727419640586524,0.20304249665119847,0.30493960560799344,0.1186356160846111,0.8447379117010718,0.08873631950377828,-0.3703557911072973,0.08695746884359594,0.12754256689713067,-0.2109796027509415,-0.20871400596530226,0.3989925041088426,-0.1515990053187118,0.10028574652433347,-0.2280324616810836,-0.03798739122090363,0.18456883520695966,0.35028104412027367,-0.0014741920113056247,0.227676612780017,0.34504249879679666,0.15329645224069868,0.5181837040436683,-0.12259570483112107,0.08677171856337224,-0.053188179328570624,0.14165719344332736,0.11682081887839647,0.13189765569042838,-0.05010079583999395,-0.0431346623292748
