LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-1.183,-0.118,0.288,0.001,0.994,0.032,0.001,0.001,-6.271,0.0002551138168,0.051,61.21,1.257,47.92,0.027,0.081,0.017,0.061,0.014,0.047,0.009,0.116,0.104,0.32,3.313,0.103,0.027,0.076,0.924,0.009,0.98,0.022,0.168,0.27,0.019,0.016,0.916,0.168,4.915,6.476,5.202,0,0.071,0.054,0.002,0.039,0.009,0.011,0.123,0.302,0.004,0.368,0.164,442.14,423.43,1.044,10,5,175.3,2,4,18,10,0,27,0.074,7,2,0,0,0,3,0,1,0,0.389,4.737,0.409,107,1.469,1,0,1,0,1,1,0,1
-1.611,-0.053,0.956,0.017,0.999,0.013,0.001,0.001,-6.262,9.31E-05,0.031,45.74,1.303,51.25,0.023,0.368,0.024,0.063,0.011,0.063,0.009,0.121,0.155,0.638,3.378,0.03,0.026,0.117,0.891,0.009,0.966,0.033,0.171,0.427,0.006,0.013,0.975,0.058,4.97,6.224,4.631,0.001,0.028,0.082,0.005,0.042,0.008,0.004,0.024,0.012,0.002,0.353,0.138,478.11,441.277,1.083,10,5,175.3,2,4,18,11,0,26,0.077,7,3,1,0,0,2,1,1,0,0.396,4.657,0.5,115,0.986,1,0,1,0,1,1,0,1
-0.929,-0.054,0.109,0.005,0.999,0.037,0.001,0.002,-6.365,9.74E-05,0.038,40.29,0.638,62.16,0.011,0.087,0.014,0.062,0.005,0.038,0.004,0.077,0.045,0.422,2.014,0.133,0.03,0.099,0.924,0.007,0.933,0.018,0.05,0.19,0.005,0.011,0.851,0.045,4.453,5.979,4.669,0,0.009,0.044,0.004,0.046,0.006,0.005,0.029,0.306,0.002,0.355,0.097,460.15,434.856,1.058,11,6,195.53,2,4,18,11,0,26,0.077,8,2,0,0,0,2,0,1,0,0.294,4.865,0.5,115,1.316,1,0,1,0,0,1,0,1
-1.57,-0.004,0.669,0.005,0.998,0.022,0.001,0.001,-6.288,9.06E-05,0.041,40.45,1.611,61.2,0.031,0.09,0.022,0.068,0.013,0.079,0.015,0.149,0.226,0.502,4.716,0.057,0.032,0.21,0.911,0.012,0.937,0.087,0.147,0.271,0.006,0.013,0.929,0.197,4.882,6.155,4.983,0,0.007,0.098,0.002,0.037,0.008,0.011,0.036,0.021,0.003,0.306,0.096,414.14,399.98,1.035,9,4,155.07,2,4,18,9,0,26,0.077,6,2,0,0,0,2,0,1,0,0.513,4.409,0.476,101.968,1.241,1,0,1,0,1,1,0,1
-1.689,-0.394,-0.041,0.021,0.999,0.028,0.002,0.011,-6.275,3.85E-05,0.03,39.64,1.403,65.8,0.016,0.124,0.016,0.083,0.018,0.081,0.015,0.276,0.133,0.803,3.567,0.041,0.016,0.291,0.89,0.01,0.912,0.096,0.103,0.368,0.004,0.01,0.965,0.037,5.012,6.48,5.576,0,0.006,0.082,0.004,0.043,0.021,0.006,0.066,0.014,0.003,0.198,0.234,487.2,471.655,1.033,11,4,167.54,5,4,18,11,0,26,0.192,6,2,0,1,0,2,0,2,0,0.341,4.744,0.542,106.405,1.012,1,0,1,0,1,1,0,1
-1.692,-0.156,0.477,0.008,0.999,0.015,0.001,0.001,-6.302,0.0001175135403,0.029,40.29,1.062,59.41,0.012,0.141,0.017,0.062,0.009,0.058,0.008,0.111,0.086,0.552,3.443,0.029,0.032,0.077,0.871,0.012,0.949,0.016,0.181,0.425,0.006,0.014,0.972,0.064,4.747,5.626,4.066,0.001,0.011,0.057,0.004,0.042,0.007,0.004,0.019,0.011,0.001,0.335,0.062,444.15,426.066,1.042,10,5,175.3,2,4,18,10,0,26,0.077,7,2,0,0,0,2,0,1,0,0.397,4.593,0.5,111.515,1.23,1,0,1,0,1,1,0,1
-1.611,-0.053,0.956,0.017,0.999,0.013,0.001,0.001,-6.262,9.31E-05,0.031,45.74,1.303,51.25,0.023,0.368,0.024,0.063,0.011,0.063,0.009,0.121,0.155,0.638,3.378,0.03,0.026,0.117,0.891,0.009,0.966,0.033,0.171,0.427,0.006,0.013,0.975,0.058,4.97,6.224,4.631,0.001,0.028,0.082,0.005,0.042,0.008,0.004,0.024,0.012,0.002,0.353,0.138,478.11,441.277,1.083,10,5,175.3,2,4,18,11,0,26,0.077,7,3,1,0,0,2,1,1,0,0.396,4.657,0.5,115,0.986,1,0,1,0,1,1,0,1
-1.753,-0.231,-0.054,0.169,0.998,0.72,0.004,0.227,-6.244,5.36E-05,0.029,44.12,0.907,56.96,0.002,0.046,0.015,0.093,0.005,0.057,0.001,0.251,0.025,0.204,2.369,0.022,0.024,0.063,0.596,0.035,0.861,0.006,0.462,0.377,0.004,0.008,0.978,-0.159,3.71,5.192,3.113,0,0.006,0.003,0.001,0.046,0.013,0.001,0.042,0.006,0,0.111,0.114,586.26,569.365,1.03,13,5,188.02,7,5,18,13,0,32,0.219,7,2,0,0,0,4,0,1,0,0.225,4.77,0.621,129.894,0.582,1,1,1,0,0,1,0,0
-1.579,-0.151,-0.449,0.001,0.998,0.778,0.002,0.128,-6.479,0.0001880994823,0.021,39.47,0.448,59.46,0.001,0.046,0.019,0.059,0.002,0.089,0.001,0.185,0.016,0.079,1.851,0.085,0.022,0.081,0.873,0.006,0.577,0.005,0.199,0.467,0.004,0.009,0.956,-0.25,2.956,4.541,3.184,0,0.009,0.005,0.001,0.051,0.011,0.001,0.03,0.006,0,0.095,0.107,630.25,601.605,1.048,15,6,225.32,8,5,18,15,0,33,0.242,8,2,0,0,0,4,0,1,0,0.167,5.03,0.6,136.5,0.569,1,1,1,0,0,1,0,0
-1.645,0.108,-0.005,0.003,0.999,0.091,0.001,0.008,-6.516,0.0001316023554,0.023,42.04,0.778,60.71,0.002,0.047,0.027,0.055,0.021,0.057,0.012,0.158,0.022,0.077,2.389,0.058,0.025,0.052,0.844,0.017,0.969,0.016,0.125,0.507,0.005,0.01,0.975,-0.063,4.513,5.058,3.61,0,0.006,0.015,0.001,0.039,0.012,0.002,0.019,0.006,0.001,0.102,0.086,585.23,564.522,1.037,13,5,201.85,6,5,18,13,0,33,0.182,8,2,0,0,0,4,0,1,0,0.262,4.881,0.586,135.478,0.593,1,1,1,0,0,1,0,0
