,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,GoldenTriangle
LogS,0.9999999999999997,-0.07030191809415798,-0.15868091299514192,-0.10413484502683923,-0.16925152175460723,-0.08638372696498023,-0.1387234073607114,0.30327286760684025,-0.13623876078564276,0.41054944289950557,-0.41061208640961844,-0.30771341844587174,-0.5317615472009324,0.2491611737449362,-0.15628479249550822,-0.35997513249367374,0.06427676419721773,0.005379921756263629,-0.38781823555514694,-0.2141931744501847,-0.23053760887745717,-0.5418353122799775,0.13709441226010977,0.002981543266471793,-0.367360483014476,0.3665984973018388,-0.4338535600035712,-0.29997665532625406,0.3720396327348057,-0.3602879643831185,0.47844448780296767,-0.5532147221497761,-0.6130432576953027,-0.4633191723470907,0.3929884580931678,0.07296109420630006,-0.7134092394818198,-0.04722061862564051,0.3296870757012388,0.4714725364514816,0.23620663508731354,-0.4166878683948464,-0.29450430766212926,-0.1358789036575193,-0.03788214148587776,-0.21895548688096858,-0.29675377309972406,-0.12194943374399454,-0.4360799397854417,0.5086932292256299,-0.40504888909109016,-0.3925484143669465,-0.45286267537282404,-0.020360815396693058,-0.055148248032585584,0.27702766988364874,0.08948540261284534,-0.03896110593612195,0.18310347446992475,-0.14822593471687223,0.024976685672707503,0.07090277016374413,0.33086763174080164,0.13241172986431027,-0.2592885452729178,0.5651061076487194,-0.3922834956085365,-0.11469578969477223,0.22843297050084577,0.009027740357772209,-0.45080253680861265,-0.2871465603766585,-0.5714299763423827,-0.4967083318402821,0.028835778464584835,0.1898004685612512,-0.020687833547612985,0.06914038811628789,0.5371866190859141,-0.34250867276026753,0.13243056213151447,0.33086763174080147,-0.22423204780884998,0.09422352390530364,0.2244769734060193
LogD,-0.07030191809415798,1.0,0.7354367149630107,0.2388289497547417,-0.08139830201610987,-0.17005744580302887,0.1127679306896017,-0.6079441069258923,0.33415724224065146,-0.03995243817232953,-0.08998806691668623,0.27731308524980186,0.16490854366873117,-0.20756267718441995,0.16264279368564988,-0.038754887928837675,0.3302980026599762,0.2602661476793021,0.05396861794266816,0.10012653661845666,0.32855567695012994,-0.11406939019588183,0.5044995262110197,0.27661990507719497,0.2661477837714529,0.011241332734985014,-0.01620669436641997,0.2231241030654391,0.41937413078458685,-0.2756002719999374,0.2564587995345752,0.21300656308560753,0.04901400931571024,-0.31643862146422347,0.06283833305767408,0.10428615600336423,-0.22061729527976692,0.36555092416547363,0.37993956275394264,0.4440321848182818,0.2992540140421548,-0.06917853651348638,0.023744888881847743,0.2195194037963124,0.16570895565878221,-0.16055074650126805,0.10036979930900115,0.207268111670069,0.18728856460297438,0.10797428020563632,0.050558319423572036,0.35228360681734816,0.2082266924056469,0.05018163564687346,0.07783864452755088,-0.21743482926996896,-0.14206401617556969,-0.4270639164338509,-0.2098461626193863,-0.04803923962427376,0.15223371859019377,-0.1286588404971185,0.08996747409010011,0.1278966229614223,-0.1468889193335913,-0.021347675687376014,-0.039998772416079006,0.00044069446728543793,-0.38859820135578343,-0.45966921546774336,-0.0791526407612716,-0.05171650156906061,0.1200519720559518,0.17786293695558966,0.3404292739197956,-0.031149871564586998,-0.1383995364342758,0.12373190394282621,-0.09057111606312641,0.26196413003463614,-0.030075627646195237,0.08996747409010016,0.27442558002040585,0.07330774119591055,0.07752252805483395
LogP,-0.15868091299514192,0.7354367149630107,0.9999999999999997,0.02196639627120829,-0.11909421762589356,-0.28425692254310186,0.43687622215578803,-0.43165571701314354,0.5505208235654566,-0.1878959961063703,-0.08370148727389362,0.42547504363879646,0.38239455854323534,-0.4297451389416494,0.4195290956292085,0.15748481247388996,0.44358841867882176,0.5856847653971755,0.21241790757643864,0.38752783954976133,0.5074272337726025,0.10720526880293352,0.6008509527470526,0.5164557095071334,0.4189917229003802,-0.0025760650273301045,0.14248989240417909,0.2916367738567792,0.40404135039963124,-0.12208434031176524,0.22914517315758234,0.2934968187384189,0.09990833487188241,-0.2639092302367189,0.11343780556839889,0.36587597441134456,-0.16101055142239085,0.6357324665551018,0.36591398167819045,0.3739890158248722,0.3234764011339722,0.0379592918521294,0.13078588345475087,0.5627548338874768,0.4619439385474691,-0.14904232514283872,0.35386035423243667,0.5318393125998252,0.4285462171316389,-0.026844725071615852,0.1294251021762376,0.6193832081434536,0.5145597066081433,-0.2684289569487818,-0.23912121350360896,-0.1841732292174755,-0.4583295830426935,-0.47058094005765794,-0.503399174226256,-0.3654216600581286,-0.14820725996439765,-0.43491919241248955,0.1392572286280169,-0.19353427450807353,-0.39137429559345716,-0.37991992779052386,0.12735887584502498,0.12182077580012447,-0.4751354846916811,-0.25080084861935437,-0.0945121865267469,0.013956329603107063,0.14552495389602138,0.25047353496957425,0.5860635862678607,-0.36816801394581944,-0.29751037278022247,-0.18791627511309508,0.06310066798766743,0.1408704827952707,-0.31913141161143155,0.13925722862801687,0.33099750936929995,0.2623220168737655,0.22664084077132085
Pgp-inh,-0.10413484502683923,0.2388289497547417,0.02196639627120829,0.9999999999999992,0.19331270073367152,0.18253928758561433,-0.09276036703679931,0.03860254773376032,0.005280642349091831,-0.1261852228990677,-0.08541708288379368,-0.026391376530037328,-0.19689733603703707,0.13554588873994877,-0.23590669590157176,-0.14542466904386434,-0.23078134532573982,-0.04535962816117146,-0.07084418055863256,-0.19353990024629292,-0.22559014319494455,0.11796983897594228,-0.14617571875688617,-0.2099008453743072,-0.23470646773802353,-0.3677840060974036,-0.14502512464513923,-0.17002970320015579,-0.34693353347604383,-0.05535236944805403,0.16813657986710312,-0.13506956087744493,0.13622875437477372,0.15802578135713455,-0.08661342123267982,-0.29384941785973384,0.25919661394933147,-0.3737549539788918,0.08585845164979261,0.20406536168988013,-0.061979232601138246,-0.07379869515754575,-0.09782254267773278,-0.16382093057635694,-0.06193500440879095,0.01645323903197501,-0.11745356215628952,-0.1518326424775675,-0.20095327731254214,-0.18251817684921848,-0.16106054587100288,-0.2514118543055308,-0.17709265153130452,0.6592296343573385,0.6704071515176683,-0.1857435129024684,0.5857754871634757,0.0961232370793444,0.49032090121552147,0.490200198840684,0.7252062695703648,0.5586296396724475,-0.004455623339992048,0.7277677745848373,0.2617432635360291,0.5040142570038345,-0.18585625028447675,-0.12313664519374562,-0.0792321337799193,-0.04282506764361789,0.030601137706964585,-0.09121482901089374,-0.17724332554638247,-0.1627063750475764,-0.2718775723709686,0.6295292629559335,0.31918789177045037,0.73157338739387,-0.3663508119590187,-0.13016444796809729,0.5987971825073894,-0.004455623339992046,-0.06319212483113482,-0.33932889820601553,-0.3727851004319507
Pgp-sub,-0.16925152175460723,-0.08139830201610987,-0.11909421762589356,0.19331270073367152,1.0000000000000004,0.03201461430872776,-0.12208282708268832,0.10563338758196524,-0.1823980598169836,-0.2841413293855899,-0.033007430187505765,-0.37612676078305074,-0.14399786451602525,0.3568094290337446,-0.34371737130684477,-0.051760295641341464,-0.07294600688337055,-0.12030474200964833,-0.008907514330233783,-0.38053966592699173,-0.15567369117832047,0.0248326690322909,-0.10699489625333215,0.2176249932421901,-0.18666058320869294,-0.2972821314025673,0.21010206326603786,0.11104492942957263,-0.15830517423967938,-0.22302097220478972,0.08219270157636101,0.10137492626305258,-0.09235970985142736,0.1748189404057744,-0.7024517711710421,-0.48795803174875313,0.2136792239440928,-0.41597222396992534,-0.06870423889471405,-0.15091076834766026,-0.21444153657174628,0.14871365513212548,-0.20957121539896373,-0.1954127701940076,-0.13419501018084962,0.13592773553841575,-0.3131494843184249,-0.2762851746439853,-0.2962190931053461,-0.447407679756269,-0.18657958791049792,-0.250644167192952,-0.27428775493195334,0.2543987777997304,0.27007778323865606,-0.21090466271566002,0.2967074740321203,0.05250406933566944,0.2414612911781852,0.2345573485230207,0.239020368063727,0.25984943731499127,-0.09486327056553068,0.23154974535259282,0.19352534136413468,0.2566869361590721,-0.17091455770922606,-0.21455204644321985,0.07680499421397348,0.19815883184799746,-0.12571541051772184,-0.10528870624298728,0.11366312532814082,-0.0053379172472781435,-0.11147352230664338,0.20235034505997698,0.5165696974366392,0.3023204249754517,-0.35363592823371165,0.1169502241156127,0.1327153319587033,-0.09486327056553065,-0.01205125451803971,-0.22328607269434864,-0.1722024961601847
HIA,-0.08638372696498023,-0.17005744580302887,-0.28425692254310186,0.18253928758561433,0.03201461430872776,0.9999999999999997,0.02531862996662786,0.46495124478639593,-0.1811338951176364,-0.11298067093088189,-0.08533096202841209,-0.046186969848701166,-0.22931832308168953,0.054186810629910244,-0.33456660654141024,-0.18765507465497538,-0.24622209564020703,-0.04331614394278875,-0.30704696242852797,-0.014736041982243053,-0.37387851181768517,0.33530054656957164,-0.32656400376486605,-0.4556703473781223,-0.2747277128049108,-0.007936710149408926,0.09456729112531323,-0.1442515715148851,-0.5234285550552997,0.17972098936286454,-0.2715064664358765,0.062499977669925495,0.28791638073770404,0.02130590551194484,-0.22839840079371165,-0.34715693551058596,0.2139491858417033,-0.4443498953734861,-0.7258654318957385,-0.4510304420102206,-0.43282902127664713,-0.14106381163395432,-0.1620665046351229,-0.19130456220183417,-0.1325823183005319,0.01471743145866863,-0.027015531562684436,-0.1743206786216999,-0.014923155942618383,-0.22332418627514256,-0.22432354659004738,-0.31119320193687916,-0.08349178537209302,0.3776731814502442,0.38031547935650006,-0.10558594557272467,0.39796294602092075,0.20197633974310783,0.2562042267669866,0.4579581871455157,0.3549806260471491,0.3856723896785875,0.08089644433650289,0.32938341500217533,0.4453670081219423,0.12112835890606402,0.058749966383930353,-0.08702080240781251,0.014294507270373406,-0.058040200178825364,0.3367419319098311,-0.0953339928617987,0.015374386969114494,-0.06254277822570124,-0.4542970267248223,0.17325679339592842,0.43546838204843685,0.30172536168016717,-0.4528283240011733,0.03414573303346331,0.40001875882863036,0.08089644433650287,0.010380635270334847,-0.5040970369262017,-0.5499989423194275
F(20),-0.1387234073607114,0.1127679306896017,0.43687622215578803,-0.09276036703679931,-0.12208282708268832,0.02531862996662786,0.9999999999999992,-0.02789139237426941,0.37141886485847575,-0.39160198583844197,0.05851873788103804,0.6704574912340725,0.021899679334910882,-0.6906976914229688,0.5219244285151956,0.08638707270148954,0.24245089616889162,0.8191458260762929,0.18728853909833923,0.5924149328721355,0.033167309274432996,0.23351482859518996,0.18402732806414981,-0.02877729696339957,0.005018644127296967,0.3749127343834321,0.28616377871512816,-0.1360274493089552,-0.06844684453502975,0.2268593228398843,-0.28194431717162743,0.15338400382215928,0.4080096885016001,-0.22159978722592913,-0.10131519959651067,0.4150761823002325,-0.19576192270277018,0.4932837830885011,-0.20017574153979836,-0.2609958640971821,0.32178817108318114,0.1541330554890142,0.3294425899749097,0.9102028144468339,0.856717719049971,0.09886670214104062,0.6291242278491326,0.879878167334758,0.7031531451736047,-0.17847342246910883,0.18581317336259884,0.46578326724304653,0.7625313972011929,-0.13446191874805263,-0.11897894134645026,-0.14876866601575162,-0.2152942164651665,0.10532604211295735,-0.15725211684331153,-0.13439646470635197,-0.02669847548273105,-0.20085038076607092,0.0515938015938274,-0.10327694869133358,-0.13932316208468837,-0.45582763181546193,0.16116364708482647,0.07480101630746794,-0.10752054294610504,0.022489605822950398,0.2517294407346173,0.04781218016373173,0.07755745478129249,0.10580754916776969,0.1383014227508404,-0.24293020140448607,-0.4084837962754808,-0.146639871971517,0.016806461441133895,0.0015783214104812542,-0.15677236033392397,0.05159380159382738,-0.04726717191736901,0.03186355333194267,0.001964825995421287
F(30),0.30327286760684025,-0.6079441069258923,-0.43165571701314354,0.03860254773376032,0.10563338758196524,0.46495124478639593,-0.02789139237426941,1.0000000000000002,-0.20663310573767768,-0.08048028033173311,-0.0644257299069237,-0.15714542433310613,-0.3484183756830358,0.15892525649994121,-0.2161332595185927,-0.1535233400134976,-0.10708677523393596,-0.04792757583009617,-0.2196668308648731,-0.13964344472694462,-0.3419193131481798,-0.06463962743568481,-0.22090337036875812,-0.30557851207969444,-0.3700158937772898,0.19371496387384352,-0.054497685743145355,-0.13896532831054073,-0.32322705715592187,0.21085901698079482,-0.277446069106819,-0.08391302515583893,0.010546921857460883,-0.13559706070337935,-0.1483256315963905,-0.27166077933819593,0.06826544386328585,-0.22698468788468756,-0.3311273303646573,-0.22957426734031594,-0.1290125642670872,-0.014261431997983418,-0.10979503680391113,-0.15119658991259824,-0.06761875288671085,0.2109034517683432,-0.08140329088825439,-0.1366256532645794,-0.10938077302226584,-0.14597156605924858,-0.1774247055054033,-0.26702649723426086,-0.16030661807709268,0.2572351909553564,0.23789762418793958,0.08051246672155092,0.36551221233007053,0.38035006690489215,0.37210881487870867,0.2640122647543007,0.1977127225266282,0.3420916165858773,0.03697167750915098,0.1971952612027549,0.25948730303964407,0.39314646915639584,0.07903774482496562,-0.1130819326624945,0.385314463159858,0.02868807266360808,0.14719900010502554,-0.10539909272983224,-0.09828815532643526,-0.10251635393246525,-0.3703524274510678,0.29772969632783614,0.3616991227480766,0.22539636679452338,0.034105409914125515,-0.07133571773773952,0.30229145666207285,0.036971677509150966,-0.04715190714434218,-0.30627538555006095,-0.3348824672089665
Caco-2,-0.13623876078564276,0.33415724224065146,0.5505208235654566,0.005280642349091831,-0.1823980598169836,-0.1811338951176364,0.37141886485847575,-0.20663310573767768,0.9999999999999998,0.1409443121656075,0.5626336055890568,0.3859239478551569,0.05296433694097824,-0.45773787446167746,0.8267798424507133,0.418441803424905,0.36633262800746635,0.5689954070970478,0.2292624709398456,0.2975994797344386,0.18116917460622,-0.10106241908424841,0.4248739713097241,0.410795436576064,0.11429073979435585,-0.00014365061755091673,-0.32929016939113503,0.20583499471074013,0.4312650065552637,-0.04796975883503664,0.12291082823937595,-0.05595699549659214,0.2430420391950893,0.0986886550056345,0.16048784823383008,0.5362394284082381,-0.21798597042844403,0.5478115671033498,0.33707008340120836,0.11277863926232315,0.16908549058807346,0.6301563807676431,0.7200223543221941,0.6116155730125805,0.6551161774079186,0.5087615054551173,0.30853046434205134,0.5992168193579139,0.24296747431073987,0.06476993684045106,0.6825074869509649,0.529351547295964,0.5070321097227672,-0.430823015828794,-0.42499313764902225,0.04194670118526323,-0.5599637370475126,-0.5736406966895857,-0.5382216804631437,-0.5385037756476683,-0.29626817738344763,-0.535339865699906,-0.5483963164803395,-0.3440499170246435,-0.5574506268221948,-0.40647034849653163,-0.07145315162582087,0.14453770146421813,-0.2788505922969895,-0.3590191315188024,-0.39344148426301573,0.40416420437477757,-0.1765107849204735,-0.005000369254150958,0.6487236075283509,-0.2693319226119073,-0.42896670140163606,-0.34682018688972027,0.2591912742526619,-0.12063849195790345,-0.3783851460664054,-0.5483963164803394,0.03803622580675681,0.4939497337476113,0.48295215643444445
MDCK,0.41054944289950557,-0.03995243817232953,-0.1878959961063703,-0.1261852228990677,-0.2841413293855899,-0.11298067093088189,-0.39160198583844197,-0.08048028033173311,0.1409443121656075,0.9999999999999997,0.14843030650001868,-0.28463960439569114,-0.2934947359370207,0.22736930999081797,0.08201314597208277,-0.03912575355224968,0.10141457904421342,-0.30861023211881994,-0.15068743912225463,-0.3632832484027865,-0.13264625197988883,-0.44274528155211257,-0.028777462614058544,0.028099528945887513,-0.12171382325659143,-0.1269326319697354,-0.3385968134485214,-0.17993004024292225,0.3781283791281614,-0.4190138595117462,0.44461647980890473,-0.34481859051899466,-0.3684543824151597,0.28331647957055994,0.5907752892211318,0.1459186895703461,-0.3133979298110883,-0.1063015021299836,0.28446013543460313,0.20580001241538315,-0.18000517916622472,0.10786581248804769,0.173357324498879,-0.2896359469327129,-0.17826375760347257,0.07454544525582601,-0.40929561410939735,-0.2834255304764986,-0.5110766200605124,0.5441773165736422,0.10682807214955592,-0.2254816707328168,-0.4252444184853327,-0.22997638569270878,-0.2609088261204715,0.32621259334569436,-0.11824914814238148,-0.347741655846324,-0.06270867381140495,-0.3216834018288703,-0.20331958317136323,-0.1265686944627639,-0.2322950208256731,-0.08180708446395013,-0.36094541516800477,0.16459719696427486,-0.27417425167087894,0.001976947107293024,-0.22547608122590518,-0.02944536982632094,-0.5129594461519165,0.11901695008288887,-0.3686707248449853,-0.2484687873625934,0.23021563603623946,-0.01124704105484545,-0.13657143931944893,-0.14071163241843054,0.23408646765275423,-0.18812953026071266,-0.14482091305510617,-0.2322950208256731,-0.2365236500952575,0.31415095882561683,0.34192678949130473
