Factor,Eigenvalue
LogS,22.122175169713753
LogD,14.219468592451042
LogP,9.095010119701202
Pgp-inh,7.360449824311761
Pgp-sub,6.757808573770664
HIA,4.553673308197891
F(20),3.6494982959411333
F(30),2.459094372538378
Caco-2,2.23389606322436
MDCK,2.0710852904302257
BBB,1.7767650048929926
PPB,1.5451884404892715
VDss,1.1823294251416019
Fu,0.9863814590749169
CYP1A2-inh,0.8925363214009548
CYP1A2-sub,0.8156378271491542
CYP2C19-inh,0.599502666022901
CYP2C19-sub,0.5892352245461238
CYP2C9-inh,0.5347738250321612
CYP2C9-sub,0.4109935998896264
CYP2D6-inh,0.3165275164440815
CYP2D6-sub,0.23977225752140727
CYP3A4-inh,0.20648821013713092
CYP3A4-sub,0.11295650610470626
CL,0.09558062372880317
T12,0.07630358234466442
hERG,0.06267902978518944
H-HT,0.034188870013897484
DILI,5.364431632899905e-15
Ames,3.7668615887769165e-15
ROA,3.0746180311966162e-15
FDAMDD,2.805226481768478e-15
SkinSen,2.621678052710244e-15
Carcinogenicity,2.3219925877816336e-15
EC,2.2657744348621246e-15
EI,2.0008597971633027e-15
Respiratory,1.9137060282977648e-15
BCF,1.7028857469063985e-15
IGC50,1.628011714494298e-15
LC50,1.4806967723950935e-15
LC50DM,1.340168800393264e-15
NR-AR,1.181814047318581e-15
NR-AR-LBD,1.0968581408443486e-15
NR-AhR,9.87250859403918e-16
NR-Aromatase,8.88950196695719e-16
NR-ER,8.351907810595582e-16
NR-ER-LBD,7.521994939150074e-16
NR-PPAR-gamma,5.860074760776647e-16
SR-ARE,5.684747408844737e-16
SR-ATAD5,5.069216192383906e-16
SR-HSE,4.0508495754726585e-16
SR-MMP,2.496738699744296e-16
SR-p53,2.4571075914325216e-16
MW,1.2582826834935493e-16
Vol,6.059908202330338e-17
Dense,-2.058972491189891e-18
nHA,-9.81982270143743e-17
nHD,-1.294032799378016e-16
TPSA,-2.2141294425225294e-16
nRot,-2.968699683479088e-16
nRing,-3.903968223656485e-16
nHet,-3.926904261937874e-16
fChar,-5.875508217299338e-16
nRig,-6.4351994626806e-16
Flex,-7.863941127672872e-16
nStereo,-8.333690715909829e-16
NonBiodegradable,-8.615506596218492e-16
NonGenotoxic_Carcinogenicity,-1.0838365494047659e-15
SureChEMBL,-1.1374184177895172e-15
LD50_oral,-1.1910321460055878e-15
Skin_Sensitization,-1.3444488664606493e-15
Acute_Aquatic_Toxicity,-1.3724860767982136e-15
Toxicophores,-1.564168891040075e-15
Genotoxic_Carcinogenicity_Mutagenicity,-1.5869421227001617e-15
QED,-1.764674965274583e-15
Synth,-1.7779921439975877e-15
Fsp3,-2.0487285444408703e-15
MCE-18,-2.1148310645592187e-15
Natural Product-likeness,-2.2928149726714993e-15
Alarm_NMR,-2.296965163222416e-15
BMS,-2.880925281439505e-15
Chelating,-3.0286460768791794e-15
PAINS,-3.5129438720121045e-15
Lipinski,-4.841054056342326e-15
GoldenTriangle,-7.948322814183316e-15
