Column Title,Mean,Standard Deviation
LogS,-1.625163265306122,0.47110085380498123
LogD,-0.06310204081632655,0.3175420080410595
LogP,0.4534081632653061,0.7125388854408622
Pgp-inh,0.03579591836734694,0.10487015376006589
Pgp-sub,0.9980816326530612,0.0014118063886070101
HIA,0.10710204081632653,0.17865285762454225
F(20),0.006571428571428573,0.015748015748023623
F(30),0.03816326530612245,0.1465890438918122
Caco-2,-6.313163265306122,0.19815895838723935
MDCK,8.148049398163266e-05,6.775503417874275e-05
BBB,0.04822448979591837,0.060308327681632024
PPB,54.948367346938774,16.8290488376174
VDss,1.2030204081632652,0.4063307606800523
Fu,48.37102040816327,17.2369465399301
CYP1A2-inh,0.02022448979591837,0.019014539728545506
CYP1A2-sub,0.13926530612244895,0.12688393244585847
CYP2C19-inh,0.018836734693877553,0.004722935787090439
CYP2C19-sub,0.07777551020408165,0.04306596940843705
CYP2C9-inh,0.014836734693877553,0.010514567154618376
CYP2C9-sub,0.07246938775510205,0.06064380362714189
CYP2D6-inh,0.007571428571428571,0.004387482193696061
CYP2D6-sub,0.15357142857142858,0.060442465756011865
CYP3A4-inh,0.13630612244897958,0.12512247401406895
CYP3A4-sub,0.4098775510204082,0.21471033128506936
CL,3.1981428571428574,0.980330917768757
T12,0.06716326530612245,0.04222476906329956
hERG,0.03742857142857143,0.02832475360292948
H-HT,0.13083673469387755,0.10865606037300594
DILI,0.8460612244897959,0.09659416997660569
Ames,0.025081632653061223,0.03191384021516232
ROA,0.7676938775510204,0.29465807897188456
FDAMDD,0.111,0.19913113351089362
SkinSen,0.2651428571428572,0.19309604691275617
Carcinogenicity,0.3238163265306122,0.13233286211126027
EC,0.005938775510204082,0.00446937804801232
EI,0.011612244897959185,0.005003400204405218
Respiratory,0.9497551020408163,0.04012196541601042
BCF,0.08069387755102041,0.1432745331059735
IGC50,4.557959183673469,0.5055643282174747
LC50,5.828346938775511,0.6386587361748972
LC50DM,4.8970204081632644,0.814140126396042
NR-AR,0.0006938775510204082,0.0016099182385120921
NR-AR-LBD,0.05483673469387755,0.10951642702862271
NR-AhR,0.1063265306122449,0.15981191911054668
NR-Aromatase,0.020877551020408166,0.07538087529701562
NR-ER,0.049775510204081636,0.02886626152486271
NR-ER-LBD,0.06320408163265306,0.12576233862459194
NR-PPAR-gamma,0.011714285714285715,0.019487175269905076
SR-ARE,0.13818367346938776,0.16438023419668749
SR-ATAD5,0.056551020408163254,0.08866299989860714
SR-HSE,0.003346938775510204,0.004380596517637767
SR-MMP,0.40465306122448985,0.24242168417693927
SR-p53,0.2312857142857143,0.21789513915337044
MW,508.13877551020414,105.44080214415443
Vol,486.0048979591836,103.54787547559924
Dense,1.0466122448979591,0.0246600354204688
nHA,11.244897959183673,2.4877249667525714
nHD,5.530612244897959,1.3708580162366457
TPSA,187.3169387755102,32.71533650319078
nRot,4.0,2.8939592256975564
nRing,4.346938775510204,0.7786478774175158
nHet,11.489795918367347,2.5010202000016566
fChar,-0.04081632653061224,0.2857142857142857
nRig,27.918367346938776,4.927967526838851
Flex,0.1363673469387755,0.08292534139150685
nStereo,6.8979591836734695,1.8056035228235057
NonBiodegradable,2.4693877551020407,0.6801360408136048
NonGenotoxic_Carcinogenicity,0.24489795918367346,0.4800439322299036
SureChEMBL,0.10204081632653061,0.3058388709205983
LD50_oral,0.02040816326530612,0.14285714285714285
Skin_Sensitization,3.6530612244897958,2.1847103203110176
Acute_Aquatic_Toxicity,0.2653061224489796,0.569192051803901
Toxicophores,1.7959183673469388,1.2744213039116794
Genotoxic_Carcinogenicity_Mutagenicity,0.8979591836734694,1.6361145278675695
QED,0.3221428571428571,0.1184205077960176
Synth,4.77569387755102,0.31957609970615974
Fsp3,0.5008163265306123,0.07415065561336028
MCE-18,117.8769387755102,21.014389150064297
Natural Product-likeness,1.0104081632653061,0.35229390655905396
Alarm_NMR,1.3265306122448979,0.7184402985530767
BMS,0.2857142857142857,0.5400617248673217
Chelating,0.9795918367346939,0.14285714285714288
PAINS,0.04081632653061224,0.199914947901746
Lipinski,0.6122448979591837,0.4922874554317936
GoldenTriangle,0.6530612244897959,0.4809288065886704
