# Atoms,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
3.287821897,-0.1377350554,-0.3792691447,0.4987875793,1.919513323,1.371635038,-0.3391974384,-0.7042801126,-0.7371856778,-0.7193036274,-0.07993142327,-1.192588329,0.06250259636,-0.4953393489,-0.1000351595,-0.8054945324,-0.6807953668,-0.7683981884,1.179020589,-0.6904992479,-1.093665036,-0.7994534575,-0.9174593515,-0.5452693203,1.01496116,0.04868028144,1.057553721,-0.3044910392,1.082884927,1.095163687,-0.4198809307,-1.012326032,-1.229470117,-1.089302238,-0.8667528659,-0.3625969381,-0.5270707922,-0.9604891547,0.08394980787,0.6010687228,1.173371975,1.720071638,-0.31436888,-0.1313423428,-0.6962586066,-0.6414153554,0.9623402392,-0.4138373265,-0.417160938,-0.7623146527,-0.3728132323,-0.5258450735,0.2623023172,0.7194613828,2.016609913,-0.03226688911,-0.2650812078,1.930867304,1.025189999,1.600643874,0.2130641961,0.2386455114,1.093216414,1.597449121,0.2047947638,1.262695472,-0.141444657,4.840102831,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,2.541881788,0.2562100109,0.1570462635,-0.1753596306,-1.412215103,2.37048663,1.868472296,1.253161546,1.718001938,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
5.156278079,0.05640409749,-1.601097198,-1.611747067,-0.631895045,1.325557543,2.594177737,1.699285175,1.45684767,-2.904170631,-0.01987059015,-1.141196044,-1.251228775,-0.7720148113,0.6229050587,-0.8119803618,-1.318691928,-0.761330785,-1.277180813,-0.6029221818,-1.16354789,-0.8073261632,-0.9146024146,-0.7183218576,-1.420712496,-1.154674189,-0.4807904239,-0.7007210861,1.358786762,0.5307302047,-0.7161669134,0.3134254181,1.187915995,-0.5708288174,-0.9871773684,-0.3625969381,-0.5549018108,-1.126513293,-1.554605692,-0.4718589727,-0.1613036266,-0.9025420863,-0.109411517,-0.4570192338,-0.6867420917,-0.6509588751,0.4405811796,-0.1339395247,-0.493336479,-0.1400256479,-0.4165121317,-0.5383067775,-0.4484340873,-0.7317695287,5.065930536,-0.0320174727,-0.001744855175,6.182983615,7.262786213,6.41671404,6.382831678,2.691735411,0.3202129151,5.739029779,0.2047947638,3.502001185,-0.1414038592,3.002280144,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,-0.9550465467,-0.3024407429,-0.7436937188,2.19050084,-2.397233989,2.689738128,0.5525370393,3.505457847,-0.0992270254,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
3.063607155,-1.100268814,1.014682501,1.346927641,1.919513323,1.355507915,1.459075671,-0.1709588992,-0.03482046631,0.5379593272,-0.1480660077,-1.190018715,0.9669875013,0.004172026574,-0.934734252,-0.8119803618,-1.107013249,-0.7436622765,0.7349306037,-0.6722540258,-1.15747112,-0.7994534575,-1.057449259,2.069060082,0.9442282127,0.514361977,-1.488255021,1.289503119,1.384652559,1.116965838,-0.6667859163,1.708047074,1.098658662,1.607994009,-0.7757001932,-0.3625969381,-0.5340285469,-0.2305100056,0.1421923019,1.550266541,-0.4607145329,0.9811702739,-0.6454538512,-0.3309507599,-0.6867420917,2.068944232,-0.5484247989,-0.3954229974,0.2753439801,1.931128161,-0.3873795321,-0.4178436386,1.452013255,1.823912217,3.215160839,-0.03214302514,-0.4464906951,2.167095988,0.29135515,1.758820387,0.586989498,0.8519179864,5.151484786,1.815427051,0.2047947638,3.502001185,-0.1414494143,3.921191487,-0.4932201505,-0.2412403171,0.09876770391,-0.3885610249,1.37623901,1.373511518,1.958526228,1.401880683,-1.701394959,3.499872154,1.120425766,1.296761044,1.701330113,0.9318523301,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
3.736251381,-1.262925942,1.07754503,1.00759149,1.434745733,1.369331163,2.21478221,-0.5088094416,1.449984166,-0.7210571322,-0.1774072016,0.09221879673,0.6873566719,0.4715292267,-0.7147089682,-0.7827941295,1.41596777,0.7157565248,1.184503182,0.2764975239,-0.4707961184,1.748678966,1.250955749,2.208120157,1.467036952,-0.8740071583,-1.482222299,1.670609882,1.174852206,-1.041447176,-0.4165888642,1.547349928,1.163122291,-1.302246678,1.509428171,-0.3625969381,-0.5375074242,0.9026706229,0.6055436992,1.257649897,1.86090813,1.353861752,-0.6486070414,-0.06830810588,0.1919494474,0.3701977301,-0.04613436099,2.075779963,-0.4033108396,1.007123275,4.409788531,2.14926739,2.03605317,2.159035821,2.256886966,-0.03224307411,-0.2943408025,1.458409936,-0.07556227438,0.7172096596,0.773952149,3.918280361,1.866219914,1.161493262,0.2047947638,3.288733974,-0.141447324,2.083368801,-0.4932201505,-0.2412403171,0.09876770391,-0.3885610249,-0.9550465467,-0.8610914967,-0.7436937188,0.6132605262,-1.601989384,2.880044035,0.2509685431,5.494736564,1.398458619,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.465701177,-0.5376733705,-0.1881870115,0.7139275005,1.919513323,1.373938913,-0.4286484164,-0.7115197671,-0.7463370161,-0.2178012494,-0.01888598632,-1.192588329,-0.09786929346,-0.1573466218,0.02601107092,-0.8087374471,-1.132757953,-0.7507296799,0.8582889331,-0.6759030702,-1.13316404,-0.7968292222,-1.02887989,0.6444668734,1.150276363,0.2961617974,0.9127683896,0.6422265538,1.249575619,1.080628919,-0.505474659,-1.06971787,-1.226990747,-1.092388389,-0.8579413169,-0.3625969381,-0.5340285469,-1.466467482,0.1292495255,0.7889213833,0.8557429442,2.126791468,-0.2576114564,0.02974515162,-0.6930864349,-0.6223283161,0.9662339635,-0.4175201923,0.1022177506,-0.2437404821,-0.3825240989,-0.5092294681,-0.09924620161,1.87053811,2.70139684,-0.03220705742,-0.2299696941,2.639553356,0.6582725744,2.076939103,1.521802753,0.2386455114,1.093216414,2.251382909,0.2047947638,1.475962683,-0.1414290155,4.840102831,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,2.541881788,0.2562100109,0.1570462635,0.6132605262,-1.751097747,2.556346137,1.71572981,1.316778585,1.471629408,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.092009941,-1.013984746,0.7153371224,0.5520717683,-0.6293436366,1.380850537,-0.3607890537,-0.7115197671,-0.8058207147,-1.506627291,-0.06122395066,-0.9947280315,0.741337034,-0.8617473938,-0.8067830408,-0.8087374471,1.401665157,-0.7683981884,0.003004516059,-0.6540088037,-1.099741805,-0.7758353403,-0.9031746671,-0.3876679025,0.7074266073,-0.7625211818,-0.9664245559,1.343946942,-0.6357535859,-1.162570241,-0.3013665376,1.415348702,1.212709699,0.7284408848,1.107034102,-0.3625969381,-0.5305496696,1.013353382,-0.01829812616,0.284970496,0.7408895542,0.4926203585,-0.4184241567,3.027373309,-0.6930864349,1.862167973,2.640535423,1.210306497,2.889550046,1.660841017,1.214913445,-0.4967677641,2.138028394,2.14446523,2.267796496,-0.0322552964,-0.08952363937,1.930867304,1.759024847,1.839306482,0.2130641961,3.305007886,1.672969039,1.597449121,0.2047947638,2.862199552,-0.141450928,5.759014174,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,0.2105962316,-0.3024407429,1.958526228,-0.1753596306,-1.592952513,2.488760862,1.696147441,4.081110686,1.801361065,-0.8015463051,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.316224683,-1.022729753,0.791171285,0.6870850895,1.919513323,0.8809097189,-0.2559154933,1.689632302,1.408803144,-0.8736120514,-0.07402380034,-1.197727557,-0.5479148707,-0.7391128644,-0.05209314238,-0.8087374471,-0.7237032073,-0.7577970833,1.173537997,-0.6904992479,-1.154432735,-0.804701928,-0.9460287204,-0.1064575294,1.340947785,-0.5360788482,0.3456925088,1.80671944,0.5109634155,1.097586148,0.2747450954,-0.975021338,-1.224511376,-0.9998038497,-0.9284337086,-0.3625969381,-0.5340285469,0.6206931177,1.090897817,0.6913825019,1.539318638,1.971233286,-0.6391474708,-0.3414564661,-0.6962586066,-0.6191471428,0.3821753148,-0.3143999495,-0.4483236593,0.2748336886,-0.4068012652,-0.5299989748,1.158448219,1.646151001,2.557219912,-0.0322188092,-0.2475254509,2.403324672,1.025189999,1.636251982,1.147877451,0.8519179864,1.479718164,2.03340498,0.2047947638,1.582596288,-0.1414347819,5.452710393,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,1.37623901,-0.3024407429,0.1570462635,1.401880683,-1.845984888,3.465190236,1.985966515,1.489988436,1.266010229,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.241486435,-1.048381773,0.8799770806,0.8870009566,1.919513323,1.302518796,-0.4193948669,-0.7139329852,-0.6319452878,-0.3686026638,0.03822103534,-1.195157943,0.3101218157,0.4333928791,-0.4035621022,-0.8054945324,-1.12989743,-0.7507296799,1.115970777,-0.6613068925,-1.160509505,-0.4976664042,-0.9545995311,1.469556649,1.405530041,-0.2248290889,-0.5049213125,0.04636915499,0.7868652504,1.146035374,-0.08409015028,-0.8659768464,-1.214593895,-0.5492257582,-0.4996049924,-0.3507666264,-0.5166341603,0.6206931177,0.7375600191,1.438277455,1.216144961,1.871578826,-0.5886964275,1.297433695,-0.6899142633,-0.6509588751,1.036321001,0.5031962607,-0.4136984134,-0.1745972593,-0.3922349654,-0.5175372708,-0.2383033242,2.030814616,2.444381145,-0.0322332063,-0.1890062615,2.403324672,-0.8093971231,1.457622879,1.147877451,0.8519179864,1.093216414,2.03340498,0.2047947638,1.902497104,-0.1414372327,4.840102831,1.261313553,-0.2412403171,2.590389621,3.067012584,3.707524566,0.8148607647,1.958526228,1.401880683,-1.642655301,2.95385427,1.602152065,2.356425126,1.245633553,0.0651530125,1.479130937,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.241486435,-1.082195799,1.046612675,1.026821874,-0.6267922283,1.378546662,-0.4471555153,-0.7139329852,-0.8241233913,-0.8245139165,-0.03660885511,-1.128347973,0.916773211,-0.7824836126,-0.8128154801,-0.8087374471,1.004052502,-0.761330785,0.1647409924,-0.4606094493,-1.099741805,-0.7338475763,-0.8888899826,0.05114388846,0.9903583956,-0.9184714096,-1.213766164,1.927705714,-0.6759892702,-0.1087995772,1.374295298,1.590393807,1.210230328,1.274689667,-0.1471430338,-0.3625969381,-0.5305496696,1.000176863,0.6780232474,1.01109328,1.638330181,1.484303769,-0.6359942806,3.034377114,-0.6930864349,1.935334957,2.624960526,1.236086557,2.917250242,1.689126881,3.268761715,-0.3638429212,2.147298868,2.159035821,2.406946483,-0.03223998512,-0.1363389909,1.930867304,1.025189999,1.630954908,0.586989498,3.305007886,1.672969039,1.597449121,0.2047947638,2.968833158,-0.1414479006,5.452710393,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,0.2105962316,-0.3024407429,1.958526228,0.6132605262,-1.683321218,2.420286306,1.625650909,4.039525858,1.80321349,-0.8015463051,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.988868908,-0.1202450417,0.4983117231,0.05608811388,0.824959133,-0.8493002082,-0.4718316471,-0.6898008036,-0.8195477221,-0.8525699936,-0.1858747945,0.7937234873,1.015004916,-0.3614882468,-1.045858133,-0.7503649825,-0.06006194151,-0.1747363031,-1.153822484,2.491467488,-0.6379072913,-0.7233506353,-1.037450701,-0.3876679025,0.3168577257,-1.154891087,0.7709994194,-0.5978827533,1.298433236,1.121810761,0.7060058036,-0.6593662307,0.8705565875,-1.138680659,1.177526494,-0.3625969381,-0.5305496696,-0.5810054093,0.01276453734,0.4312788181,0.382071722,1.609074394,-0.3837390645,-0.4395097236,-0.550338712,-0.6382341822,-0.7859419827,-0.5022261059,-0.4483236593,0.5671209484,-0.3970903986,-0.5175372708,-0.643114059,-0.6793153994,1.378402401,-0.03237841292,1.004785204,0.9859525679,-0.07556227438,0.612445309,0.586989498,0.8519179864,-0.4527905842,2.469360839,0.2047947638,1.049428261,-0.1414377372,0.2455461139,1.261313553,-0.2412403171,-0.5241377753,1.33922578,2.541881788,-0.3024407429,1.958526228,-0.9639797874,-1.159182729,1.072137917,-0.3051707616,1.621226022,-0.6929292505,-0.8015463051,1.479130937,-0.1968062589,-0.1985287665,0.3478912366,0.5881069692,-1.237671892,-1.450031895
