,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
# Atoms,0.08800162193978904,0.2109465003001207,0.03567973496266537,-0.16314560818673224,-0.039599889731176494,-0.021207824000017937,0.01311894393933143,-0.00015329490112812833,0.008972915843570788,-0.03625980803920181,-0.03572319882096437,0.03770737533011043,0.11064665804398238,-0.06779674134771149,0.02546315978244976,-0.05038195375861638,0.01169146626331334,-0.02952200246578719,0.0011437294261376397,-0.01368299741898958,0.02273214882823917,-0.0031501588169536676,-0.07882469237587589,-0.06780267372556353,-0.020663585403525836,0.01759281668027056,-0.02975482683080946,0.016313148372019623,0.12296525787173201,-0.03841487912165081,-0.041398228871080876,0.06925269585236996,-0.05309552173080451,-0.02722138753700034,0.005312206564707273,-0.04563525871429633,0.0285644971885402,0.05072369018468128,0.018486702414055645,0.002441870232616661,0.04692422911966935,-0.05057796194552032,0.06893754932853427,0.09211928201667936,-0.0269581423644229,-0.009629898483021001,0.09976676862709354,-0.08565749344222674,0.06050472882148071,0.08483724297316857,0.030978361943791898,0.023225737110271313,-0.027352516313357826,0.08396701025701275,0.007698251710496137,-0.09950375500492209,0.04021954246629414,0.021859155299156587,0.08895341974356058
LogS,-0.2162329445057295,-0.008065190763167585,0.036633763905560064,0.009004387137837855,0.020008180727754794,0.1086905419988641,-0.02280572061952736,-0.054817563458579736,-0.016201998245244584,-0.01960197342086903,-0.002631481681759722,-0.06077955106513285,0.05121048127996722,0.027747535131083054,-0.08302344800691329,-0.009424578671768737,-0.08913070899396056,-0.05767968087199399,0.03990713090710558,-0.007902980955904962,0.05703195539142659,-0.0111121974577313,-0.05118095439154147,-0.01951498057120905,-0.08835521857064794,0.08966744059869176,-0.006903940731949531,0.07372956761953357,-0.0027434880981077464,0.04457597246359098,-0.025298553106890453,0.09684151647476189,-0.07953624023466183,-0.04032885175059648,-0.002006773560642664,-0.10347566124928938,-0.06745518247194672,-0.025852920788207362,-0.027932871185539,-0.051563301955364994,-0.020310398231602078,0.030341541186556686,-0.09111350609419808,0.0430135799400809,-0.0412821593662874,-0.052114680475594685,0.06103119962546845,0.19739368718124828,0.0005396021722923975,0.012594931309430544,-0.02925557246504438,0.048506997227965185,-0.19222408852667,-0.1119244187037712,-0.0336262608988261,-0.02756505686364356,0.012803771073473923,-0.014887868159457439,0.03341247783768558
LogD,0.22053808985983236,-0.06458698392227612,0.043711669971372616,-0.030822907042462155,-0.08064829746744219,-0.040284383420196496,0.012043469515930813,0.06094314587740737,-0.01014379020394772,0.11311495971821806,0.0416758627133797,0.056775755993325856,0.03172156626886924,-0.030704149950555093,0.04172869971899992,-0.06901091849948475,0.007090394367384239,-0.0012842371665137686,-0.07447961757377727,-0.04063500415157947,-0.0935174272357329,0.05477935333165199,-0.01375143584490851,0.03865186010120324,0.02501682477595551,-0.06349882072825082,-0.048517081490260044,0.0054398271838588955,0.06123312651065271,-0.04117607475249624,-0.025560549110085734,0.050721203116569566,-0.021858232134913322,0.0732442124402359,0.00722662064194833,-0.014680741019843253,0.006612600845260699,0.05630061602784109,0.014814961787149765,0.033205375712292415,-0.06996029961555755,-0.05655884517278784,0.020029573480287194,0.010107535174929549,0.03701575044517471,0.000499779533949521,-0.02828805401773645,-0.006035210526830419,0.006853459755706023,0.02812964089659496,0.04142506284568753,-0.17137729828480666,0.1056957119924765,-0.010070311998549027,0.035371900570589476,0.026357128699935346,-0.009956775759587599,0.09234274044447602,0.03623848470387542
LogP,0.22011549647062956,-0.0534848146214742,0.01634702370420793,-0.023591332552091615,-0.09426662318044035,-0.04794024705165114,0.0353399729186245,0.09338359529884381,-0.009019036410772237,0.06064276555227208,0.07175802346654021,0.06731573888771944,0.0019716942304722485,-0.007686942355674076,0.07165721643918235,-0.08136029881839674,0.00414034550382212,-0.011686252269133952,-0.07435943240429525,-0.06640736312670656,-0.14190518432084795,0.015159760612944983,0.005521566156766675,0.0552382871362078,0.016584927697397847,-0.04763772887250288,-0.10016019319674865,-0.0073678116307258346,0.050316881335990174,-0.027164335493563493,-0.04253068322408457,0.030908314679757368,0.023303520800295845,0.04991292547949827,0.01972859025914734,-0.00614640969212274,-6.614791193355896e-06,0.04403259926241609,0.035474040031596266,0.029140988118637603,-0.034435707531897966,-0.03827780532751887,-0.020766473612606834,0.03277734082246603,0.0628092042108169,0.06243127456863346,-0.07362306085252565,-0.007304303671150925,-0.012065628455913219,0.0637244034866152,0.0681805881129269,-0.09286510173896202,0.11779584397089209,-0.02970273384050208,0.06016419166397231,0.013231834695920545,-0.0461746064647444,0.0727307951318034,-0.025914947075742014
Pgp-inh,0.15207885089020218,0.014788613744613183,0.053508510138297216,-0.06405353383430273,-0.05500590158287076,-0.09520294738472376,0.06766877253717597,-0.06742282140004423,-0.05087052547849788,-0.09851054191307436,-0.11590591201460039,0.15643676522692007,-0.14437308157538647,0.1036893033573279,0.024135731607375352,-0.07933611963100477,-0.09520844018637498,-0.029719966326943306,-0.02690032370825971,-0.0647599938942886,-0.08877494397708216,-0.06563557955826639,-0.14730826800765615,-0.07358442786424663,0.14875038596490575,0.006686088857368419,0.21820380624068103,0.1740764571774998,-0.15663264743955263,0.16576982854138947,0.17006284801360216,0.06441707627482957,-0.17237047692632285,-0.046948129946518785,-0.2574644924110838,0.1049624971901829,0.16349458432232705,0.016221015815513863,-0.11877956400010611,-0.04920534316229452,-0.19020671315256868,0.14749943133329865,0.04213919293040223,-0.11240400637976128,0.23073123908633955,0.1678666492143071,0.17888931398287236,-0.08645903334461011,0.0636898783648765,0.02657649730113354,0.285362439452998,0.16870229615636526,-0.12163183752963178,-0.005454885774178617,-0.04558485200472183,0.06904877633695368,0.18169506401146426,0.04478865942067474,-0.08450537051965487
Pgp-sub,0.020502403788382275,0.08046211095126238,0.11951342402357962,-0.18338188522401683,0.06410961850198948,0.1371561498351705,-0.060731806961351636,-0.10857947724062988,0.024482954221766513,0.009802790384526472,-0.04413897765507441,0.04437128734169565,-0.026001808774157198,-0.003136612547747053,0.1577667439370658,0.06163165753510803,-0.19787695998827795,0.21396610336381178,-0.043397584363414614,-0.21309025571804271,0.05068768553736888,-0.03569089652966888,0.09396576004682175,0.08018760868565877,-0.1561292221357401,0.043707774701635185,0.046423223885716444,-0.1327337530028787,-0.07693578117263594,0.234891738040658,-0.13593891508307293,-0.28135894582834,-0.16480576305510203,-0.2491514948807561,-0.29148176832507117,-0.06854474603242555,0.13894578776207717,-0.18272282635640905,-0.07422825035881196,0.2535569133522444,0.1884347446540024,0.11377239197459676,-0.03570479935115249,0.022036973364522955,0.03945384993072029,-0.14240754998945473,-0.0456372947358509,-0.04283620114120289,-0.09642164789157057,0.10366754731887916,0.03044735667778556,-0.17691394068879246,0.13286482321123388,-0.1159294175205983,-0.013116299584759121,0.018324017650081417,-0.13624329688029987,-0.016857278071510818,0.062448097915697665
HIA,-0.08183167933423817,0.16069950509034775,0.020253970124518683,-0.05695360875663741,-0.13201612397479634,0.09869301849243163,-0.0338956995195851,-0.1201996728582514,0.1884626273749447,0.08468945078927342,0.09730943206729352,-0.08316464044456216,0.007604837425111033,0.03353330905352769,-0.05605896709611352,0.12966610615375762,-0.08031244390034156,-0.010590690069338618,0.08509461352128402,0.03475932796441299,-0.0034691635776967853,0.05495240954560683,-0.049752620693494023,0.007195479345679954,-0.06359431128115012,0.01126694820700377,-0.0038970940387420515,0.11973578457923256,0.010155524832298257,0.02290476830280054,-0.08529781783439205,0.10922065485468252,-0.024891956068026973,-0.13222343939021816,-0.07303524819487467,-0.023847983122052135,-0.0977498227772007,-0.11899303625512804,0.12576309445929368,-0.031983204874072475,-0.17405106985632635,0.24002668061288407,0.0947524676435149,0.10503814437732577,-0.22754591270842903,0.05159841821036419,0.17493479650000698,0.18273161450114433,-0.10470814949915719,-0.17163466950465026,0.1005056647907587,-0.04225111140668752,0.18086378074203505,0.1731988057231216,0.1352555608823153,-0.060682875724694774,0.23249250592414664,0.28342582281373124,0.2780507868840579
F(20%),-0.0033998832069409637,0.09127036342016388,0.10127378277548671,-0.02541532222750309,-0.18388506312435327,0.12842278871318658,-0.1428583239261825,-0.13915253296671637,0.3615802480211684,0.0280435765724166,0.09143352827641163,0.052737027854880165,-0.10100067013918819,0.06495122863460086,-0.0417719395877667,0.17263984305837587,0.008599798457467448,-0.16383600583002883,-0.06930501312081981,0.1484373005328538,-0.18070833419431506,0.015391357740635707,-0.11652230260981787,-0.02428986667359108,0.03169163144012529,0.013461000466797724,0.019930145719844028,-0.03949628123751738,-0.0380640804423671,-0.09883802883367793,-0.08057979755643876,-0.06354759490957768,0.02710399221511771,0.054258261284084515,0.03497712231735359,0.08780664561665269,-0.07776184927092214,0.009252886691653344,0.025683888051808785,-0.007816902135548174,0.05137128020034565,0.025229836136250145,-0.07095824195336231,-0.11583974424129515,-0.019097089011509482,-0.05408055186225859,-0.01888878277822869,-0.07523921763506228,0.03388845218845546,0.10041091069801637,-0.08903418997635165,0.0862576813692722,-0.07298493219957372,-0.16089794688893838,0.02860226186324145,0.049539159226549084,-0.06007484927054069,-0.1786966147921083,0.15819962920786715
F(30%),0.004742211538075693,0.09544882926316096,0.07121550989035763,-0.013560882197932833,-0.2047027918068074,0.14516200754720238,-0.11190664578441706,-0.12307125759668061,0.3146114047595993,0.06000354690811038,0.10107507997935222,0.03519135964112832,-0.11942921949209276,0.06571212116419642,-0.061360854017083195,0.21932212599851997,-0.05692641911397777,-0.1734177058426155,-0.09194746806660103,0.1759652373986856,-0.21187023066209426,0.033422401255193926,-0.020544155087009214,-0.007687088993462932,-0.0773701542948455,-0.015289195478607735,-0.0040585219132561745,-0.03815231683569087,-0.11434635571013377,-0.06791248345212131,-0.019104015790953846,-0.0737710426602064,-0.08617820645000959,0.07904920267254159,-0.055380177286632346,0.07828297320959496,-0.04926483580425198,0.003088032222789361,-0.06435345184623087,0.09613983418437926,0.08894672919315509,-0.11464992587381895,-0.012974582634955203,0.059311943888310396,0.10006578503518625,0.07239006216853523,0.037430186691324495,-0.05213281109736029,0.0754440143682551,-0.06515647393694457,0.037521782814484275,-0.02287435322887357,-0.07961594898981682,0.012813557406232974,-0.10344962483588899,-0.012120620296819415,-0.09829292602029817,0.01546481177135209,-0.2755386308812904
Caco-2,0.09891919366188107,-0.18748798308623155,0.010444215971890727,0.08364260096526033,-0.009189985791821897,-0.06378173469189641,0.09615421527956625,0.020871414266069338,0.007286372279668135,-0.01794351544967432,-0.08176608271236739,-0.011831588448560658,0.1057420807089676,0.0460155848523538,-0.06265723512060198,-0.10246501001115531,-0.06243531927133822,-0.09044561564748814,-0.13055526047785726,0.0784456787769305,-0.1008123608719928,0.013925436966546205,-0.07124537542332358,-0.016063238137028826,-0.008792395810931938,0.001578096416095607,-0.24138098985965073,0.08230997603846554,0.06218076594800384,-0.04625424315212498,-0.16471465896080822,-0.06801651941921558,-0.13023581305939533,0.030086502979898788,0.014117327739356474,-0.0989760847552311,-0.057257415315264876,0.1021601062686585,-0.016608079560937964,0.039721122937677086,0.08520840806404908,0.14340950736577715,0.03705035924912401,0.0594119254325252,0.01471076879615903,-0.0061797584925374766,0.19709485440504265,-0.05174628608334814,-0.0341610854627932,0.04257092459773102,-0.0469251780635067,-0.18770494218630587,-0.029464382021681293,0.11782103386037664,0.09022311024997558,-0.09126965698183817,-0.21953098231544288,0.008571376498569051,-0.13664027665615708
