Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CCC[C@H]1CN([C@@H](C1)C(=O)NC([C@H]1O[C@H](SC)[C@@H]([C@H]([C@H]1O)O)O)C(Cl)C)C.[Cl-].[H+],C18H33Cl2N2O5S,0.316032,0.13954,-1.18747,1.877593,0.323792,0.047121,0.564304,0.299664,0.264316,0.0577,0.371825,-1.29168,-0.3756,-0.62096,-0.33763,-0.34851,-2.58E-02,-2.57E-02,-0.84067,-0.61294,-2.52E-02,-2.52E-02,-0.61605,0.994338,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.18771,-0.58263,-0.07495,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,0.803066,1.096805
OC(=O)C(CC(=O)O)(CC(=O)O)O.CN(CCOC(c1ccccc1)c1ccccc1)C,C23H29NO8,0.250228,0.429704,0.669798,-0.47844,0.845174,0.786004,0.564304,0.291137,0.469962,0.407316,-0.83157,0.157154,-0.04458,0.50067,0.162008,0.728282,-2.58E-02,-2.57E-02,1.036924,0.731331,-2.52E-02,-2.52E-02,1.063719,-0.53214,-2.47E-02,-2.47E-02,-0.25938,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.82825,-0.58263,-0.83184,2.481588,1.384333,-0.68318,0.418443,-0.23795,-0.77024,0.803066,-0.34337
OC[C@H]([C@H]([C@@H]([C@H]([C@H](C(=O)[O-])O)O)O)O)O.OC[C@H]([C@H]([C@@H]([C@H]([C@H](C(=O)[O-])O)O)O)O)O.[Ca+2],C14H26CaO16,0.452637,0.357163,-1.18747,1.558132,1.018968,2.510064,3.425832,-0.29185,2.623217,-4.3981,-2.93297,-3.80299,-3.10454,-1.91422,-4.91421,2.629753,-2.58E-02,-2.57E-02,1.975722,1.968627,-2.52E-02,-2.52E-02,1.903605,2.627639,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-2.75634,1.618714,0.681945,2.481588,1.384333,2.116264,-1.88831,-0.23795,-0.77024,0.803066,0.792037
OC[C@H]([C@@H]([C@H](C=O)O)O)O,C5H10O5,-1.15141,-1.1662,-1.18747,1.318536,-0.37138,-0.19917,0.564304,-1.29527,-0.09255,-0.01222,-1.22464,-1.25117,-1.44134,-1.39532,-1.0524,1.783705,-2.58E-02,-2.57E-02,1.975722,1.562138,-2.52E-02,-2.52E-02,1.903605,2.076314,-2.47E-02,-2.47E-02,0.91283,-0.7682798259,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.49825,-0.58263,1.438839,-0.59641,-0.65233,0.716544,0.359296,-0.23795,0.280728,-0.3596,-0.60631
CS(=O)(=O)O.C#CCN[C@@H]1CCc2c1cccc2,C13H17NO3S,-0.59891,-0.58587,-0.25884,-0.35864,-0.71897,-0.44547,-0.15108,-0.53691,-0.37266,0.34101,-0.92832,0.30048,0.225896,0.257185,0.13772,1.048755,-2.58E-02,-2.57E-02,1.036924,1.373156,-2.52E-02,-2.52E-02,1.903605,0.191471,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.50566,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,1.331694,-1.52227,-0.74376
O1CC1.CC(c1ccc(cc1)O)(CC(C)(C)C)C.O=C,C17H28O3,-0.53735,-0.44079,-0.25884,0.479949,-0.54518,-0.69176,-0.50877,-0.29593,-0.67377,0.486884,1.333331,0.830161,0.500404,0.588484,0.963516,-0.95954,-2.58E-02,-2.57E-02,-0.84067,-1.20841,-2.52E-02,-2.52E-02,-1.45594,-0.06352,-2.47E-02,-2.47E-02,-0.25938,0.8216132743,1.878749,-1.01323,2.749695,2.725518,-0.37732,2.084166,-0.39508,1.433554,-0.58263,-0.83184,-0.59641,-0.65233,0.016684,0.359296,-0.23795,0.280728,-0.3596,-1.23377
OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C,C21H28O5,-0.16006,-0.00554,-1.18747,0.959141,-0.71897,-0.19917,0.206612,-0.07071,-0.13069,0.318104,-0.03334,0.088607,0.084604,-0.05815,0.203645,0.112975,-2.58E-02,-2.57E-02,0.098126,0.128729,-2.52E-02,-2.52E-02,0.223833,0.660097,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,0.98634,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.061642,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,0.839843
CCC(C1(CC)C(=O)[N-]C(=O)NC1=O)C.[Na+],C10H15N2NaO3,-0.75498,-0.73095,-1.18747,0.919209,-0.54518,-0.44547,-0.50877,-0.73415,-0.51193,-0.44261,-0.02427,-0.14196,-0.01632,-0.34953,-0.35151,0.467631,-2.58E-02,-2.57E-02,0.098126,0.353368,-2.52E-02,-2.52E-02,0.223833,0.45335,-2.47E-02,-2.47E-02,0.91283,0.8216132743,-0.53194,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,0.354564,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,0.280728,-0.3596,-0.66607
COC(=O)C(c1ccccc1)C1CCCCN1,C14H19NO2,-0.75932,-0.65841,-0.25884,0.120555,-0.37138,-0.69176,-0.50877,-0.55489,-0.81255,0.402494,-0.46269,0.132228,0.41563,0.16937,0.259161,0.775285,-2.58E-02,-2.57E-02,1.036924,1.077204,-2.52E-02,-2.52E-02,1.063719,0.119109,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,-0.36345,-0.36668,-0.37732,-0.47951,-0.39508,-0.02364,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,-0.62424
O=C1OC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(C)O)C)C,C19H30O3,-0.4146,-0.29571,-1.18747,1.917526,-1.06656,-0.69176,-0.50877,-0.25793,-0.71359,0.404905,0.607666,0.70553,1.0252,0.492687,0.796969,-0.37414,-2.58E-02,-2.57E-02,-0.84067,-0.29559,-2.52E-02,-2.52E-02,-0.61605,0.181133,-2.47E-02,-2.47E-02,0.91283,0.8216132743,1.878749,-1.01323,-0.36345,-0.36668,2.648644,-0.47951,-0.39508,0.74389,-0.58263,-0.83184,-0.59641,-0.65233,-0.68318,0.359296,-0.23795,-0.77024,-0.3596,0.236283
