Factor,Eigenvalue
MW,24.149483589547252
#Heavy atoms,11.029233575814438
Fraction Csp3,2.8176357674122543
#Rotatable bonds,0.003647067226056321
#H-bond acceptors,5.199590041697432e-15
#H-bond do0rs,4.331844879896412e-15
MR,3.99904815770122e-15
TPSA,2.2535864691287673e-15
iLOGP,2.0869544224268337e-15
XLOGP3,1.9442133988809033e-15
WLOGP,1.5666244058046724e-15
MLOGP,1.5488410509632766e-15
Silicos-IT Log P,1.3906099481782708e-15
Consensus Log P,1.1807768441620698e-15
ESOL Log S,9.120366775062984e-16
ESOL Solubility (mg/ml),8.447593402884308e-16
ESOL Solubility (mol/l),7.333120804823032e-16
ESOL Class,6.240483348712739e-16
Ali Log S,2.30506713203138e-16
Ali Solubility (mg/ml),1.2492200545260438e-17
Ali Solubility (mol/l),-1.948051824797653e-16
Ali Class,-1.9688612355629593e-16
Silicos-IT LogSw,-2.419085583194273e-16
Silicos-IT Solubility (mg/ml),-5.113923779650698e-16
Silicos-IT Solubility (mol/l),-7.16170504386645e-16
Silicos-IT class,-8.96568550829924e-16
CYP2D6 inhibitor,-1.2125876934139656e-15
log Kp (cm/s),-1.4540355044340655e-15
Lipinski #violations,-1.4747816392852425e-15
Ghose #violations,-1.9973556215073414e-15
Veber #violations,-2.0616549188853764e-15
Egan #violations,-2.384747212956516e-15
Muegge #violations,-2.8300206084754522e-15
Bioavailability Score,-2.882581228949018e-15
PAINS #alerts,-3.016798712293984e-15
Brenk #alerts,-3.815511951472284e-15
Leadlikeness #violations,-5.0448139185575324e-15
Synthetic Accessibility,-8.148675242065986e-15
