Column Title,Mean,Standard Deviation
MW,742.6159999999999,213.9683805612409
#Heavy atoms,49.8,9.808159868191384
Fraction Csp3,0.564,0.02190890230020661
#Rotatable bonds,9.0,6.284902544988268
#H-bond acceptors,16.0,3.0
#H-bond do0rs,3.6,1.51657508881031
MR,165.596,37.44007518689031
TPSA,204.92199999999997,42.78542882804845
iLOGP,3.438,1.7681261267228647
XLOGP3,1.526,3.7454078549605248
WLOGP,1.864,3.5473976377057026
MLOGP,-0.376,1.3538574518759352
Silicos-IT Log P,1.0939999999999999,2.6571940087242405
Consensus Log P,1.51,2.5712642804659347
ESOL Log S,-4.996,3.1388660372816166
ESOL Solubility (mg/ml),0.15140000558,0.1341726420995359
ESOL Solubility (mol/l),0.00022780000506,0.00019618918705762082
ESOL Class,2.4,1.3416407864998738
Ali Log S,-5.438,4.098483866016799
Ali Solubility (mg/ml),0.1394400000384,0.10489932309893023
Ali Solubility (mol/l),0.0002190000000348,0.00016471338737621483
Ali Class,2.4,1.3416407864998738
Silicos-IT LogSw,-3.568,2.8354311841411355
Silicos-IT Solubility (mg/ml),21.694000978,46.034872808102506
Silicos-IT Solubility (mol/l),0.028568000888,0.06009739090908227
Silicos-IT class,2.6,0.8944271909999159
CYP2D6 inhibitor,0.4,0.5477225575051662
log Kp (cm/s),-9.746,1.6700239519240436
Lipinski #violations,2.2,0.4472135954999579
Ghose #violations,3.4,0.5477225575051661
Veber #violations,1.2,0.4472135954999579
Egan #violations,1.2,0.4472135954999579
Muegge #violations,3.4,1.5165750888103102
Bioavailability Score,0.146,0.032863353450309975
PAINS #alerts,0.2,0.44721359549995804
Brenk #alerts,1.0,1.7320508075688772
Leadlikeness #violations,1.6,0.8944271909999159
Synthetic Accessibility,6.8,0.5608921464952065
