MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
622.64,44,22,0.32,5,11,1,163.55,130.42,4.17,2.39,3.61,2.22,3.89,3.26,-5.25,0.00353,5.67E-06,2,-4.77,0.0106,1.70E-05,2,-8.72,1.19E-06,1.91E-09,1,1,0,1,0,0,1,1,1,-8.4,1,3,0,0,2,0.55,0,0,1,5.02
631.66,45,22,0.32,6,11,1,172.45,176.24,3.41,2.02,2.4,0.72,0.89,1.89,-4.99,0.00639,1.01E-05,2,-5.35,0.00283,4.48E-06,2,-7.53,1.88E-05,2.97E-08,1,0,0,1,0,0,1,0,1,-8.72,2,3,1,1,3,0.17,0,2,1,5.12
532.39,35,22,0.22,4,5,2,136.81,93.45,3.67,3.91,3.85,2.94,5.12,3.9,-5.81,0.000834,1.57E-06,2,-5.57,0.00143,2.68E-06,2,-9.47,1.79E-07,3.37E-10,1,1,0,1,1,1,1,1,1,-6.77,1,2,0,0,0,0.55,0,0,2,4.42
420.22,31,16,0.32,3,7,3,114.91,121.88,0,0.69,0.06,0.5,1.61,0.57,-3.06,0.363,0.000863,3,-2.83,0.626,0.00149,3,-5.45,0.00149,3.54E-06,2,1,0,1,0,0,0,0,0,-8.37,0,0,0,0,0,0.55,0,1,1,4.26
618.59,45,21,0.32,12,11,2,157.96,169.44,4.22,2.68,2.01,1.09,2.89,2.58,-4.92,0.00749,1.21E-05,2,-5.89,0.000796,1.29E-06,2,-7.34,2.83E-05,4.58E-08,1,0,0,1,0,0,1,1,1,-8.17,2,3,2,1,3,0.17,0,2,2,5.36
476.52,35,16,0.44,4,7,1,129.78,99.88,3.75,3.45,3.14,2.21,4.66,3.44,-5.04,0.00432,9.07E-06,2,-5.23,0.00281,5.91E-06,2,-7.02,4.55E-05,9.55E-08,1,1,0,1,0,1,1,1,1,-6.76,0,0,0,0,0,0.55,0,0,1,4.94
662.73,49,22,0.34,9,9,2,185.64,140.06,4.43,4.29,3.91,2.89,5.17,4.14,-6.39,0.00027,4.07E-07,1,-6.94,7.54E-05,1.14E-07,1,-9.86,9.21E-08,1.39E-10,1,0,0,1,0,0,1,1,1,-7.3,2,3,1,1,1,0.17,0,1,3,5.97
586.68,43,16,0.52,6,8,1,169.63,114.2,4.95,3.74,3.07,2.55,4.33,3.73,-5.71,0.00114,1.94E-06,2,-5.83,0.000867,1.48E-06,2,-7.28,3.09E-05,5.26E-08,1,1,0,1,0,0,1,1,1,-7.22,1,3,0,0,0,0.55,0,0,2,5.59
457.91,32,16,0.35,3,7,2,121.78,104.89,0,2.02,2.24,1.19,2.88,1.67,-4.12,0.0344,7.52E-05,2,-3.85,0.0647,0.000141,3,-5.71,0.000897,1.96E-06,2,1,0,1,0,0,0,0,0,-7.66,0,0,0,0,0,0.55,1,0,1,4.3
421.45,31,16,0.35,5,7,3,113.86,113.68,2.91,0.42,0.75,0.71,3.19,1.6,-2.77,0.717,0.0017,3,-2.37,1.78,0.00422,3,-6.46,0.000147,3.48E-07,1,1,0,1,0,0,0,0,0,-8.57,0,0,0,0,0,0.55,0,0,1,4.29
448.59,32,16,0.4,4,5,1,127.38,81.42,3.99,3.62,3.7,2.72,3.91,3.59,-5.01,0.00441,9.82E-06,2,-5.02,0.00431,9.61E-06,2,-7.82,6.85E-06,1.53E-08,1,1,0,1,0,0,1,1,1,-6.47,0,0,0,0,0,0.55,0,1,2,4.62
363.37,27,16,0.25,1,6,2,98.02,107.44,2.17,0.93,0.95,1.11,2.15,1.46,-3.05,0.323,0.000889,3,-2.77,0.614,0.00169,3,-5.23,0.00216,5.94E-06,2,1,0,1,0,0,0,0,0,-7.86,0,0,0,0,0,0.55,0,0,1,4.25
421.45,31,16,0.35,3,7,2,114.81,104.89,2.79,1.22,1.43,0.98,2.88,1.86,-3.41,0.166,0.000393,3,-3.02,0.403,0.000955,3,-5.71,0.000826,1.96E-06,2,1,0,1,0,0,1,0,1,-8,0,0,0,0,0,0.55,1,0,1,4.23
522.04,37,16,0.48,3,6,1,148.6,84.66,4.36,2.83,3.87,3.18,5.72,3.99,-4.98,0.00545,1.04E-05,2,-4.27,0.0283,5.42E-05,2,-8.23,3.09E-06,5.92E-09,1,1,0,1,0,1,1,1,1,-7.48,1,2,0,0,0,0.55,0,0,1,5.16
932.44,65,27,0.4,17,13,6,242.43,269.57,0,3.45,3.3,-0.16,4.77,2.27,-6.98,9.76E-05,1.05E-07,1,-8.79,1.50E-06,1.61E-09,1,-9.9,1.17E-07,1.25E-10,1,0,0,1,0,0,0,0,1,-9.54,3,3,2,1,6,0.17,0,2,2,7.92
453.49,34,22,0.22,4,5,2,129.11,93.45,3.33,3.22,3.09,2.38,4.45,3.29,-4.9,0.00577,1.27E-05,2,-4.86,0.00633,1.40E-05,2,-8.71,8.86E-07,1.95E-09,1,1,0,1,1,1,1,1,1,-6.78,0,0,0,0,0,0.55,0,0,1,4.41
478.58,35,16,0.5,9,6,1,135.9,82.81,4.99,2.87,4.01,2.19,5.69,3.95,-4.36,0.0209,4.37E-05,2,-4.27,0.0258,5.39E-05,2,-8.27,2.55E-06,5.32E-09,1,1,0,1,0,0,1,1,1,-7.18,0,1,0,0,0,0.55,0,0,2,5.22
578.61,42,16,0.43,9,9,2,152.51,149.29,4.04,3.65,3.67,2.43,2.57,3.27,-5.41,0.00223,3.85E-06,2,-6.47,0.000194,3.36E-07,1,-6.55,0.000164,2.84E-07,1,0,0,1,0,0,1,1,1,-7.24,2,3,1,1,0,0.17,0,1,3,5.65
419.47,31,16,0.38,5,6,2,117.5,93.45,3.32,2,2.17,1.71,4.2,2.68,-3.75,0.0741,0.000177,3,-3.59,0.108,0.000258,3,-7.42,1.59E-05,3.78E-08,1,1,0,1,0,0,1,1,1,-7.44,0,0,0,0,0,0.55,0,0,1,4.36
895.84,58,22,0.38,21,12,5,227.35,264.63,5.62,3.97,4.89,1.38,7.43,4.66,-6.79,0.000145,1.62E-07,1,-9.23,5.30E-07,5.91E-10,1,-11.52,2.70E-09,3.01E-12,0,0,0,1,0,0,0,0,0,-8.95,2,3,2,1,4,0.17,0,4,3,6.4
396.41,29,16,0.36,4,6,1,105.86,73.58,3.46,1.87,3.03,1.86,3.91,2.82,-3.62,0.0951,0.00024,3,-3.04,0.364,0.000919,3,-6.5,0.000126,3.17E-07,1,1,1,1,0,0,1,1,1,-7.39,0,0,0,0,0,0.55,0,0,1,4.45
518.56,38,16,0.46,3,9,1,146.69,106.36,4.07,1.1,0.42,0.72,3.25,1.91,-3.86,0.0713,0.000138,3,-2.93,0.615,0.00119,3,-6.27,0.000278,5.37E-07,1,1,0,1,0,0,1,1,1,-8.68,1,2,0,0,0,0.55,0,0,1,4.86
895.98,64,27,0.4,17,13,6,235.47,269.57,4.2,2.65,2.5,-0.33,4.77,2.76,-6.25,0.000498,5.56E-07,1,-7.96,9.78E-06,1.09E-08,1,-9.9,1.12E-07,1.25E-10,1,0,0,1,0,0,0,0,1,-9.88,3,3,2,1,6,0.17,0,2,2,7.84
905.17,66,22,0.58,21,10,1,263.22,143.25,8.41,11.98,11.12,6.09,14.43,10.41,-11.86,1.25E-09,1.38E-12,0,-14.99,9.24E-13,1.02E-15,0,-16.03,8.43E-14,9.31E-17,0,0,0,1,0,0,0,0,1,-3.32,3,4,2,2,3,0.17,0,1,3,8.5
487.93,35,22,0.22,4,5,2,134.12,93.45,3.61,3.85,3.74,2.85,5.08,3.83,-5.49,0.00157,3.22E-06,2,-5.51,0.00151,3.10E-06,2,-9.29,2.51E-07,5.14E-10,1,1,0,1,1,1,1,1,1,-6.54,0,2,0,0,0,0.55,0,0,2,4.39
454.48,34,22,0.23,4,6,2,126.9,106.34,3.18,2.48,2.48,1.8,3.87,2.76,-4.43,0.0167,3.67E-05,2,-4.36,0.0199,4.39E-05,2,-8.34,2.10E-06,4.61E-09,1,1,0,1,1,1,1,1,1,-7.31,0,0,0,0,0,0.55,0,0,1,4.38
392.4,29,16,0.32,2,6,2,107.11,101.65,2.75,2.18,2.09,1.55,3.71,2.46,-3.92,0.0469,0.00012,3,-3.95,0.0442,0.000113,3,-6.01,0.000383,9.77E-07,1,1,0,1,0,0,1,0,1,-7.15,0,0,0,0,0,0.55,0,0,1,4.07
566.67,40,16,0.48,7,9,1,159.21,130.42,3.95,1.89,2.23,1.05,3.24,2.47,-4.38,0.0237,4.19E-05,2,-4.25,0.0318,5.61E-05,2,-7.32,2.72E-05,4.80E-08,1,1,0,1,0,0,1,1,1,-8.41,1,3,0,0,0,0.55,0,0,1,5.13
481.5,36,22,0.21,5,7,1,134.34,103.01,3.8,3.28,3.22,2.27,5.17,3.55,-5.01,0.00466,9.68E-06,2,-5.12,0.00367,7.62E-06,2,-8.46,1.66E-06,3.45E-09,1,1,0,1,1,1,1,0,1,-6.91,0,2,0,0,0,0.55,0,2,1,4.66
646.71,46,22,0.36,7,11,1,176.62,148.88,4.52,2.14,2.51,0.89,3.21,2.65,-5.09,0.00526,8.13E-06,2,-4.9,0.00817,1.26E-05,2,-8.38,2.68E-06,4.15E-09,1,0,0,1,0,0,1,1,1,-8.73,2,3,1,1,2,0.17,0,0,1,5.38
600.68,43,22,0.34,6,9,1,169.27,130.42,3.82,2.13,2.48,1.42,3.45,2.66,-4.89,0.00776,1.29E-05,2,-4.5,0.019,3.16E-05,2,-8.6,1.53E-06,2.54E-09,1,1,0,1,0,0,1,1,1,-8.45,1,3,0,0,1,0.55,0,0,1,5.17
922.89,67,31,0.31,22,15,4,236.67,255.96,5.05,2.27,2.64,-0.27,2.4,2.42,-5.88,0.00121,1.31E-06,2,-7.28,4.82E-05,5.22E-08,1,-9.73,1.71E-07,1.86E-10,1,0,0,1,0,0,1,0,1,-10.32,2,3,2,1,5,0.17,0,2,2,6.99
469.96,33,16,0.4,5,6,2,129.28,93.45,0,3.17,3.16,2.12,4.43,2.58,-4.78,0.00781,1.66E-05,2,-4.8,0.00739,1.57E-05,2,-7.44,1.71E-05,3.63E-08,1,1,0,1,0,0,0,0,1,-6.92,0,0,0,0,0,0.55,0,0,1,4.54
404.42,30,16,0.26,3,6,2,111.44,101.65,2.92,2.46,2.25,1.7,4.09,2.68,-4.09,0.0326,8.06E-05,2,-4.24,0.0233,5.77E-05,2,-6.06,0.000354,8.75E-07,1,1,0,1,0,0,1,0,1,-7.02,0,0,0,0,0,0.55,0,1,1,4.12
598.69,44,16,0.47,7,8,1,173.97,114.2,4.92,4.01,3.24,2.66,4.73,3.91,-5.89,0.00078,1.30E-06,2,-6.11,0.000464,7.75E-07,1,-7.32,2.85E-05,4.76E-08,1,1,0,1,0,0,1,1,1,-7.1,1,3,0,0,0,0.55,0,1,2,5.65
1036.07,75,22,0.44,28,15,7,267.3,302.63,4.17,-0.42,-0.04,-1.21,5.7,1.64,-4.37,0.0444,4.28E-05,2,-5.47,0.00351,3.38E-06,2,-13.11,8.12E-11,7.83E-14,0,0,0,1,0,0,1,0,1,-12.92,3,3,2,1,6,0.17,0,2,2,8.11
600.68,43,22,0.34,5,9,1,168.6,130.42,4.01,2.56,2.8,1.68,3.58,2.93,-5.23,0.00357,5.95E-06,2,-4.95,0.00679,1.13E-05,2,-8.58,1.59E-06,2.65E-09,1,1,0,1,0,0,1,1,1,-8.15,1,3,0,0,1,0.55,0,0,1,5.12
426.81,30,16,0.29,1,7,1,106.39,99.88,2.95,2.18,2.2,1.71,3.77,2.56,-4.19,0.0277,6.48E-05,2,-3.91,0.0524,0.000123,3,-6.13,0.000316,7.40E-07,1,1,0,0,1,1,1,1,1,-7.36,0,0,0,0,0,0.55,0,0,1,4
349.34,26,16,0.26,1,6,1,93.11,94.31,2.13,0.67,1.21,0.62,2.73,1.47,-2.82,0.532,0.00152,3,-2.23,2.07,0.00593,3,-5.45,0.00123,3.52E-06,2,1,0,1,1,0,0,0,1,-7.96,0,0,0,0,0,0.55,0,0,0,3.81
947.11,67,21,0.6,29,14,3,255.91,242.81,6.61,0.67,2.21,-0.18,6.49,3.16,-4.45,0.0334,3.53E-05,2,-5.35,0.00427,4.51E-06,2,-12.66,2.09E-10,2.20E-13,0,0,0,1,0,0,1,0,1,-11.6,2,3,2,1,5,0.17,0,1,2,8.15
687.81,49,16,0.5,15,8,3,192.74,183.02,4.49,3.18,3.01,2.39,5.49,3.71,-5.36,0.00301,4.37E-06,2,-6.69,0.000139,2.02E-07,1,-10.14,5.01E-08,7.28E-11,0,0,0,1,0,0,1,0,1,-8.24,2,3,2,1,2,0.17,0,2,2,6.35
428.44,32,21,0.25,2,6,1,117.8,99.24,2.92,1.68,2.22,1.56,3.25,2.33,-3.91,0.0529,0.000123,3,-3.38,0.179,0.000418,3,-6.68,9.01E-05,2.10E-07,1,1,0,1,1,1,1,0,1,-7.72,0,0,0,0,0,0.55,0,0,1,4.26
398.36,29,16,0.29,1,7,1,100.04,81.42,2.74,1.68,3.33,2.62,4.35,2.94,-3.71,0.0776,0.000195,3,-3,0.394,0.00099,3,-6.62,9.45E-05,2.37E-07,1,1,0,1,1,1,1,0,1,-7.54,0,0,0,0,0,0.55,0,0,1,4.05
770.74,56,26,0.32,17,13,3,197.31,212.7,4.63,2.48,2.32,0.55,2.64,2.52,-5.4,0.00305,3.96E-06,2,-6.59,0.000197,2.56E-07,1,-8.55,2.18E-06,2.82E-09,1,0,0,1,0,0,1,0,1,-9.24,2,3,2,1,4,0.17,0,2,2,6.17
432.43,32,16,0.23,3,7,3,117.87,158.18,2.28,0.3,0.43,0.84,2.36,1.24,-2.88,0.567,0.00131,3,-3.18,0.283,0.000654,3,-5.23,0.00257,5.94E-06,2,0,0,1,0,0,0,0,0,-8.72,0,0,1,1,1,0.55,0,2,1,4.3
646.75,46,16,0.44,10,9,2,178.36,165.36,4.13,3.34,3.42,2.38,4.66,3.59,-5.55,0.00182,2.81E-06,2,-6.49,0.000209,3.24E-07,1,-8.27,3.51E-06,5.42E-09,1,0,0,1,0,0,1,0,1,-7.87,2,3,1,1,2,0.17,0,1,2,5.9
483.52,36,22,0.25,5,6,2,135.6,102.68,3.59,3.19,3.1,2.06,4.51,3.29,-4.97,0.00518,1.07E-05,2,-5.02,0.00464,9.60E-06,2,-8.8,7.58E-07,1.57E-09,1,1,0,1,0,1,1,1,1,-6.98,0,2,0,0,0,0.55,1,0,1,4.53
467.52,35,22,0.25,4,5,2,134.07,93.45,3.63,3.58,3.4,2.58,4.97,3.63,-5.2,0.00298,6.38E-06,2,-5.23,0.00276,5.91E-06,2,-9.08,3.87E-07,8.28E-10,1,1,0,1,0,1,1,1,1,-6.61,0,1,0,0,0,0.55,0,0,2,4.52
703.8,50,16,0.5,15,9,4,194.5,203.25,3.9,2.36,2.37,1.91,5.03,3.11,-4.94,0.00813,1.16E-05,2,-6.27,0.000379,5.39E-07,1,-9.54,2.03E-07,2.88E-10,1,0,0,1,0,0,1,0,1,-8.92,2,3,2,1,2,0.17,0,2,2,6.35
621.1,43,22,0.32,5,9,1,168.64,130.42,3.97,2.82,3.15,1.95,3.69,3.11,-5.52,0.00189,3.05E-06,2,-5.22,0.00377,6.08E-06,2,-8.78,1.04E-06,1.67E-09,1,1,0,1,0,0,1,1,1,-8.09,1,3,0,0,1,0.55,0,0,1,5.01
449.46,33,16,0.33,6,8,2,120.63,123.24,2.79,1.46,1.55,0.88,3.92,2.12,-3.51,0.139,0.00031,3,-3.65,0.0996,0.000222,3,-6.21,0.000275,6.12E-07,1,1,0,1,0,0,1,0,0,-8.01,0,0,0,0,0,0.55,0,2,1,4.56
348.35,26,16,0.25,1,5,1,95.31,81.42,2.49,1.74,1.82,1.64,3.29,2.2,-3.49,0.114,0.000327,3,-3.07,0.299,0.000858,3,-5.83,0.00052,1.49E-06,2,1,0,1,1,0,1,0,1,-7.19,0,0,0,0,0,0.55,0,0,0,3.84
545.61,40,16,0.47,4,8,2,151.17,113.76,-1.96,2.35,2.54,1.99,3.34,1.65,-4.74,0.01,1.84E-05,2,-4.38,0.0228,4.18E-05,2,-7.08,4.58E-05,8.39E-08,1,1,0,1,0,0,0,0,0,-7.96,1,3,0,0,0,0.55,0,0,1,5.02
592.48,39,22,0.33,7,6,1,153.23,94.53,-4.02,4.53,0.14,2.46,5.11,1.64,-6.32,0.000282,4.76E-07,1,-6.24,0.000343,5.79E-07,1,-8.74,1.08E-06,1.82E-09,1,1,0,1,0,0,0,0,0,-6.7,1,2,0,0,0,0.55,0,1,2,4.84
826.85,60,26,0.37,20,13,4,216.35,218.74,5.18,1.93,1.83,-0.33,2.37,2.2,-5.18,0.00542,6.56E-06,2,-6.15,0.000589,7.12E-07,1,-9.3,4.12E-07,4.98E-10,1,0,0,1,0,0,1,0,1,-9.97,2,3,2,1,4,0.17,0,2,2,6.63
465.5,35,22,0.21,3,6,1,133.98,93.78,3.76,3.4,3.88,2.51,5.76,3.86,-5.14,0.00341,7.32E-06,2,-5.05,0.00416,8.94E-06,2,-8.72,8.85E-07,1.90E-09,1,1,0,1,0,1,1,0,1,-6.73,0,1,0,0,0,0.55,0,1,1,4.58
646.65,48,28,0.19,11,9,2,172.56,149.29,3.71,4.67,4.17,3.13,3.64,3.86,-6.5,0.000206,3.18E-07,1,-7.53,1.90E-05,2.94E-08,1,-9.88,8.58E-08,1.33E-10,1,0,0,1,1,0,1,0,0,-6.93,2,3,2,1,1,0.17,0,1,3,5.75
435.43,32,16,0.3,4,7,3,114.92,130.75,2.56,1.05,1.01,0.54,2.87,1.61,-3.31,0.215,0.000493,3,-3.39,0.179,0.000411,3,-5.97,0.000464,1.07E-06,2,1,0,1,0,0,1,0,0,-8.21,0,0,0,0,0,0.55,1,0,1,4.17
677.18,47,16,0.52,6,11,4,185.74,141.89,0,3.12,3.68,0.47,4.33,2.32,-5.86,0.000935,1.38E-06,2,-5.77,0.00115,1.70E-06,2,-7.28,3.56E-05,5.26E-08,1,0,0,0,0,0,0,0,1,-8.22,2,3,1,1,2,0.17,0,0,1,6.05
591.48,40,16,0.46,3,9,1,160.62,106.36,0,2.71,2.03,1.11,3.25,1.82,-5.31,0.00288,4.87E-06,2,-4.6,0.015,2.53E-05,2,-6.27,0.000318,5.37E-07,1,1,0,1,0,1,1,1,1,-7.98,1,3,0,0,0,0.55,0,0,1,5.02
616.68,44,22,0.34,6,10,1,170.12,139.65,4.23,2.17,2.5,1.19,3.12,2.64,-5,0.0061,9.90E-06,2,-4.74,0.0113,1.84E-05,2,-8.3,3.12E-06,5.06E-09,1,0,0,1,0,0,1,1,1,-8.52,2,3,0,1,1,0.17,0,0,1,5.15
