Column Title,Mean,Standard Deviation
MW,566.7900925925926,143.64362878072149
#Heavy atoms,40.791666666666664,9.878712137134682
#Aromatic heavy atoms,19.87962962962963,4.250783988083911
Fraction Csp3,0.33194444444444443,0.09606643373167592
#Rotatable bonds,7.722222222222222,5.687740113340203
#H-bond acceptors,7.986111111111111,2.2172246776810485
#H-bond do0rs,1.9444444444444444,1.1150833389093293
MR,153.0678703703704,37.69339031691256
TPSA,140.1900925925926,47.76275478976967
iLOGP,3.4057407407407414,1.9686131129010496
XLOGP3,2.865648148148148,1.653003621683534
WLOGP,2.8247222222222224,1.2576215708645728
MLOGP,1.7231944444444447,0.994304936225075
Silicos-IT Log P,4.439537037037037,1.536651378513355
Consensus Log P,3.051805555555555,1.1752537496085653
ESOL Log S,-5.017407407407408,1.3337772000201955
ESOL Solubility (mg/ml),0.07962080417245371,0.45239627168806146
ESOL Solubility (mol/l),0.00016727248838601852,0.0008162768781398064
ESOL Class,2.0416666666666665,0.7042231411691463
Ali Log S,-5.469027777777778,2.085653648957768
Ali Solubility (mg/ml),0.5275948977449118,6.3530374485493315
Ali Solubility (mol/l),0.0009893759453472267,0.011227814595523663
Ali Class,1.9537037037037037,0.8113641600245017
Silicos-IT LogSw,-8.210324074074073,1.9592996818569435
Silicos-IT Solubility (mg/ml),0.0002660232423322421,0.0010016848995111842
Silicos-IT Solubility (mol/l),6.38863113787144e-07,2.5330811531623475e-06
Silicos-IT class,0.9537037037037037,0.5173143394046416
GI absorption,0.5370370370370371,0.49978462200163737
BBB permeant,0.013888888888888888,0.11730170468701905
Pgp substrate,0.9027777777777778,0.2969483028637197
CYP1A2 inhibitor,0.28703703703703703,0.45342984228840927
CYP2C19 inhibitor,0.16666666666666666,0.3735436838188142
CYP2C9 inhibitor,0.8657407407407407,0.3417225957878801
CYP2D6 inhibitor,0.4166666666666667,0.4941518456017623
CYP3A4 inhibitor,0.8379629629629629,0.36934073071631807
log Kp (cm/s),-7.7226388888888895,1.2451207017857762
Lipinski #violations,0.9074074074074074,0.8684338968782832
Ghose #violations,1.75,1.2948915730849868
Veber #violations,0.6759259259259259,0.8221209519309126
Egan #violations,0.48148148148148145,0.5100201816614526
Muegge #violations,1.1805555555555556,1.6051636638040683
Bioavailability Score,0.4409722222222221,0.17233412426909794
PAINS #alerts,0.027777777777777776,0.16471728186725404
Brenk #alerts,0.8888888888888888,1.0007748935684284
Leadlikeness #violations,1.7175925925925926,0.8620504170982656
Synthetic Accessibility,5.090787037037038,0.9034491175070145
