Factor,Eigenvalue
MW,22.555158978257985
#Heavy atoms,4.362375968277094
#Aromatic heavy atoms,3.375119722830482
Fraction Csp3,1.9735347837656272
#Rotatable bonds,0.7338105468688145
#H-bond acceptors,5.707868189202046e-15
MR,4.106053214809093e-15
TPSA,3.1321112048808174e-15
iLOGP,2.406188475103186e-15
XLOGP3,1.9981954169566315e-15
WLOGP,1.6545415586546628e-15
MLOGP,1.567869107053462e-15
Silicos-IT Log P,1.4004697116110205e-15
Consensus Log P,1.3434220983255566e-15
ESOL Log S,1.091220130105703e-15
ESOL Solubility (mg/ml),8.247735737326221e-16
ESOL Solubility (mol/l),6.34445948145626e-16
ESOL Class,4.059589993143315e-16
Ali Log S,2.5146053413550114e-16
Ali Solubility (mg/ml),3.587568228596968e-17
Ali Solubility (mol/l),-1.2596961782899698e-16
Ali Class,-2.5056706664666567e-16
Silicos-IT LogSw,-5.487167872343877e-16
Silicos-IT Solubility (mg/ml),-8.78100762243208e-16
Silicos-IT Solubility (mol/l),-1.0069408561677415e-15
Silicos-IT class,-1.5251238835664117e-15
log Kp (cm/s),-1.6182729992533096e-15
Ghose #violations,-1.707697394138241e-15
Egan #violations,-1.8805807556625325e-15
Muegge #violations,-1.882454312752513e-15
Bioavailability Score,-2.97710375937517e-15
Brenk #alerts,-3.0414095108951717e-15
Leadlikeness #violations,-3.3602997974021913e-15
Synthetic Accessibility,-5.0332633634537895e-15
