MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond do0rs,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
478.88,33,6,0.32,2,9,6,117.62,181.62,0,0.56,0.36,-1.94,-0.71,-0.35,-3.16,0.328,0.000685,3,-3.95,0.0542,0.000113,3,-1.6,11.9,0.0248,3,0,0,1,0,0,0,0,0,-8.82,1,0,1,1,2,0.11,0,1,1,5.13
515.34,34,6,0.41,2,9,6,122.19,181.62,0,0.18,1.13,-1.39,0.06,0,-3.15,0.367,0.000713,3,-3.55,0.145,0.000281,3,-2.4,2.04,0.00395,3,0,0,1,0,0,0,0,0,-9.32,2,1,1,1,2,0.11,0,1,1,5.11
496.89,34,6,0.41,2,10,7,118.34,201.85,0,-0.1,-0.55,-2.63,-1.47,-0.95,-2.86,0.692,0.00139,3,-3.69,0.102,0.000206,3,-1,49.6,0.0998,3,0,0,1,0,0,0,0,0,-9.4,2,2,1,1,2,0.11,0,1,1,5.27
414.41,30,6,0.38,2,8,5,104.37,161.39,1.58,-0.19,0.12,-1.53,-0.22,-0.05,-2.31,2.05,0.00495,3,-2.74,0.749,0.00181,3,-2.05,3.69,0.00891,3,0,0,1,0,0,0,0,0,-8.96,0,0,1,1,1,0.11,0,1,1,4.77
523.96,36,6,0.46,5,10,5,129.89,173.86,0,0.61,0.76,-1.4,-0.54,-0.11,-3.27,0.284,0.000542,3,-3.84,0.0766,0.000146,3,-2.23,3.06,0.00585,3,0,0,1,0,0,0,0,0,-9.06,2,1,1,1,1,0.11,0,2,1,5.32
542.43,37,6,0.41,2,13,9,124.48,269.19,0.41,-5.67,-1.25,-3.54,-0.59,-2.13,0.38,1300,2.4,2,0.68,2590,4.78,2,-1.82,8.15,0.015,3,0,0,0,0,0,0,0,0,-13.63,3,2,1,1,4,0.11,0,2,1,5.41
576.96,38,6,0.41,2,13,8,129.45,264.6,-0.26,-4.28,0.76,-2.73,0.06,-1.29,-0.71,114,0.197,4,-0.67,124,0.216,4,-2.4,2.28,0.00395,3,0,0,0,0,0,0,0,0,-12.86,3,1,1,1,4,0.11,0,2,1,5.32
586.63,42,6,0.55,7,12,7,156.63,194.34,3.09,-2.19,-1.89,-2.51,-0.87,-0.87,-1.74,10.6,0.0181,4,-1.36,25.6,0.0437,4,-2.49,1.9,0.00324,3,0,0,1,0,0,0,0,0,-11.43,3,4,1,1,4,0.17,0,1,1,6.02
630.64,45,6,0.53,8,14,8,163.21,231.64,3.06,-4.84,-2.43,-3.06,-1.66,-1.79,-0.27,338,0.535,4,0.61,2550,4.04,2,-1.45,22.5,0.0356,3,0,0,0,0,0,0,0,0,-13.58,3,4,1,1,5,0.11,0,1,2,6.24
585.6,42,6,0.52,6,12,7,150.43,208.17,1.33,-3.58,-0.32,-1.77,-0.6,-0.99,-0.93,69.6,0.119,4,-0.21,363,0.62,4,-2.34,2.66,0.00455,3,0,0,0,0,0,0,0,0,-12.41,3,3,1,1,4,0.11,0,1,1,5.99
516.94,34,6,0.41,2,9,4,111.34,187.28,-52.56,-0.62,0.08,-1.6,0.06,-10.93,-2.65,1.15,0.00222,3,-2.84,0.746,0.00144,3,-2.4,2.04,0.00395,3,0,0,1,0,0,0,0,0,-9.89,1,1,1,1,1,0.11,0,1,1,5.01
937.02,66,12,0.51,13,17,9,248.01,315.58,4.78,-3.06,-1.57,-2.55,-0.87,-0.65,-3,0.941,0.001,3,-3,0.931,0.000993,3,-2.49,3.04,0.00324,3,0,0,1,0,0,0,0,0,-14.19,3,4,2,1,6,0.11,0,1,2,8.23
635.62,45,6,0.55,7,15,11,150.38,269.81,0.52,-3.36,-3.34,-4.32,-3.08,-2.72,-1.3,31.8,0.05,4,-1.73,11.8,0.0186,4,-0.54,183,0.288,3,0,0,0,0,0,0,0,0,-12.56,3,4,1,1,5,0.11,0,2,1,6.6
1001.04,72,12,0.48,13,20,12,253.14,341.74,2.96,-1.5,-0.59,-4.89,-1.26E+00,-1.06,-4.37,0.043,4.30E-05,2,-5.17,0.00675,6.74E-06,2,-4.95,0.0113,1.13E-05,2,0,0,1,0,0,0,0,0,-13.47,3,4,2,1,5,0.11,0,2,2,8.65
