Factor,Eigenvalue
Num Heteroatoms,9.209387086766508
Num Hydrogen Bond Acceptor,5.651592351424001
LogP,0.13902056180948782
Num Rotatable Bonds,1.3008347934026233e-15
Num Lipinski HB Donor,2.1339126782050506e-16
Num Atoms,1.759018618679818e-16
Num Lipinski HB Acceptor,1.2563999217287554e-16
Num Rings,6.321557189071973e-17
Num Hydrogen bond Donor,1.3462417989952097e-17
Num Aliphatic Rings,-2.12905536815128e-33
Num Aliphatic Heterocycles,-3.5621452718558896e-20
Num Heterocycles,-2.114286546833043e-17
Mol Wt,-1.1207302281991476e-16
Labute ASA,-9.313423847057376e-16
Topological Polar SA,-1.5793938516106953e-15
