Column Title,Mean,Standard Deviation
Num Heteroatoms,18.0,6.164414002968976
Num Hydrogen Bond Acceptor,15.4,2.8809720581775866
LogP,2.1897999999999995,3.546368663858849
Num Rotatable Bonds,7.2,2.4899799195977463
Num Lipinski HB Donor,3.6,1.51657508881031
Num Atoms,49.8,9.808159868191384
Num Lipinski HB Acceptor,16.0,3.0
Num Rings,7.0,0.7071067811865476
Num Hydrogen bond Donor,3.6,1.51657508881031
Num Aliphatic Rings,5.0,0.7071067811865476
Num Aliphatic Heterocycles,4.0,0.7071067811865476
Num Heterocycles,4.0,0.7071067811865476
Mol Wt,741.3263999999999,212.08863423884833
Labute ASA,292.2718,72.67773823668426
Topological Polar SA,202.95999999999998,42.30559892023749
