Factor,Eigenvalue
Num Heteroatoms,12.921117903365099
Num Hydrogen Bond Acceptor,0.7296950674541143
LogP,0.19275313187844115
Num Rotatable Bonds,0.1204680716078222
Num Aromatic Heterocycles,0.03596582569452304
Num Lipinski HB Donor,3.0872126615119387e-16
Num Atoms,8.86569698888263e-17
Num Lipinski HB Acceptor,2.6896010884585658e-17
Num Rings,1.2794834434309153e-17
Num Heterocycles,-1.0850163563123559e-16
Mol Wt,-1.700832487419421e-16
Labute ASA,-2.954649675179811e-16
Num Aromatic Rings,-3.678995708013723e-16
Topological Polar SA,-2.328790456685694e-15
