Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
3,11,9,1,-0.016,2,0,7,33,10,4,6,3,0,0,478.114,193.893,1,181.62
3,12,9,1,0.861,2,0,7,34,10,4,6,3,0,0,514.091,204.886,1,181.62
3,12,10,1,-0.822,2,0,8,34,11,4,7,3,0,0,496.125,199.377,1,201.85
3,9,8,1,0.121,2,0,6,30,9,4,5,3,0,0,414.143,171.27,1,161.39
3,12,10,1,0.536,5,0,6,36,11,4,5,3,0,0,523.172,213.345,1,173.86
3,15,10,1,-1.143,2,0,10,37,14,4,9,3,0,0,542.13,209.367,1,259.38
3,16,11,1,-0.214,2,0,9,38,14,4,8,3,0,0,576.082,220.37,1,256.22
3,13,12,1,-1.016,6,0,7,42,13,5,7,4,1,1,586.264,242.502,1,194.34
3,15,13,1,-1.563,7,0,8,45,15,5,8,4,1,1,630.254,257.823,1,231.64
3,13,11,1,0.171,5,0,7,42,13,5,7,4,1,1,585.232,240.904,1,208.17
3,12,9,1,-2.337,2,0,5,34,10,4,4,3,0,0,516.061,228.848,1,187.28
3,21,17,2,-0.319,11,0,9,66,20,8,9,6,3,3,936.358,384.028,2,290.28
3,16,15,1,-3.236,6,0,11,45,16,5,11,4,1,1,635.233,256.028,1,269.81
6,22,20,2,-0.375,11,0,12,72,22,8,12,6,0,0,1000.407,412.613,2,341.74
3,12,10,1,0.02,3,0,7,35,11,4,7,3,0,0,508.125,204.102,1,187.86
3,10,9,1,0.187,3,0,6,33,10,4,5,3,0,0,457.185,189.76,1,164.63
3,13,11,1,0.513,6,0,8,42,13,4,7,3,0,0,585.28,243.211,1,205.76
3,11,9,1,0.074,2,0,7,33,10,4,6,3,0,0,480.13,194.582,1,181.62
3,11,10,1,-1.244,2,0,8,33,11,4,7,3,0,0,460.148,187.223,1,201.85
3,16,12,1,-1.591,4,0,11,45,16,5,10,4,1,1,626.281,257.968,1,259.86
3,18,14,2,0.337,9,0,9,57,17,7,9,5,2,2,805.263,329.96,2,266.37
3,11,10,1,0.47,4,0,6,38,11,5,6,4,1,1,527.227,219.218,1,170.87
3,11,9,1,-1.172,2,0,9,33,11,4,6,3,0,0,462.164,187.91,1,213.12
2,8,8,2,1.265,1,0,6,30,8,4,5,2,0,0,411.132,170.792,2,158.15
3,12,10,1,0.029,3,0,6,33,12,4,5,3,0,0,459.128,185.923,1,204.53
3,15,12,1,0.122,4,0,7,42,15,5,7,4,1,1,590.222,239.625,1,234.24
3,11,9,1,0.439,2,0,7,33,10,4,6,3,0,0,478.114,192.733,1,181.62
3,11,10,1,1.322,6,0,7,40,11,4,6,3,0,0,556.29,233.499,1,176.66
3,11,9,1,0.207,2,0,7,33,10,4,6,3,0,0,480.13,194.582,1,181.62
3,14,12,1,-0.454,10,0,10,43,14,4,9,3,0,0,602.259,247.039,1,242.98
3,10,9,1,-0.348,2,0,7,32,10,4,6,3,0,0,444.153,182.429,1,181.62
3,18,13,2,0.553,4,0,10,47,16,5,9,3,0,0,694.087,269.849,2,293.52
3,10,9,1,-0.388,2,0,7,31,10,4,6,3,0,0,430.138,176.064,1,181.62
3,27,18,1,-3.709,2,0,10,49,22,4,9,3,0,0,786.001,298.028,1,401.93
3,11,9,1,0.608,3,0,6,34,10,4,5,3,0,0,493.162,201.913,1,164.63
3,13,10,1,0.294,5,0,7,40,12,5,6,4,1,1,558.213,228.091,1,193.73
3,11,9,1,0.216,2,0,7,33,10,4,6,3,0,0,476.099,192.043,1,181.62
3,10,9,1,-0.297,2,0,8,31,10,4,6,3,0,0,429.154,176.61,1,187.41
3,10,9,1,-0.214,2,0,7,32,10,4,6,3,0,0,444.153,182.429,1,181.62
3,11,9,1,0.207,2,0,7,33,10,4,6,3,0,0,480.13,194.582,1,181.62
3,10,9,1,-0.438,2,0,7,32,10,4,6,3,0,0,442.138,181.74,1,181.62
2,9,8,2,1.687,1,0,6,31,8,4,5,2,0,0,447.108,182.946,2,158.15
3,15,12,2,2.564,7,0,8,51,14,5,7,3,0,0,728.309,297.556,2,231.03
3,11,9,1,0.265,2,0,7,32,10,4,6,3,0,0,464.099,186.368,1,181.62
3,12,9,1,0.687,2,0,7,33,10,4,6,3,0,0,500.075,198.521,1,181.62
3,15,10,1,1.138,5,0,7,42,12,5,6,4,1,1,630.166,252.397,1,193.73
3,10,8,1,1.103,2,0,6,32,9,4,5,3,0,0,464.135,189.788,1,161.39
3,10,9,1,-0.214,2,0,7,32,10,4,6,3,0,0,444.153,182.429,1,181.62
3,11,10,1,0.114,5,0,6,35,11,4,5,3,0,0,487.195,201.192,1,173.86
